Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,45.299999,46.110001,45.169998,46.110001,1199400,40.617165
2013-03-01,45.099998,46.279999,44.099998,45.34,739500,39.938892
2013-02-01,46.790001,47.139999,45.200001,45.200001,724300,39.815571
2013-01-02,46.73,48.490002,46.299999,46.57,540900,40.724632
2012-12-03,43.939999,47.130001,43.549999,46.130001,715800,40.339859
2012-11-01,45.41,46.75,42.959999,43.799999,1220400,38.302315
2012-10-01,43.900002,46.689999,42.439999,45.310001,1246300,39.622784
2012-09-04,46.650002,47.43,43.200001,43.880001,757700,38.372276
2012-08-01,47.669998,48.099998,45.290001,46.619999,464000,40.768353
2012-07-02,44.84,47.830002,43.900002,47.66,1531000,41.371578
2012-06-01,43.299999,45.57,42.189999,44.98,998100,39.045185
2012-05-01,44.259998,45.889999,42.849998,43.900002,623000,38.107685
2012-04-02,44.639999,45.75,43.290001,44.450001,670100,38.297981
2012-03-01,41.23,44.880001,40.939999,44.720001,779700,38.530609
2012-02-01,42.939999,44.220001,40.099998,41.150002,828300,35.454712
2012-01-03,42.669998,43.32,40.700001,42.799999,723200,36.593643
2011-12-01,39.50,42.630001,38.279999,41.959999,598800,35.87545
2011-11-01,38.029999,41.290001,36.779999,39.34,751600,33.635372
2011-10-03,37.139999,40.00,35.279999,38.93,1130400,32.991161
2011-09-01,39.169998,41.09,36.049999,37.209999,1505600,31.53355
2011-08-01,37.630001,39.07,32.57,39.009998,1137000,33.058956
2011-07-01,35.59,38.150002,35.540001,37.220001,422800,31.238115
2011-06-01,35.169998,35.93,33.779999,35.52,513600,29.811335
2011-05-02,35.32,35.75,33.700001,35.34,528800,29.660263
2011-04-01,33.099998,35.93,32.09,35.150002,460100,29.214186
2011-03-01,33.439999,33.470001,30.75,33.00,517600,27.427258
2011-02-01,32.529999,33.84,31.889999,33.419998,456500,27.776331
2011-01-03,31.940001,32.84,30.60,32.34,461200,26.599346
2010-12-01,31.83,32.169998,30.030001,31.76,553100,26.122301
2010-11-01,31.83,33.630001,30.76,31.440001,567200,25.859104
2010-10-01,30.809999,33.040001,30.190001,31.629999,579400,25.746225
2010-09-01,30.200001,31.34,29.34,30.440001,828200,24.77759
2010-08-02,29.49,30.450001,27.309999,29.809999,1191900,24.26478
2010-07-01,27.26,29.620001,25.92,28.950001,657400,23.290295
2010-06-01,26.540001,29.059999,25.200001,27.290001,838500,21.954823
2010-05-03,28.32,29.27,23.620001,26.77,1100200,21.536482
2010-04-01,27.76,30.559999,27.209999,28.17,812900,22.378553
2010-03-01,27.889999,28.90,26.690001,27.66,557500,21.973404
2010-02-01,25.77,28.450001,24.200001,27.639999,572500,21.957514
2010-01-04,28.389999,28.77,25.23,25.66,628900,20.107208
2009-12-01,27.280001,28.860001,25.91,28.10,542900,22.019196
2009-11-02,27.27,28.190001,25.67,26.950001,722200,21.118053
2009-10-01,26.77,27.57,25.620001,27.02,808800,20.909315
2009-09-01,25.940001,29.09,23.610001,26.85,798600,20.777761
2009-08-03,23.40,27.08,22.83,26.01,732300,20.127731
