Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.42,5.48,5.09,5.14,2148400,50.288887
2013-03-01,5.18,6.03,4.89,5.43,1033100,53.126202
2013-02-01,7.22,7.25,5.20,5.23,1310400,51.169434
2013-01-02,7.630001,7.95,6.72,7.12,1174300,69.275299
2012-12-03,6.820001,7.91,6.55,7.320001,1039700,71.221237
2012-11-01,8.00,8.79,6.19,6.72,1360600,65.383423
2012-10-01,6.44,8.86,6.15,7.96,2030200,77.083481
2012-09-04,6.04,8.05,5.61,6.33,1484500,61.298798
2012-08-01,7.27,7.78,6.07,6.11,1284800,59.16835
2012-07-02,6.86,7.630001,5.16,7.21,1645100,69.483292
2012-06-01,6.09,6.91,5.41,6.89,1342100,66.399429
2012-05-01,9.63,10.260001,6.29,6.34,1785900,61.099041
2012-04-02,10.75,11.06,9.05,9.760001,1287400,93.673401
2012-03-01,13.56,13.80,10.44,10.71,1021100,102.791191
2012-02-01,14.57,15.94,13.260001,13.57,996400,129.184814
2012-01-03,15.19,15.99,13.280001,14.43,776800,137.371918
2011-12-01,16.219999,16.879999,13.589999,14.510001,528200,138.133514
2011-11-01,17.290001,18.58,13.57,16.389999,725100,156.030884
2011-10-03,13.43,20.370001,13.089999,18.219999,814400,172.113342
2011-09-01,20.50,20.83,14.280001,14.580001,710700,137.72847
2011-08-01,26.310001,26.50,16.910002,20.309999,763400,191.856308
2011-07-01,26.660002,28.76,24.33,25.60,631000,240.515427
2011-06-01,29.310001,29.99,24.10,26.660002,962900,250.474274
2011-05-02,33.939999,35.060001,28.50,29.889999,499800,280.820557
2011-04-01,36.419998,36.75,32.400005,34.299999,419200,321.054321
2011-03-01,33.84,36.990002,31.389999,36.040001,466500,337.341034
2011-02-01,34.669998,35.189999,32.029999,33.529999,364700,313.846954
2011-01-03,35.810001,36.50,30.700001,34.25,669500,319.599579
2010-12-01,29.90,35.52,29.75,35.060001,373500,327.15799
2010-11-01,25.059999,30.710001,24.85,29.200001,522000,272.476135
2010-10-01,27.190001,27.370001,24.200001,24.59,409700,228.680664
2010-09-01,23.24,27.08,23.02,26.710001,344100,248.396133
2010-08-02,24.25,26.73,21.02,22.50,401000,209.244217
2010-07-01,19.75,23.959999,19.09,23.690001,553900,219.337387
2010-06-01,21.15,23.639999,19.65,19.809999,550700,183.413818
2010-05-03,27.270002,27.270002,19.26,21.550001,699700,199.523865
2010-04-01,23.160002,28.520002,23.09,27.00,645700,248.760483
2010-03-01,22.639999,26.90,22.160002,22.85,697700,210.52507
2010-02-01,21.00,22.980001,20.07,22.49,657500,207.208267
2010-01-04,22.59,28.34,20.870001,21.07,671300,193.303131
2009-12-01,21.300001,23.940001,19.410002,22.25,361000,204.128845
2009-11-02,21.889999,24.26,20.52,20.860001,470300,191.376541
2009-10-01,21.950001,25.860001,20.07,21.660002,623800,197.895615
2009-09-01,17.160002,24.10,16.52,22.129999,705200,202.189728
2009-08-03,17.83,18.730001,16.410002,17.32,519600,158.243393
2009-07-01,15.589999,18.57,13.010001,17.410002,876200,158.248566
2009-06-01,19.059999,19.940001,14.460001,15.37,643200,139.705933
2009-05-01,14.05,19.27,14.00,18.530001,822400,168.428818
2009-04-01,13.05,16.379999,12.52,13.97,735700,126.322289
2009-03-02,13.089999,16.25,11.77,13.37,675600,120.896851
2009-02-02,14.80,17.879999,12.38,13.900001,723900,125.689323
2009-01-02,16.629999,20.629999,14.760001,15.19,699700,136.485291
2008-12-01,14.68,17.940001,11.06,16.290001,488100,146.369034
2008-11-03,21.40,23.10,10.43,15.38,689700,138.19249
2008-10-01,31.85,32.580002,15.080001,21.410002,1003300,191.140137
2008-09-02,51.50,51.689999,27.90,32.889999,1125600,293.629089
2008-08-01,57.120003,58.00,43.900005,54.240002,600900,484.233582
2008-07-01,74.860001,75.410004,47.75,56.310005,775800,501.880981
2008-06-02,64.550003,77.400002,64.550003,75.029999,559900,668.728943
2008-05-01,56.75,68.68,53.290005,64.910004,463800,578.53125
2008-04-01,43.509998,62.990002,41.25,57.359997,548300,510.492554
2008-03-03,51.669994,53.720001,37.820004,43.50,489500,387.141327
2008-02-01,44.73,56.150002,44.73,51.09,615300,454.690826
2008-01-02,45.16,45.689999,32.98,43.950001,458500,390.643402
2007-12-03,37.290001,45.220001,36.919998,44.93,207500,399.354004
2007-11-01,40.400005,40.52,34.470001,37.860001,283700,336.513306
2007-10-01,33.710003,41.700001,32.990002,41.00,290000,363.730682
2007-09-04,29.550001,34.169998,29.360001,33.740002,190200,299.323761
2007-08-01,29.65,34.759998,27.76,29.49,434300,261.619934
2007-07-02,34.460003,37.00,28.700001,29.889999,393300,264.531982
2007-06-01,40.91,41.50,32.939999,34.799999,337400,307.986389
2007-05-01,36.080002,42.59,35.259998,40.380001,329100,357.370422
2007-04-02,30.85,38.169998,30.33,36.070004,481300,318.683746
2007-03-01,30.810001,31.690001,29.219999,30.690001,254600,271.150635
2007-02-01,29.99,33.790001,29.25,31.160002,387600,275.303162
2007-01-03,29.90,30.120001,27.179998,29.719999,413200,262.099915
2006-12-01,35.84,36.450001,30.020002,30.030003,263600,264.833832
2006-11-01,34.98,36.73,32.02,35.900005,298500,316.072083
