Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.65,18.77,18.34,18.459999,4276400,16.665718
2013-03-01,20.629999,22.629999,18.02,18.700001,5265700,16.882391
2013-02-01,20.379999,21.190001,19.73,20.68,3001000,18.669937
2013-01-02,20.52,21.27,19.07,20.209999,4113200,18.245621
2012-12-03,21.370001,21.629999,19.290001,20.51,3717100,18.516462
2012-11-01,20.93,21.549999,18.309999,21.200001,4848700,18.934696
2012-10-01,21.16,22.969999,20.27,20.870001,3807800,18.639959
2012-09-04,22.24,23.940001,20.73,21.08,4466100,18.827518
2012-08-01,20.91,22.50,19.610001,22.24,4452200,18.483915
2012-07-02,19.879999,21.459999,19.440001,20.82,3213500,17.303738
2012-06-01,18.969999,19.74,18.309999,19.73,4157200,16.397825
2012-05-01,18.50,21.129999,17.879999,19.309999,6633100,15.958135
2012-04-02,17.08,18.610001,16.200001,18.01,5392700,14.883791
2012-03-01,14.58,17.92,14.44,17.190001,5820200,14.206129
2012-02-01,14.18,14.84,13.43,14.54,4038900,11.937583
2012-01-03,15.85,15.87,12.50,14.09,6052000,11.568126
2011-12-01,13.97,15.42,13.79,15.29,3944300,12.553346
2011-11-01,12.75,14.97,12.74,13.91,4317400,11.33424
2011-10-03,11.64,13.73,11.19,13.13,3721600,10.698675
2011-09-01,11.08,12.60,10.00,11.72,4992100,9.549769
2011-08-01,13.28,13.29,10.01,11.07,6261600,8.930824
2011-07-01,12.79,14.32,12.70,13.14,3802600,10.600816
2011-06-01,13.18,13.23,12.37,12.75,4390600,10.198536
2011-05-02,15.60,15.83,12.84,13.26,6275200,10.606478
2011-04-01,15.92,16.360001,15.51,15.56,3046100,12.446214
2011-03-01,15.37,16.370001,14.69,15.89,5209000,12.710176
2011-02-01,14.50,16.34,14.34,15.35,5455300,12.19082
2011-01-03,14.68,15.69,13.72,14.46,6817100,11.48399
2010-12-01,16.74,16.90,14.23,14.63,6100500,11.619002
2010-11-01,16.049999,17.370001,15.19,16.50,6096300,12.60423
2010-10-01,15.16,17.459999,14.77,16.02,5068700,12.237561
2010-09-01,12.81,15.61,12.77,14.96,5053600,11.427835
2010-08-02,12.58,13.72,11.98,12.64,5147200,9.581589
2010-07-01,11.70,13.05,11.47,12.31,4852500,9.331437
2010-06-01,12.91,13.66,11.35,11.75,7294400,8.906936
2010-05-03,16.91,17.18,12.53,13.10,9271400,9.844343
2010-04-01,18.67,19.18,16.559999,16.809999,6062700,12.632321
2010-03-01,16.889999,19.639999,16.290001,18.52,5254200,13.917347
2010-02-01,15.98,17.120001,15.50,16.870001,3324900,12.610618
2010-01-04,16.790001,17.76,15.72,15.89,4784500,11.87805
2009-12-01,15.53,17.209999,15.16,16.98,3594500,12.692843
2009-11-02,17.639999,18.40,14.37,15.38,7342800,11.427181
2009-10-01,16.690001,19.860001,15.91,17.49,6250800,12.994889
2009-09-01,13.60,17.41,13.27,16.860001,5510500,12.452331
2009-08-03,14.18,15.73,13.44,13.50,5165000,9.970727
2009-07-01,14.41,15.20,12.56,14.39,3807300,10.628057
2009-06-01,15.03,15.65,13.06,14.17,4181400,10.391713
2009-05-01,14.97,16.50,13.12,14.81,6741500,10.861064
2009-04-01,11.94,16.030001,11.70,14.82,6683600,10.868397
2009-03-02,9.53,12.95,8.59,12.24,7234500,8.976328
2009-02-02,8.83,10.11,8.31,9.76,5830300,7.097749
2009-01-02,9.35,10.98,8.86,9.01,5681600,6.552328
2008-12-01,9.23,10.54,8.20,9.36,4877500,6.806857
2008-11-03,11.11,11.55,6.98,9.60,5172800,6.906324
2008-10-01,15.14,15.65,9.00,11.12,7576200,7.999825
2008-09-02,15.41,18.00,13.85,15.25,7521600,10.970983
2008-08-01,14.10,15.30,13.12,15.05,5784600,10.75492
2008-07-01,13.31,15.50,11.87,14.00,5914900,10.004577
2008-06-02,18.15,18.299999,13.31,13.63,6604100,9.667591
2008-05-01,18.379999,19.42,16.940001,18.219999,4236900,12.923221
2008-04-01,17.530001,19.209999,15.58,18.370001,4170100,13.029614
2008-03-03,21.40,21.950001,16.469999,17.51,5637300,12.419627
2008-02-01,23.110001,23.84,20.200001,21.370001,3862000,15.076291
2008-01-02,20.799999,23.52,16.860001,22.98,7059300,16.212128
2007-12-03,22.889999,23.370001,20.17,20.77,3374600,14.652998
2007-11-01,23.549999,23.940001,20.200001,22.889999,4737400,16.071182
2007-10-01,26.299999,26.450001,21.799999,23.780001,4715200,16.696056
2007-09-04,26.200001,27.290001,23.049999,26.309999,5639700,18.47238
2007-08-01,24.25,26.49,21.459999,25.83,5288800,18.06303
2007-07-02,25.82,28.280001,24.040001,24.26,4449400,16.965124
2007-06-01,27.00,27.93,25.27,25.66,3266200,17.944149
2007-05-01,29.469999,30.190001,26.66,27.00,3226700,18.807116
2007-04-02,29.99,31.33,28.790001,29.469999,2369300,20.527618
2007-03-01,30.48,33.00,28.18,29.99,3751500,20.88983
2007-02-01,32.50,33.139999,30.219999,31.049999,3631900,21.575016
2007-01-03,31.77,34.799999,31.15,32.380001,4735400,22.499163
2006-12-01,45.66,49.02,30.07,31.209999,4396400,21.68619
2006-11-01,46.170002,49.51001,44.149994,45.18,5443700,20.895481
2006-10-02,43.729996,47.25,42.520004,45.799995,4515300,21.182226
2006-09-01,39.060001,45.790005,38.400002,43.829998,4914100,20.271114
2006-08-01,32.639999,39.079994,30.919996,38.610001,5050500,17.810585
2006-07-03,34.189995,36.150002,31.860001,32.860004,3326600,15.158143
2006-06-01,32.279999,34.999996,30.84,34.039997,3359800,15.702467
2006-05-01,32.489998,34.819992,30.109995,32.650005,4591300,15.010394
2006-04-03,30.18,32.779995,28.519997,32.400002,3687600,14.895458
2006-03-01,27.27,30.490005,26.959995,29.860004,4612500,13.72773
2006-02-01,26.939999,27.300001,24.850004,25.469999,3912900,11.678276
2006-01-03,23.280001,27.499996,22.249996,26.980003,5794000,12.370629
2005-12-01,21.289995,23.49,19.450005,22.98,6642100,10.536583
2005-11-01,23.549999,26.939999,21.709995,22.759995,5774800,10.39939
2005-10-03,23.789999,24.75,21.539999,23.530006,5129300,10.75122
2005-09-01,27.019997,27.400005,20.320005,23.530006,7163800,10.75122
2005-08-01,32.749996,33.599998,26.269997,28.630005,4767200,13.036667
2005-07-01,30.829994,34.039997,30.150002,32.950005,2747200,15.003778
2005-06-01,28.349998,32.680008,28.079998,30.640005,3606400,13.951921
2005-05-02,26.25,28.969994,25.560001,28.300007,5233300,12.856275
2005-04-01,29.91,30.449999,25.349998,26.219999,3674800,11.911358
2005-03-01,54.389999,59.169991,26.550001,29.550001,4549300,13.424129
2005-02-01,51.050011,54.609985,50.669998,54.12999,4949900,12.273398
2005-01-03,48.339993,51.419998,46.640011,50.799992,5886200,11.518357
2004-12-01,42.009991,47.760002,41.82999,47.099998,3530100,10.679423
2004-11-01,41.099998,44.589989,39.329998,41.769989,5326800,9.458162
2004-10-01,37.41,41.589989,36.540001,40.880009,4072000,9.25664
2004-09-01,33.300003,38.220001,33.300003,36.849991,6186900,8.344105
2004-08-02,32.060013,34.790009,29.550001,33.300003,5703500,7.528012
2004-07-01,29.349991,33.09,27.50001,32.769989,5588900,7.408194
2004-06-01,28.89999,30.17001,28.10001,28.910011,5363100,6.535582
2004-05-03,25.889999,29.07999,25.310011,28.95999,4152700,6.546881
2004-04-01,27.99,28.98,25.460009,25.689989,5430100,5.807643
2004-03-01,24.48999,27.96999,22.869991,26.949989,5619800,6.092487
2004-02-02,18.599998,25.50,18.57999,24.39999,7739700,5.516018
2004-01-02,16.509991,18.960001,15.830009,18.62001,4296400,4.209359
2003-12-01,18.84,18.900002,14.79999,16.400009,3800000,3.707491
2003-11-03,15.95001,19.130009,14.700001,18.450001,6467300,4.170925
2003-10-01,14.93001,18.699989,14.870009,15.99,4305700,3.614802
2003-09-02,17.190001,18.17001,14.439991,14.91,4119800,3.37065
2003-08-01,22.139999,22.400009,15.830009,17.16,5769900,3.879299
2003-07-01,18.27,23.369999,17.37999,22.160011,4708200,5.009634
2003-06-02,17.00001,20.019989,17.00001,18.470011,4677700,4.175449
2003-05-01,17.259991,17.349991,14.46999,16.929991,4212000,3.827302
2003-04-01,14.49999,17.630009,14.079989,17.460001,3444000,3.94712
2003-03-03,14.49999,15.99999,13.200001,14.51001,3455900,3.280226
2003-02-03,16.62999,17.720011,13.88001,14.46999,4453000,3.271179
2003-01-02,14.49999,17.289989,14.400001,16.41,4120500,3.70975
2002-12-02,19.619999,20.49999,12.68001,13.779989,4882100,3.115193
2002-11-01,14.54001,19.50,14.34999,19.119991,4331400,4.322388
2002-10-01,11.61,15.84,9.75,14.52,5272000,3.282484
2002-09-03,14.66001,17.199989,11.700001,12.059999,3404900,2.726361
2002-08-01,16.530001,16.559999,13.65999,14.70999,4677500,3.325434
2002-07-01,20.969999,21.57999,15.86001,16.559999,4857800,3.74366
2002-06-03,22.310009,23.660011,19.20999,21.140011,4227600,4.779046
2002-05-01,25.430012,26.55999,21.609989,22.200001,4069700,5.018674
2002-04-01,24.740009,27.200012,21.54999,25.430012,7239900,5.748871
2002-03-01,24.980009,29.330011,24.329998,24.77001,4976000,5.599667
2002-02-01,25.560001,26.70999,23.07999,24.96999,5331900,5.644876
2002-01-02,26.169989,30.44001,24.92001,25.439999,7346100,5.751129
2001-12-03,23.82999,26.960009,21.99999,26.169989,6060300,5.916155
2001-11-01,28.98999,31.550011,23.79999,24.44001,6677300,5.525065
2001-10-01,19.80999,28.28001,19.200001,27.39999,6373600,6.194218
2001-09-04,25.569988,26.300011,16.950001,19.89999,8080500,4.498719
2001-08-01,36.96999,37.340008,22.74999,25.74999,9443300,5.821208
2001-07-02,36.389999,41.189999,35.049988,36.75,5693900,8.30794
2001-06-01,36.999992,39.900002,34.01001,35.240009,4650500,7.966582
2001-05-01,37.110001,42.999992,34.800003,36.75,6387800,8.30794
2001-04-02,28.56249,39.360001,26.37501,37.220009,4440400,8.414194
2001-03-01,34.515629,34.749992,23.75001,28.74999,9487800,6.499407
2001-02-01,57.874992,60.062492,33.999992,34.812508,7851600,7.869939
2001-01-02,43.375008,59.250015,39.500008,57.874992,8839900,8.722395
2000-12-01,44.000008,44.625015,32.125004,42.250008,5610700,6.367538
2000-11-01,34.671871,46.750008,32.875019,44.062515,5946700,6.640703
2000-10-02,31.37499,36.5625,29.875004,34.437511,3554500,5.19011
2000-09-01,30.187485,36.499992,26.500004,31.50,4999400,4.747395
2000-08-01,14.999985,30.375,14.18751,29.8125,8140400,4.49307
2000-07-03,14.0625,17.749979,11.8125,14.875021,6391800,2.241828
2000-06-01,16.000021,17.00001,11.624985,13.999995,5271600,2.109952
2000-05-01,17.625015,20.875004,14.875021,16.43751,6227800,2.477313
2000-04-03,37.499985,37.875015,16.500015,17.00001,11047300,2.562088
2000-03-01,28.125,37.999981,25.000021,37.937519,6296400,5.717599
2000-02-01,36.499992,36.750015,20.500021,25.500015,10783300,3.843131
2000-01-03,45.999992,46.499985,33.890625,36.312481,4469200,5.472688
