Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,97.190002,97.50,96.18,96.290001,1914800,87.138565
2013-03-01,104.160004,107.370003,94.870003,97.50,1148000,88.233566
2013-02-01,114.199997,114.919998,98.989998,103.449997,1047400,93.146591
2013-01-02,101.440002,115.309998,101.290001,113.489998,735000,102.18663
2012-12-03,102.959999,102.959999,97.010002,99.870003,569700,89.923157
2012-11-01,105.199997,107.800003,92.639999,102.019997,1142300,91.390686
2012-10-01,103.720001,108.419998,102.790001,105.540001,978200,94.543945
2012-09-04,98.550003,106.099998,96.949997,103.459999,922900,92.680656
2012-08-01,95.339996,101.889999,92.400002,98.379997,1124100,88.129936
2012-07-02,89.110001,97.639999,87.459999,94.959999,1106900,85.066261
2012-06-01,76.769997,88.870003,74.279999,88.470001,1131900,79.252441
2012-05-01,87.779999,89.349998,76.220001,78.139999,1234400,69.597939
2012-04-02,86.459999,89.25,83.410004,87.900002,714600,78.291
2012-03-01,85.349998,89.900002,79.849998,86.370003,1077000,76.928253
2012-02-01,81.239998,86.620003,80.220001,85.160004,1248700,75.850533
2012-01-03,68.459999,81.589996,68.43,80.260002,1304200,71.486183
2011-12-01,69.989998,72.339996,63.389999,67.110001,990700,59.773708
2011-11-01,79.040001,82.879997,65.68,69.989998,1505900,62.13279
2011-10-03,65.620003,85.25,60.150002,82.290001,1710100,73.051971
2011-09-01,86.010002,90.169998,66.599998,66.660004,1571200,59.176624
2011-08-01,89.07,89.089996,74.00,85.959999,1777000,76.309967
2011-07-01,87.489998,93.489998,85.019997,87.379997,1383600,77.570557
2011-06-01,87.18,88.889999,79.489998,87.760002,1781000,77.907898
2011-05-02,90.82,91.57,77.980003,88.059998,1976300,78.123398
2011-04-01,93.360001,96.199997,86.400002,90.43,1448600,80.225967
2011-03-01,94.730003,97.879997,83.849998,92.260002,2123300,81.84948
2011-02-01,89.50,99.139999,87.120003,95.080002,2843000,84.351273
2011-01-03,93.449997,95.800003,84.879997,88.389999,2455600,78.416161
2010-12-01,81.550003,92.559998,79.639999,91.75,1751600,81.397026
2010-11-01,89.269997,89.690002,76.330002,80.230003,2072200,71.131142
2010-10-01,75.690002,89.160004,72.32,88.510002,1974700,78.472107
2010-09-01,70.699997,78.959999,70.199997,74.989998,1583000,66.485397
2010-08-02,64.00,70.760002,62.77,69.57,3064200,61.680084
2010-07-01,48.849998,63.459999,47.959999,63.00,2093900,55.855186
2010-06-01,54.580002,55.93,48.830002,48.939999,1449600,43.389725
2010-05-03,62.830002,63.240002,51.41,54.889999,2138000,48.613277
2010-04-01,71.370003,71.449997,59.830002,62.41,1877100,55.273357
2010-03-01,65.050003,73.849998,64.839996,70.629997,2104800,62.553394
2010-02-01,57.419998,67.220001,56.849998,64.75,2697700,57.345779
2010-01-04,62.330002,71.110001,56.099998,56.349998,2779500,49.906326
2009-12-01,56.779999,65.260002,56.509998,61.50,2506400,54.467419
2009-11-02,47.099998,58.580002,46.50,55.860001,2742800,49.429001
2009-10-01,49.790001,57.630001,45.98,46.950001,2549700,41.544785
2009-09-01,47.450001,54.43,45.48,49.790001,2412500,44.057823
2009-08-03,47.470001,50.00,45.16,47.709999,2519900,42.217285
2009-07-01,40.459999,46.50,35.27,46.189999,3396900,40.87228
2009-06-01,50.77,51.16,38.860001,39.889999,4347700,35.297581
