Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.85,5.85,5.85,5.85,000,5.28158
2013-03-01,6.41,6.41,5.60,5.85,84100,5.28158
2013-02-01,6.80,7.10,6.40,6.40,97700,5.77814
2013-01-01,7.10,7.10,6.80,6.80,42700,6.13928
2012-12-03,6.75,7.10,6.50,7.10,76000,6.41013
2012-11-01,6.13,7.09,5.95,6.75,156200,6.03996
2012-10-01,6.30,6.60,5.98,6.02,67900,5.36889
2012-09-03,6.55,6.90,6.13,6.30,36600,5.6186
2012-08-01,6.10,7.10,6.00,6.40,59800,5.65566
2012-07-02,6.97,6.98,6.16,6.20,36000,5.46244
2012-06-01,7.08,7.20,6.50,6.98,32100,6.14965
2012-05-01,7.55,7.70,6.60,7.10,23200,6.25538
2012-04-02,7.75,7.90,7.50,7.55,88600,6.63455
2012-03-01,6.53,8.00,6.53,7.74,52800,6.80151
2012-02-01,6.45,7.00,6.35,6.52,117700,5.72943
2012-01-02,6.20,6.60,6.15,6.45,245300,5.61479
2011-12-01,6.45,6.50,5.01,6.20,114300,5.39716
2011-11-01,6.01,7.10,6.00,6.42,541300,5.55385
2011-10-03,6.91,6.91,5.90,6.01,86300,5.14726
2011-09-01,7.00,7.50,6.40,6.90,90600,5.9095
2011-08-01,8.48,8.74,7.00,7.05,26500,6.01209
2011-07-01,8.30,8.90,8.00,8.77,74600,7.42278
2011-06-01,8.34,9.10,7.30,8.30,69400,7.02498
2011-05-02,8.50,8.72,8.25,8.40,57300,7.10962
2011-04-01,8.25,9.00,8.13,8.50,122700,7.14287
2011-03-01,8.80,8.80,7.95,8.50,167600,7.14287
2011-02-01,9.20,9.20,8.80,9.00,467400,7.56304
2011-01-03,9.00,10.00,8.90,9.25,110900,7.7213
2010-12-01,8.91,9.30,8.85,9.30,24000,7.72853
2010-11-01,8.70,9.75,8.35,9.00,43100,7.47923
2010-10-01,8.40,8.90,7.91,8.90,61300,7.34682
2010-09-01,8.80,9.00,8.21,8.32,56700,6.86803
2010-08-02,9.75,9.75,8.80,9.20,94900,7.59446
2010-07-01,9.50,9.75,9.25,9.75,38100,7.99818
2010-06-01,8.98,9.79,8.56,9.70,40800,7.95716
2010-05-03,9.20,9.30,8.00,9.15,156400,7.50598
2010-04-01,8.55,9.35,8.52,9.30,67900,7.57181
2010-03-01,8.20,9.00,8.00,8.99,174600,7.31942
2010-02-01,8.40,8.48,7.81,8.20,122900,6.67622
2010-01-01,9.23,9.23,8.40,8.65,25100,6.99075
2009-12-01,9.00,9.50,8.55,9.23,102100,7.45949
2009-11-02,8.49,9.69,8.10,9.69,131400,7.83126
2009-10-01,8.75,9.00,7.60,8.98,129200,7.25745
2009-09-01,8.75,9.20,8.42,9.00,83500,7.27361
2009-08-03,7.50,8.75,7.40,8.75,167600,7.07157
2009-07-01,6.20,7.50,6.20,7.50,186700,6.06135
2009-06-01,6.95,7.00,6.10,6.20,68100,4.93969
2009-05-01,8.00,8.00,6.20,7.40,55200,5.89576
2009-04-01,8.70,8.70,7.50,8.00,80800,6.3738
2009-03-02,8.50,9.00,7.71,8.80,200400,7.01118
2009-02-02,9.75,9.85,7.80,8.50,31300,6.77216
2009-01-01,8.50,9.75,8.00,9.75,28500,7.76807
2008-12-01,9.50,10.10,7.55,8.50,54400,6.77216
2008-11-03,7.88,9.45,6.85,9.45,133700,7.52905
2008-10-01,10.24,10.24,6.85,7.88,170400,1.79377
