Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.68,15.69,15.47,15.55,81400,12.91236
2013-03-01,16.33,16.33,14.90,15.61,30400,12.962183
2013-02-01,16.60,16.75,16.110001,16.290001,22800,13.467767
2013-01-02,16.389999,17.25,16.389999,16.58,24800,13.650374
2012-12-03,17.48,17.49,15.80,16.40,34200,13.447697
2012-11-01,16.629999,17.48,16.07,17.40,27300,14.209768
2012-10-01,17.120001,17.120001,16.51,16.57,21300,13.476533
2012-09-04,16.25,17.200001,16.07,17.110001,26400,13.858259
2012-08-01,16.799999,16.90,16.030001,16.24,25000,13.09498
2012-07-02,15.60,17.209999,15.58,16.700001,23900,13.406964
2012-06-01,15.69,15.75,15.31,15.53,22100,12.411353
2012-05-01,15.52,15.72,15.47,15.66,17800,12.456682
2012-04-02,15.26,15.55,15.15,15.48,18800,12.254642
2012-03-01,15.78,16.030001,14.52,15.23,35400,11.997937
2012-02-01,16.01,16.18,15.59,15.76,26400,12.357265
2012-01-03,15.24,16.01,15.24,15.93,22800,12.432375
2011-12-01,15.08,15.75,14.95,15.24,33900,11.836617
2011-11-01,13.89,15.25,13.89,15.01,30100,11.601352
2011-10-03,14.47,14.51,13.76,13.91,16100,10.694488
2011-09-01,13.94,14.52,13.79,14.43,12100,11.034806
2011-08-01,13.51,13.97,12.92,13.92,16300,10.587572
2011-07-01,13.73,14.08,13.16,13.42,15600,10.150522
2011-06-01,13.54,13.82,13.48,13.69,14200,10.299032
2011-05-02,13.00,13.50,12.96,13.49,14600,10.092892
2011-04-01,12.97,13.04,12.64,12.96,16900,9.641762
2011-03-01,13.10,13.24,12.81,12.97,15500,9.593059
2011-02-01,12.88,13.10,12.69,13.10,20800,9.633739
2011-01-03,13.04,13.20,11.91,12.77,26400,9.336457
2010-12-01,14.12,14.18,12.43,13.07,37800,9.500452
2010-11-01,15.18,15.19,12.60,14.12,37900,10.20392
2010-10-01,15.43,15.52,14.98,15.14,14100,10.8864
