Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,36.540001,36.780003,36.310009,36.389992,3395200,22.444477
2013-03-01,37.57,39.160004,35.200008,36.489998,2877800,22.506157
2013-02-01,37.040005,38.959995,36.500008,37.800007,2451100,23.216341
2013-01-02,37.260006,38.029999,36.579994,36.929993,1498200,22.68199
2012-12-03,34.839996,37.17001,34.549992,36.649998,1317500,22.425442
2012-11-01,34.459995,35.409996,32.399998,34.73999,1181500,21.256744
2012-10-01,34.630009,35.02,32.910004,34.440006,1424300,21.073191
2012-09-04,34.519993,36.489998,33.46999,34.509998,1287400,21.02902
2012-08-01,34.029995,35.550007,33.420006,34.530003,1300800,21.04121
2012-07-02,33.100002,34.290001,32.390003,33.809998,1416500,20.602467
2012-06-01,31.550005,33.129997,30.109991,33.100002,1546200,20.086748
2012-05-01,32.880001,33.619999,29.980005,31.930002,1920300,19.376734
2012-04-02,31.630014,32.999996,29.969995,32.980011,1736300,17.815382
2012-03-01,31.439997,32.500011,30.50001,31.569994,1368100,16.980892
2012-02-01,30.610006,32.10001,30.469997,31.260006,1286300,16.814156
2012-01-03,27.919998,31.030006,27.34001,30.469997,1489900,16.389225
2011-12-01,27.960003,28.390011,26.020004,27.479998,1616200,14.717755
2011-11-01,27.890007,29.10,25.440014,27.739992,1965100,14.857003
2011-10-03,27.439997,29.750002,24.420004,28.999994,3283200,15.531836
2011-09-01,29.780012,29.820013,25.640005,27.550011,2344200,14.690297
2011-08-01,31.800014,31.840015,26.580011,29.620005,2859800,15.794065
2011-07-01,33.059998,33.700008,31.100002,31.529993,1382400,16.812515
2011-06-01,32.91,33.209995,30.729994,33.169994,1609400,17.614632
2011-05-02,33.799995,34.230007,31.870007,32.880009,1389100,17.460636
2011-04-01,32.610004,33.709999,31.120003,33.620007,1384100,17.853605
2011-03-01,33.799995,33.799995,30.000002,32.460011,1708300,17.170286
2011-02-01,32.780003,33.900002,31.730001,33.900002,1886200,17.931995
2011-01-03,33.450008,33.839996,31.819998,32.630005,1762600,17.260208
2010-12-01,29.839998,33.490009,29.740011,33.290001,1216300,17.54006
2010-11-01,29.870008,31.890007,28.959993,29.230015,1480700,15.400908
2010-10-01,28.520008,30.869997,28.310009,29.720011,1805600,15.659081
2010-09-01,26.09,28.390011,25.929991,28.369993,1494500,14.882458
2010-08-02,25.300007,26.849998,24.360003,25.640005,1682200,13.450348
2010-07-01,22.54001,25.589994,21.650015,25.090008,1593600,13.161828
2010-06-01,23.940001,25.169992,22.570004,22.620012,1792400,11.805088
2010-05-03,25.53001,26.37001,22.060005,23.819994,2633800,12.431343
2010-04-01,25.540001,26.389994,24.640015,25.339993,1361800,13.22461
2010-03-01,23.680006,26.160009,23.680006,25.419996,1145000,13.1986
2010-02-01,20.159992,23.93001,20.120008,23.669998,1649600,12.289964
2010-01-04,22.659998,22.780003,20.000004,20.089998,1279600,10.431151
2009-12-01,21.689997,22.599995,20.889997,22.179993,1170800,11.443329
2009-11-02,21.119999,21.960001,20.210003,21.220003,2152100,10.948041
2009-10-01,22.699999,24.050014,20.690006,20.900007,2434800,10.782945
2009-09-01,21.33,24.340002,20.199995,22.710009,2706200,11.648015
2009-08-03,21.419996,21.510008,19.010002,20.329992,2420900,10.427299
2009-07-01,17.099998,21.260006,15.380011,21.039997,2670600,10.791462
2009-06-01,17.35,18.880007,16.640013,17.070005,3343500,8.696546
2009-05-01,15.370002,18.670006,14.889997,17.589993,4067400,8.961461
2009-04-01,13.580001,16.159992,13.510007,15.52999,3442400,7.911964
2009-03-02,12.999993,14.710007,11.210011,13.780009,4241900,6.957342
2009-02-02,15.340009,16.74,13.240004,13.390002,4400400,6.760433
2009-01-02,15.119999,18.489998,14.020003,15.779993,5352700,7.967107
2008-12-01,14.380001,15.949992,12.32999,15.269997,4216500,7.650313
2008-11-03,18.120007,19.850004,11.580001,14.469995,5495100,7.249511
2008-10-01,26.139994,27.560001,13.850004,18.000004,4309800,9.018055
2008-09-02,31.760014,33.110008,25.140001,27.439997,3260600,13.641959
2008-08-01,33.51001,34.060009,29.51001,30.939993,1564100,15.382004
2008-07-01,32.150002,35.010006,28.910002,33.620007,2576200,16.714388
2008-06-02,36.630009,36.789997,32.400005,32.539993,2313400,16.114281
2008-05-01,32.990002,37.190014,32.220013,36.800007,2472900,18.223902
2008-04-01,26.990004,33.119999,26.440006,32.720001,2313000,16.203423
2008-03-03,29.560001,29.969995,25.929991,26.830013,2996700,13.230371
2008-02-01,32.520012,34.400005,29.50,29.650015,1720600,14.620966
2008-01-02,35.75,36.110001,27.200005,32.199997,2912000,15.878409
2007-12-03,36.159996,38.650009,34.200016,35.669998,1395800,17.523649
2007-11-01,40.380005,40.520012,33.300011,36.230007,2511900,17.798765
2007-10-01,38.330013,41.339996,36.840008,40.789997,2195300,20.03896
2007-09-04,33.50,38.990005,32.360001,38.500011,2785400,18.857422
2007-08-01,34.830017,36.900009,29.300011,33.870007,4239600,16.589632
2007-07-02,39.980003,41.320011,34.790012,35.140003,2788400,17.211679
2007-06-01,63.389996,63.680008,37.600006,39.900002,2474000,19.477428
2007-05-01,58.110001,65.729996,57.340019,63.309994,2351800,20.603437
2007-04-02,52.580021,59.039989,52.300007,58.150002,1788700,18.924185
2007-03-01,52.440018,54.720009,50.069992,52.260006,1711400,16.953375
2007-02-01,48.600002,59.019989,48.299992,53.769997,2241300,17.443222
2007-01-03,48.199986,50.129993,45.930016,48.969994,1568000,15.886082
2006-12-01,48.50,50.069992,46.290009,48.180016,1455200,15.579469
2006-11-01,44.739994,48.140007,43.340008,47.729996,1337600,15.43395
2006-10-02,44.34,45.469997,42.000004,44.540012,1152200,14.402439
2006-09-01,45.000004,46.420013,42.929989,44.34,1215100,14.286566
2006-08-01,40.999985,45.930016,40.609997,44.779995,968600,14.428334
2006-07-03,41.500008,43.300007,38.639988,41.520008,992700,13.377951
2006-06-01,41.099991,43.609997,38.550011,40.619995,1242400,13.038618
2006-05-01,42.250011,44.000015,37.850006,41.05999,1181000,13.179852
2006-04-03,55.249996,62.119984,40.400013,41.799995,1393100,13.367049
2006-03-01,54.800014,56.980007,52.579998,55.060001,1314300,11.738275
2006-02-01,53.799984,57.140003,52.540009,54.719997,1506500,11.66579
2006-01-03,50.300014,53.960018,47.680031,53.560017,1163600,11.418492
2005-12-01,47.549999,51.929993,46.950012,50.330017,668800,10.699575
2005-11-01,45.550014,48.000019,45.000008,47.779984,1039200,10.157468
2005-10-03,46.599983,47.099979,41.860012,45.770012,1527600,9.730171
2005-09-01,39.989983,47.769997,39.410011,46.599983,1846500,9.872467
2005-08-01,37.249992,39.73,37.200016,39.57999,1189500,8.385242
2005-07-01,38.099979,39.000019,36.770012,37.380028,672700,7.919168
2005-06-01,38.700005,39.090023,37.369999,38.159981,413900,8.051979
2005-05-02,36.190002,38.929989,36.190002,38.560024,588500,8.136391
2005-04-01,37.940022,37.940022,33.899994,36.020016,699100,7.600434
2005-03-01,36.900002,38.440022,35.759991,37.749989,559800,7.932597
2005-02-01,34.019997,38.360004,33.840027,36.909992,952900,7.756084
2005-01-03,36.260029,36.550018,31.250006,34.049995,902000,7.155099
2004-12-01,36.020016,36.870003,32.809998,36.009991,875100,7.535902
2004-11-01,35.79998,40.160004,34.269997,36.12001,1399900,7.558926
2004-10-01,30.270029,36.250004,30.210028,35.680019,993200,7.466847
2004-09-01,28.350023,31.000008,28.150002,30.199999,351200,6.294782
2004-08-02,27.629992,29.030027,26.699991,28.36001,300200,5.911261
2004-07-01,28.40,29.480007,26.750006,27.629992,280300,5.759099
2004-06-01,38.080002,38.540012,24.640005,28.240005,282000,5.856643
2004-05-03,34.079998,40.060032,34.030003,39.510021,425700,5.462608
2004-04-01,40.009975,40.189983,32.20002,33.830021,670400,4.677298
2004-03-01,37.999989,40.540012,36.400009,40.260014,446500,5.522787
2004-02-02,32.099972,37.320023,31.590027,37.170036,375200,5.09891
2004-01-02,30.44001,32.950016,30.44001,32.230042,647700,4.421252
2003-12-01,29.759985,31.320015,29.299978,30.540001,293300,4.156362
2003-11-03,28.420033,30.120003,27.539967,29.959969,269400,4.077422
2003-10-01,25.310019,28.630003,25.310019,28.449993,418600,3.871921
2003-09-02,25.979998,26.950006,25.199984,25.20997,274000,3.399136
2003-08-01,24.639984,26.100021,23.61998,25.970009,112900,3.501614
2003-07-01,24.499985,25.489969,23.469994,24.700026,188200,3.330379
2003-06-02,23.480038,25.839996,23.390034,24.559969,234100,3.27721
2003-05-01,22.430012,23.799986,22.229971,23.439972,162000,3.127761
2003-04-01,19.950029,22.509972,19.799982,22.509972,173300,3.003664
2003-03-03,19.850039,20.520014,18.209991,19.899973,238900,2.625222
2003-02-03,19.950029,19.950029,19.210022,19.719967,297600,2.601475
2003-01-02,20.299997,22.229971,19.699991,19.780006,403700,2.609396
2002-12-02,19.850039,20.600029,19.059977,20.500038,238300,2.671501
2002-11-01,19.640007,20.19002,18.809998,19.910019,178100,2.594612
2002-10-01,19.879999,21.199978,18.550032,19.609987,293400,2.555513
2002-09-03,21.23,21.23,19.590014,19.879999,187500,2.559062
2002-08-01,20.999996,21.960018,20.100016,21.23,165500,2.732842
2002-07-01,22.900005,23.099991,18.150009,20.990007,339000,2.701949
2002-06-03,23.200041,24.41004,22.229971,22.979965,271000,2.922945
2002-05-01,22.349997,23.220015,21.720026,23.220015,102300,2.953478
2002-04-01,21.649998,22.800014,21.250032,22.259993,169100,2.831367
2002-03-01,19.699991,22.169987,19.559992,21.81003,147600,2.742883
2002-02-01,17.800039,19.899973,17.599997,19.649996,180700,2.471232
2002-01-02,18.060005,18.999994,17.45001,17.800039,264000,2.238577
2001-12-03,16.90,18.539988,16.500034,18.060005,246400,2.24033
2001-11-01,15.120012,17.720022,14.689968,16.850004,246400,2.09023
2001-10-01,16.629988,17.260015,14.899998,15.110025,282200,1.874387
2001-09-04,18.200005,18.399986,15.080005,16.500034,351600,2.013933
2001-08-01,17.949968,18.850006,17.820015,18.299995,342700,2.23363
2001-07-02,17.099983,18.080038,16.700018,17.949968,751100,2.190907
2001-06-01,17.37998,17.469986,16.459967,17.099983,157200,2.057533
2001-05-01,16.000019,18.100012,15.500004,17.360006,220100,2.08882
2001-04-02,16.249998,16.990004,15.450008,15.850033,100400,1.907134
2001-03-01,16.649961,16.99999,15.889981,16.200001,90100,1.919748
