Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.379999,16.49,16.379999,16.450001,31800,13.429648
2013-03-01,17.440001,17.530001,15.62,16.440001,32600,13.421484
2013-02-01,17.65,17.860001,17.25,17.35,14700,14.097914
2013-01-02,17.110001,18.139999,17.110001,17.610001,24700,14.241539
2012-12-03,18.719999,18.719999,16.82,17.00,34300,13.683702
2012-11-01,17.74,19.00,17.35,18.66,25900,14.964064
2012-10-01,17.65,17.809999,17.219999,17.67,20200,14.104714
2012-09-04,17.110001,17.65,17.02,17.60,17800,13.981016
2012-08-01,17.91,17.91,16.85,17.16,27300,13.564528
2012-07-02,17.23,17.91,17.200001,17.809999,21200,14.011068
2012-06-01,17.15,17.27,16.540001,17.190001,24200,13.455165
2012-05-01,16.620001,17.15,16.43,17.15,16800,13.354595
2012-04-02,16.35,16.709999,16.02,16.559999,19300,12.826279
2012-03-01,17.00,17.17,15.26,16.280001,34900,12.541804
2012-02-01,17.10,17.459999,16.41,16.809999,24600,12.881826
2012-01-03,15.83,17.10,15.68,17.08,27200,13.019435
2011-12-01,15.40,15.75,15.27,15.72,24100,11.916105
2011-11-01,15.15,15.54,14.97,15.36,11700,11.57385
2011-10-03,15.36,15.43,14.82,15.08,11700,11.296247
2011-09-01,14.96,15.43,14.75,15.28,19400,11.378152
2011-08-01,14.21,14.91,13.49,14.86,22400,11.000268
2011-07-01,14.60,14.75,13.94,14.07,17700,10.350775
2011-06-01,14.44,14.76,14.27,14.49,13000,10.595215
2011-05-02,14.05,14.44,14.02,14.39,11400,10.456881
2011-04-01,14.41,14.46,13.49,14.02,14400,10.124021
2011-03-01,13.74,14.43,13.58,14.34,15700,10.289268
2011-02-01,13.77,13.89,13.27,13.61,13000,9.702633
2011-01-03,13.70,13.93,12.19,13.66,45600,9.677191
2010-12-01,14.50,14.50,13.11,13.73,43800,9.664726
2010-11-01,15.67,15.74,13.02,14.40,43200,10.071851
2010-10-01,16.00,16.00,15.16,15.58,16300,10.835731
2010-09-01,15.97,16.00,15.51,15.87,16500,10.976731
2010-08-02,15.47,15.83,15.35,15.79,16800,10.862621
2010-07-01,14.99,15.44,14.86,15.34,16900,10.49584
2010-06-01,14.52,15.00,14.42,14.99,13900,10.199386
2010-05-03,14.91,14.92,13.84,14.47,18900,9.788641
2010-04-01,14.73,14.95,14.52,14.78,15100,9.940926
2010-03-01,14.53,14.86,14.25,14.55,19200,9.729911
2010-02-01,14.56,15.26,14.04,14.38,23000,9.560089
2010-01-04,13.86,14.52,13.80,14.40,25900,9.51742
2009-12-01,14.41,14.41,13.75,13.88,26500,9.118822
2009-11-02,14.27,14.27,13.25,14.24,31700,9.299646
2009-10-01,15.36,15.36,13.27,14.03,44800,9.106874
2009-09-01,13.97,14.90,13.70,14.90,27800,9.613941
2009-08-03,13.45,14.08,13.11,13.80,13500,8.85126
2009-07-01,12.99,13.54,12.71,13.30,15200,8.476571
2009-06-01,11.99,13.19,11.88,12.80,27000,8.105292
2009-05-01,11.78,12.29,11.62,11.90,22100,7.486495
2009-04-01,10.72,11.77,10.70,11.69,12000,7.309112
2009-03-02,11.09,11.13,10.30,10.78,15300,6.696481
2009-02-02,11.68,12.80,9.86,11.06,24100,6.823499
2009-01-02,9.60,11.90,9.20,11.67,20100,7.157454
2008-12-01,9.66,9.80,7.85,9.10,47300,5.545822
2008-11-03,10.88,11.98,8.57,9.70,33300,5.862274
2008-10-01,11.51,12.15,6.78,10.76,47700,6.462459
2008-09-02,13.88,14.00,10.35,11.45,31900,6.818903
2008-08-01,13.67,13.91,13.41,13.89,14300,8.228728
2008-07-01,14.35,14.55,13.30,13.66,21000,8.049192
2008-06-02,15.59,15.60,14.29,14.31,18200,8.389132
2008-05-01,15.59,15.68,15.05,15.62,17800,9.113217
2008-04-01,14.85,15.51,14.80,15.45,16600,8.96861
2008-03-03,14.95,15.80,14.24,14.85,40200,8.576559
2008-02-01,15.60,16.809999,14.79,14.85,32900,8.532504
2008-01-02,14.48,16.110001,14.48,15.85,35000,9.064168
2007-12-03,15.42,15.85,14.11,14.41,64700,8.200964
2007-11-01,16.90,16.98,15.09,15.35,25400,8.617856
2007-10-01,16.280001,17.280001,15.16,16.85,20700,9.410919
2007-09-04,16.549999,17.389999,16.030001,16.26,22300,9.035041
2007-08-01,16.610001,16.85,14.50,16.50,36500,9.124361
2007-07-02,17.969999,18.139999,16.370001,16.60,19800,9.131849
2007-06-01,18.200001,19.00,16.50,17.959999,49000,9.832847
2007-05-01,19.34,19.65,18.15,18.25,31500,9.94064
2007-04-02,18.860001,19.309999,18.799999,19.280001,18700,10.455062
2007-03-01,18.790001,19.030001,18.610001,18.92,13100,10.214159
2007-02-01,19.43,19.450001,18.50,18.76,16900,10.082282
2007-01-03,18.99,19.50,18.450001,19.23,16900,10.288023
2006-12-01,18.389999,19.00,18.23,18.99,17700,10.113197
2006-11-01,18.00,18.50,17.940001,18.379999,17700,9.743348
2006-10-02,17.549999,18.09,17.389999,17.99,24900,9.491169
2006-09-01,17.889999,18.389999,17.030001,17.549999,42600,9.21397
2006-08-01,17.68,18.110001,17.450001,17.889999,15900,9.347624
2006-07-03,17.17,17.65,16.90,17.530001,16300,9.115442
2006-06-01,17.35,17.43,17.10,17.16,12300,8.830846
2006-05-01,17.26,17.450001,17.00,17.34,15200,8.878963
2006-04-03,16.799999,17.48,16.799999,17.219999,20300,8.77386
2006-03-01,17.200001,17.35,16.75,16.879999,22200,8.55737
2006-02-01,16.84,17.219999,16.549999,17.15,21700,8.650599
2006-01-03,17.00,17.41,16.76,16.809999,19500,8.436382
2005-12-01,16.90,17.379999,16.700001,16.93,13800,8.453899
2005-11-01,15.62,17.00,15.56,16.969999,24900,8.431942
2005-10-03,16.74,16.77,15.07,15.59,32900,7.705462
2005-09-01,17.23,17.389999,16.450001,16.709999,25200,8.214886
2005-08-01,17.450001,17.799999,16.790001,17.18,40500,8.404008
2005-07-01,16.35,17.65,16.200001,17.379999,59200,8.459135
2005-06-01,15.91,16.370001,15.88,16.25,22800,7.869599
2005-05-02,15.56,15.98,15.40,15.91,36300,7.663529
2005-04-01,14.45,15.58,14.42,15.53,34400,7.439515
2005-03-01,15.00,15.28,14.01,14.27,26500,6.796625
2005-02-01,15.08,15.35,14.98,14.98,26100,7.094127
2005-01-03,14.95,15.08,14.78,15.08,19500,7.101238
2004-12-01,14.76,14.99,14.63,14.89,14100,6.970825
2004-11-01,14.86,15.03,14.11,14.73,28400,6.8556
2004-10-01,14.65,14.96,14.57,14.86,18800,6.874465
2004-09-01,14.71,14.83,14.52,14.61,19900,6.719373
2004-08-02,14.09,14.79,14.06,14.61,16200,6.679578
2004-07-01,13.50,14.25,13.44,14.03,20600,6.375437
2004-06-01,13.57,13.65,13.30,13.41,25600,6.0561
2004-05-03,13.44,13.61,13.03,13.55,26800,6.080122
2004-04-01,15.12,15.12,13.23,13.36,30800,5.956334
2004-03-01,15.05,15.38,15.00,15.10,25500,6.691327
2004-02-02,15.07,15.32,14.95,15.01,27200,6.613794
2004-01-02,14.74,15.26,14.69,15.00,22900,6.572067
2003-12-01,14.57,14.85,14.45,14.71,15300,6.407632
2003-11-03,14.40,14.74,14.30,14.67,17600,6.353201
2003-10-01,14.10,14.39,13.91,14.30,19400,6.156384
2003-09-02,13.71,14.10,13.55,14.09,18500,6.029418
2003-08-01,13.78,13.95,13.58,13.66,12600,5.809037
2003-07-01,14.90,14.95,13.50,13.78,19700,5.823837
2003-06-02,14.88,15.00,14.50,14.85,19300,6.239754
2003-05-01,14.16,14.80,14.07,14.80,18700,6.183873
2003-04-01,13.90,14.16,13.66,14.16,12700,5.882187
2003-03-03,14.00,14.29,13.57,13.90,15200,5.739211
2003-02-03,13.97,14.10,13.74,14.00,12500,5.746064
2003-01-02,13.94,14.09,13.44,13.90,21400,5.67079
2002-12-02,13.53,14.03,13.22,13.90,33300,5.63602
2002-11-01,14.10,14.26,13.36,13.53,20200,5.432274
2002-10-01,14.78,14.99,13.90,14.00,14300,5.587844
2002-09-03,14.95,15.00,14.50,14.70,17400,5.834203
2002-08-01,14.61,14.98,14.52,14.90,12400,5.88042
2002-07-01,14.05,14.77,13.95,14.53,14800,5.702241
2002-06-03,15.00,15.07,13.75,14.05,21400,5.482273
2002-05-01,15.18,15.30,15.00,15.00,22400,5.819674
2002-04-26,15.00,15.10,15.00,15.06,147700,5.842952
