Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.540001,25.59,24.870001,25.08,150800,22.864597
2013-03-01,24.26,26.01,23.950001,25.540001,67900,23.283964
2013-02-01,24.209999,25.450001,23.379999,24.299999,77000,22.153498
2013-01-02,24.299999,24.879999,23.950001,24.200001,70100,21.900572
2012-12-03,23.110001,24.26,22.440001,23.860001,82300,21.592878
2012-11-01,23.43,23.65,20.889999,23.059999,70500,20.868891
2012-10-01,22.93,23.91,22.809999,23.48,92800,21.083622
2012-09-04,22.24,23.66,21.99,22.879999,66000,20.544857
2012-08-01,22.49,22.77,21.67,22.25,60100,19.979156
2012-07-02,22.030001,22.83,21.190001,22.459999,48100,20.015411
2012-06-01,21.41,22.07,20.15,22.00,117400,19.60548
2012-05-01,22.700001,23.35,21.610001,21.82,64000,19.44507
2012-04-02,22.780001,23.49,21.799999,22.690001,64600,20.068817
2012-03-01,22.15,23.41,21.030001,22.92,52000,20.272245
2012-02-01,22.50,24.49,21.75,21.99,48100,19.44968
2012-01-03,22.50,23.280001,22.209999,22.620001,45600,19.855673
2011-12-01,19.77,22.50,19.67,22.190001,78900,19.47822
2011-11-01,19.299999,20.030001,18.379999,19.92,71600,17.48563
2011-10-03,18.280001,21.540001,17.559999,20.02,74100,17.419258
2011-09-01,21.48,21.549999,17.110001,18.469999,87400,16.070614
2011-08-01,22.00,22.01,18.559999,21.540001,88100,18.7418
2011-07-01,22.440001,24.139999,21.15,21.92,88100,18.917452
2011-06-01,22.07,22.459999,20.450001,22.389999,51800,19.323072
2011-05-02,22.35,22.360001,20.92,22.049999,51400,19.029644
2011-04-01,20.98,22.85,20.85,22.299999,49900,19.09967
2011-03-01,22.309999,22.51,20.68,20.83,32200,17.840635
2011-02-01,21.32,22.700001,21.18,22.559999,46500,19.322357
2011-01-03,22.26,22.92,21.09,21.24,69700,18.05991
2010-12-01,20.389999,22.49,19.950001,22.110001,70800,18.799652
2010-11-01,19.41,20.32,19.059999,20.07,26300,17.065084
2010-10-01,19.110001,19.780001,17.90,19.34,40300,16.308054
2010-09-01,17.98,19.34,17.50,18.959999,28600,15.987627
2010-08-02,20.540001,20.540001,17.08,17.690001,33700,14.916727
2010-07-01,19.440001,20.940001,17.809999,20.190001,35300,16.890549
2010-06-01,18.10,20.09,16.809999,19.48,48700,16.296576
2010-05-03,21.059999,21.790001,17.59,18.24,36400,15.259217
2010-04-01,18.370001,22.84,17.51,21.00,36300,17.430321
2010-03-01,17.959999,18.950001,17.49,18.33,29500,15.214179
2010-02-01,16.66,18.629999,16.450001,17.879999,56400,14.840672
2010-01-04,20.860001,20.99,16.200001,16.549999,121200,13.612437
2009-12-01,19.08,21.280001,18.90,20.68,31800,17.009378
2009-11-02,21.17,21.370001,18.049999,18.860001,48300,15.512423
2009-10-01,21.90,22.85,20.200001,20.549999,43200,16.76405
2009-09-01,22.51,23.809999,21.459999,21.940001,37200,17.89797
2009-08-03,23.040001,24.879999,21.93,22.51,40800,18.362959
2009-07-01,21.57,23.219999,19.92,22.860001,43400,18.518805
2009-06-01,21.83,23.15,19.870001,20.780001,95200,16.833805
2009-05-01,22.57,24.27,21.10,21.41,126200,17.344164
2009-04-01,22.59,26.99,21.790001,22.559999,38300,18.144941
2009-03-02,20.799999,24.870001,18.459999,22.92,42900,18.43449
2009-02-02,23.33,25.780001,20.360001,21.059999,46700,16.938496
2009-01-02,30.92,31.389999,23.309999,23.52,52300,18.796337
2008-12-01,28.33,31.00,24.450001,30.860001,78700,24.662199
2008-11-03,26.049999,29.00,23.00,28.99,71200,23.167763
2008-10-01,31.01,31.01,22.48,26.030001,95500,20.678415
2008-09-02,26.790001,32.00,24.389999,32.00,43000,25.421024
2008-08-01,26.299999,28.65,25.90,26.60,29500,21.131227
2008-07-01,23.58,26.879999,20.67,26.50,35500,21.051786
2008-06-02,25.00,25.91,23.299999,23.65,49900,18.671574
2008-05-01,25.59,27.10,24.51,25.309999,43000,19.982136
2008-04-01,25.57,26.190001,22.25,25.59,36300,20.080427
2008-03-03,22.620001,25.870001,21.76,25.190001,65600,19.766548
2008-02-01,23.50,23.92,22.200001,22.65,64800,17.773415
2008-01-02,25.74,26.290001,19.50,23.77,76800,18.532557
2007-12-03,24.49,27.66,24.299999,26.00,55400,20.271202
2007-11-01,27.620001,28.91,24.030001,24.27,53300,18.922388
2007-10-01,30.10,31.50,26.93,27.870001,30200,21.604336
2007-09-04,29.709999,33.00,28.389999,30.23,29000,23.433765
2007-08-01,26.27,31.50,25.209999,29.629999,29400,22.968657
2007-07-02,31.530001,32.25,26.190001,26.24,31100,20.227867
2007-06-01,32.98,33.290001,31.43,31.51,28300,24.2904
2007-05-01,32.209999,33.84,31.700001,32.889999,28300,25.354214
2007-04-02,33.59,34.00,32.080002,32.240002,19400,24.744514
2007-03-01,34.240002,34.75,32.52,33.650002,30100,25.826702
2007-02-01,33.990002,34.82,33.389999,34.57,32200,26.53281
2007-01-03,33.400002,34.25,32.34,33.970001,31300,25.964184
2006-12-01,33.75,34.73,33.080002,33.459999,37200,25.574377
2006-11-01,36.259998,36.52,33.720001,33.73,39600,25.780745
2006-10-02,35.580002,39.669998,35.040001,36.16,42000,27.530008
2006-09-01,37.360001,38.439999,35.560001,35.59,22300,27.096045
2006-08-01,34.610001,37.77,34.259998,37.32,50200,28.41316
2006-07-03,35.330002,35.91,33.459999,34.889999,48300,26.457609
2006-06-01,34.50,36.389999,33.32,35.48,28600,26.905014
2006-05-01,34.450001,35.009998,32.77,34.400002,34900,26.086037
2006-04-03,34.950001,35.880001,33.299999,34.34,16500,25.933874
2006-03-01,32.91,34.939999,32.400002,34.939999,20300,26.386999
2006-02-01,33.279999,33.599998,32.369999,33.049999,16600,24.959654
2006-01-03,33.880001,36.080002,32.73,33.119999,12800,24.907299
2005-12-01,32.84,35.220001,32.650002,33.50,16700,25.193071
2005-11-01,34.439999,35.00,31.75,32.59,13400,24.508722
2005-10-03,33.849998,35.57,31.75,35.02,11700,26.228571
2005-09-01,32.450001,35.200001,31.90,34.00,19100,25.464632
2005-08-01,33.849998,34.00,32.25,32.25,26100,24.153954
2005-07-01,33.220001,34.77,32.049999,33.900002,8300,25.283791
2005-06-01,31.75,34.900002,31.15,33.32,17600,24.851204
2005-05-02,31.58,33.599998,31.299999,31.85,6500,23.754827
2005-04-01,33.900002,34.549999,30.969999,31.40,7700,23.332195
2005-03-01,35.00,35.18,33.400002,33.75,6600,25.078396
2005-02-01,35.549999,36.599998,34.00,34.830002,18800,25.880905
2005-01-03,37.00,37.639999,34.700001,35.349998,8700,26.179152
2004-12-01,36.50,38.150002,34.549999,37.150002,10000,27.512178
2004-11-01,37.700001,38.099998,35.599998,36.50,11000,27.030807
2004-10-01,37.099998,38.200001,35.900002,37.779999,4100,27.888481
2004-09-01,37.25,39.200001,36.110001,36.950001,4100,27.275793
2004-08-02,37.200001,37.50,34.799999,37.349998,4800,27.571064
2004-07-01,37.200001,38.400002,36.82,37.400002,7800,27.518337
2004-06-01,36.099998,37.200001,33.099998,37.099998,8600,27.2976
2004-05-03,33.860001,37.299999,32.459999,36.099998,9500,26.561815
2004-04-01,34.950001,36.099998,33.849998,33.849998,8500,24.817217
2004-03-01,37.00,37.130001,34.400002,34.900002,4200,25.58703
2004-02-02,37.849998,38.00,36.310001,37.099998,8400,27.199965
2004-01-02,36.200001,39.200001,36.110001,37.799999,11400,27.623846
2003-12-01,33.900002,37.599998,33.900002,36.200001,7800,26.454584
2003-11-03,35.91,36.75,33.400002,33.849998,6800,24.737226
2003-10-01,33.75,36.299999,33.75,35.970001,6100,26.198807
2003-09-02,32.299999,33.700001,31.25,33.689999,7500,24.538164
2003-08-01,30.49,34.299999,29.90,32.400002,13300,23.598593
2003-07-01,28.299999,30.50,28.00,30.299999,14200,21.980835
2003-06-02,26.60,28.799999,26.120001,28.40,29200,20.602499
2003-05-01,26.40,27.610001,24.66,26.40,10500,19.151619
2003-04-01,22.959999,26.450001,22.75,26.40,6300,19.064896
2003-03-03,23.01,24.08,23.00,23.00,4300,16.609568
2003-02-03,22.75,23.50,22.50,23.200001,14400,16.754
2003-01-02,23.59,23.799999,21.77,22.75,13300,16.343498
2002-12-02,23.25,25.50,22.90,23.549999,7500,16.918215
2002-11-01,25.290001,25.299999,22.92,23.299999,7100,16.738615
2002-10-01,23.43,25.40,22.90,25.25,5500,18.052069
2002-09-03,25.50,25.90,23.00,23.50,8500,16.800934
2002-08-01,24.08,27.379999,23.629999,25.65,10400,18.338041
2002-07-01,26.00,26.700001,19.50,24.07,14100,17.122044
2002-06-03,23.799999,26.35,23.10,26.200001,31300,18.637207
2002-05-01,22.25,23.60,22.25,23.60,13300,16.787714
2002-04-01,22.15,25.10,21.65,22.25,30400,15.744822
2002-03-01,22.040001,22.25,21.799999,22.15,17000,15.674058
2002-02-01,21.299999,22.200001,21.25,22.040001,29700,15.596219
2002-01-02,20.15,21.59,19.559999,21.200001,11200,14.917251
2001-12-03,19.50,20.299999,19.50,20.25,15800,14.248788
2001-11-01,18.799999,19.60,18.700001,19.60,12900,13.79142
2001-10-01,18.00,19.00,17.799999,19.00,9200,13.292237
2001-09-04,18.60,18.60,16.50,18.24,15600,12.760548
2001-08-01,19.50,20.00,18.309999,18.60,11200,13.012402
2001-07-02,17.299999,19.49,17.299999,19.450001,53200,13.529702
2001-06-01,18.049999,18.299999,17.10,17.10,14700,11.895007
2001-05-01,17.299999,18.50,17.299999,18.15,10500,12.625402
2001-04-02,18.299999,18.84,17.00,17.50,16600,12.097084
2001-03-01,18.200001,18.85,17.90,18.50,15400,12.788346
2001-02-01,16.90,18.99,16.799999,18.15,62900,12.546404
2001-01-02,15.625,17.25,14.875,17.00,49500,11.682326
2000-12-01,13.375,16.00,13.375,15.75,47000,10.823332
2000-11-01,14.75,15.25,13.125,13.25,23500,9.105343
2000-10-02,14.50,14.75,13.00,14.6875,12300,10.024467
2000-09-01,14.50,15.00,13.75,14.375,17600,9.811181
2000-08-01,12.5625,15.00,12.5625,14.625,45900,9.981811
2000-07-03,12.75,12.9375,12.4375,12.5625,60800,8.574119
2000-06-28,12.50,12.75,12.125,12.75,1041800,8.702091
