Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.38,7.38,7.32,7.33,65400,6.415481
2013-03-01,6.95,7.35,6.93,7.33,70900,6.415481
2013-02-01,7.02,7.07,6.89,6.96,65000,6.091644
2013-01-02,6.45,7.01,6.42,6.97,76400,6.100396
2012-12-03,6.54,6.67,6.21,6.33,77300,5.540245
2012-11-01,6.58,6.65,6.03,6.53,54100,5.464546
2012-10-01,6.56,6.75,6.49,6.58,67200,5.506387
2012-09-04,6.23,6.56,6.21,6.55,84200,5.481282
2012-08-01,6.24,6.33,6.13,6.30,72400,5.272073
2012-07-02,6.08,6.25,5.96,6.24,58600,5.221863
2012-06-01,5.66,6.09,5.58,6.08,88300,5.087969
2012-05-01,6.06,6.13,5.62,5.73,60600,4.795076
2012-04-02,6.27,6.36,5.97,6.05,46500,5.062864
2012-03-01,6.29,6.39,6.19,6.27,48800,5.246968
2012-02-01,6.15,6.37,6.12,6.28,112300,5.255336
2012-01-03,5.79,6.14,5.72,6.08,73300,5.087969
2011-12-01,5.87,5.91,5.51,5.74,78900,4.803444
2011-11-01,5.86,5.99,5.50,5.89,40400,4.833849
2011-10-03,5.42,6.15,5.18,5.96,54200,4.891297
2011-09-01,5.89,6.02,5.27,5.46,59800,4.480954
2011-08-01,6.32,6.35,5.25,5.92,64100,4.85847
2011-07-01,6.48,6.57,6.11,6.26,38200,5.137504
2011-06-01,6.59,6.59,6.27,6.48,41200,5.318055
2011-05-02,6.66,6.67,6.47,6.64,44300,5.449365
2011-04-01,6.55,6.67,6.41,6.66,34700,5.465778
2011-03-01,6.71,6.73,6.28,6.59,35100,5.40833
2011-02-01,6.41,6.95,6.41,6.70,91300,5.498606
2011-01-03,6.25,6.49,6.19,6.40,44600,5.2524
2010-12-01,6.23,6.35,6.12,6.23,35600,5.112883
2010-11-01,6.29,6.49,6.15,6.20,33000,5.007239
2010-10-01,6.22,6.44,6.07,6.29,36200,5.079925
2010-09-01,5.81,6.30,5.50,6.20,61600,5.007239
2010-08-02,5.81,6.00,5.58,5.77,50200,4.659963
2010-07-01,5.49,5.86,5.40,5.80,50000,4.684192
2010-06-01,5.44,5.75,5.25,5.53,45300,4.466135
2010-05-03,6.04,6.13,4.98,5.53,83300,4.466135
2010-04-01,6.33,6.63,6.02,6.05,67500,4.886096
2010-03-01,6.11,6.49,6.08,6.34,58700,5.120306
2010-02-01,6.06,6.14,5.50,6.12,77900,4.942629
2010-01-04,5.74,6.11,5.74,6.07,118600,4.902249
2009-12-01,5.65,6.29,5.42,5.75,123100,4.64381
2009-11-02,5.33,5.75,5.28,5.63,98500,4.546896
2009-10-01,5.55,5.65,5.30,5.39,78700,4.353067
2009-09-01,5.27,5.67,5.01,5.61,79500,4.530744
2009-08-03,5.20,5.73,5.10,5.27,165400,4.256153
2009-07-01,4.58,4.98,4.39,4.92,72300,3.973487
2009-06-01,4.63,4.77,4.31,4.52,82500,3.650439
2009-05-01,4.34,4.60,4.18,4.60,143100,3.715048
2009-04-01,3.90,4.48,3.88,4.36,109000,3.52122
2009-03-02,3.70,4.09,3.11,3.96,165700,3.198172
2009-02-02,4.47,4.79,3.59,3.89,167700,3.141639
2009-01-02,4.60,5.12,4.28,4.42,96100,3.569677
2008-12-01,4.08,4.72,3.96,4.66,152900,3.763505
