Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,21.65,21.690001,21.530001,21.549999,5451000,18.759087
2013-03-01,21.120001,22.299999,20.860001,21.60,2251100,18.802612
2013-02-01,20.370001,21.60,20.129999,21.120001,2102400,18.188839
2013-01-02,19.65,20.530001,19.469999,20.35,1000400,17.525703
2012-12-03,19.379999,19.58,18.709999,19.33,993800,16.647264
2012-11-01,19.09,19.469999,18.190001,19.27,1201300,16.39539
2012-10-01,18.75,19.68,18.299999,19.120001,1475800,16.267765
2012-09-04,18.549999,19.940001,18.459999,18.719999,1148300,15.927435
2012-08-01,18.83,19.18,18.26,18.530001,879500,15.586054
2012-07-02,18.75,19.15,18.10,18.799999,937300,15.813156
2012-06-01,17.690001,18.780001,17.52,18.68,2128800,15.712222
2012-05-01,19.809999,20.299999,17.82,18.049999,1378900,15.000867
2012-04-02,19.030001,20.02,18.35,19.82,2835400,16.471867
2012-03-01,18.50,19.65,18.18,18.98,1394500,15.773765
2012-02-01,18.780001,19.52,18.299999,18.42,1492200,15.135774
2012-01-03,18.49,18.68,17.719999,18.57,1637200,15.259029
2011-12-01,17.73,18.75,17.129999,18.08,1579700,14.856395
2011-11-01,17.49,18.950001,16.43,17.809999,2435300,14.47709
2011-10-03,16.43,18.52,15.44,18.110001,2144700,14.720949
2011-09-01,18.35,18.540001,15.62,16.57,1477200,13.469139
2011-08-01,19.90,19.91,14.94,18.290001,1810400,14.68932
2011-07-01,19.280001,21.030001,19.190001,19.620001,891500,15.757488
2011-06-01,20.41,20.50,18.52,19.24,1376100,15.452296
2011-05-02,19.950001,20.860001,18.969999,20.49,1422100,16.281891
2011-04-01,19.18,19.91,18.139999,19.84,1546100,15.765384
2011-03-01,18.200001,19.190001,16.719999,19.02,1736100,15.113791
2011-02-01,17.950001,18.459999,16.82,18.15,2274600,14.26755
2011-01-03,18.780001,19.059999,17.690001,17.85,1387200,14.031724
2010-12-01,17.90,18.82,17.290001,18.65,1089400,14.660596
2010-11-01,18.440001,19.50,16.639999,17.629999,1503100,13.732727
2010-10-01,18.16,19.219999,17.799999,18.35,1531600,14.293565
2010-09-01,17.26,19.25,17.23,17.92,2280300,13.95862
2010-08-02,18.389999,18.700001,16.25,17.09,1306900,13.188368
2010-07-01,16.01,18.440001,14.79,18.040001,1464400,13.921484
2010-06-01,16.90,18.450001,15.42,16.09,1601800,12.416667
2010-05-03,18.709999,19.120001,15.04,17.01,1896600,13.009569
2010-04-01,16.65,19.50,16.370001,18.51,2012900,14.156797
2010-03-01,15.57,17.879999,15.52,16.540001,1171100,12.650105
2010-02-01,14.63,15.81,13.36,15.45,1358200,11.718331
2010-01-04,15.96,16.959999,14.17,14.57,1803600,11.050879
2009-12-01,13.93,16.59,13.89,15.78,1017200,11.968625
2009-11-02,13.75,14.70,12.72,13.69,1165500,10.294572
2009-10-01,13.84,14.05,12.62,13.57,1246900,10.204334
2009-09-01,13.32,15.31,11.92,13.80,1309500,10.37729
2009-08-03,11.78,14.56,11.65,13.48,1692800,10.056667
2009-07-01,10.41,11.89,9.16,11.68,1497600,8.71379
2009-06-01,10.07,10.89,9.42,10.23,1545900,7.632026
2009-05-01,11.33,12.21,9.52,9.83,3242800,7.252859
2009-04-01,6.59,11.85,6.47,11.41,2553300,8.418629
2009-03-02,8.48,8.68,6.02,6.77,2437500,4.995102
2009-02-02,10.88,12.32,8.10,8.53,1686600,6.009149
2009-01-02,11.76,13.52,9.57,11.04,1770600,7.777374
2008-12-01,9.27,12.00,6.66,11.72,2697600,8.256415
2008-11-03,13.88,14.36,5.88,9.32,2406200,6.36609
2008-10-01,25.34,25.43,12.87,14.05,2484200,9.59695
2008-09-02,27.360001,29.50,24.969999,26.450001,1658200,18.066854
2008-08-01,25.709999,27.52,24.799999,26.780001,864400,18.061022
2008-07-01,24.23,27.90,22.719999,25.799999,1247800,17.400087
2008-06-02,26.280001,26.52,23.59,24.530001,955300,16.543573
2008-05-01,25.620001,27.75,25.620001,26.280001,759400,17.489498
2008-04-01,24.200001,26.879999,24.16,26.00,860000,17.303156
2008-03-03,23.24,25.33,20.889999,23.889999,992800,15.898938
2008-02-01,23.23,24.10,20.030001,21.92,540800,14.389073
2008-01-02,23.120001,23.889999,19.32,22.98,818200,15.084895
2007-12-03,22.809999,26.120001,22.049999,23.17,1099100,15.209619
2007-11-01,23.389999,23.75,20.889999,22.58,816400,14.636667
2007-10-01,24.049999,26.25,21.90,23.889999,508100,15.485827
2007-09-04,24.360001,26.02,22.40,24.10,583100,15.621953
2007-08-01,21.82,26.09,21.18,24.379999,843800,15.60349
2007-07-02,25.290001,26.200001,21.00,21.84,741200,13.97786
2007-06-01,28.25,28.99,24.129999,25.120001,756100,16.077099
2007-05-01,28.709999,29.940001,26.40,28.059999,598000,17.733341
2007-04-02,26.42,29.34,26.209999,28.709999,687900,18.144129
2007-03-01,27.40,28.459999,25.59,26.299999,778500,16.621058
2007-02-01,29.83,31.200001,27.50,27.950001,674400,17.458893
2007-01-03,28.60,30.030001,25.85,29.83,564500,18.63323
2006-12-01,30.15,31.110001,27.709999,28.60,477300,17.864914
2006-11-01,32.27,32.41,28.23,30.200001,715200,18.67104
2006-10-02,30.15,32.299999,29.809999,32.23,418700,19.926079
2006-09-01,31.190001,31.99,28.870001,30.34,525900,18.757593
2006-08-01,29.700001,31.790001,28.280001,31.139999,450700,19.067135
2006-07-03,30.00,30.860001,29.110001,29.809999,397100,18.252771
2006-06-01,28.68,29.940001,27.59,29.940001,434800,18.332371
2006-05-01,27.950001,29.49,25.950001,28.67,581000,17.37364
2006-04-03,29.620001,29.620001,26.16,27.68,221800,16.773712
