Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.95,3.00,2.93,3.00,800,30.00
2013-03-01,2.89,3.03,2.71,2.97,800,29.700001
2013-02-01,2.54,3.21,2.41,2.91,1900,29.10
2013-01-02,2.56,2.70,2.42,2.53,1400,25.299999
2012-12-03,2.68,2.74,2.25,2.33,3100,23.299999
2012-11-01,2.69,2.82,2.10,2.75,1600,27.50
2012-10-01,1.98,2.99,1.93,2.67,3000,26.700001
2012-09-04,1.90,2.05,1.82,1.99,1300,19.90
2012-08-01,2.02,2.15,1.46,1.97,900,19.700001
2012-07-02,2.30,2.35,1.91,2.01,500,20.10
2012-06-01,2.34,2.57,1.97,2.25,900,22.50
2012-05-01,3.49,3.56,2.30,2.34,1200,23.40
2012-04-02,3.89,3.94,3.37,3.51,800,35.099998
2012-03-01,3.55,3.99,2.91,3.89,2200,38.900002
2012-02-01,4.06,4.29,3.49,3.51,1800,35.099998
2012-01-03,4.11,4.32,3.80,3.96,1400,39.599998
2011-12-01,4.75,5.19,3.91,3.97,2100,39.700001
2011-11-01,5.66,6.38,4.40,4.72,1700,44.382927
2011-10-03,5.65,6.28,4.70,5.90,2600,55.478657
2011-09-01,6.75,6.98,4.53,5.79,7000,54.444309
2011-08-01,8.25,8.25,6.20,6.880001,2100,64.693756
2011-07-01,8.18,8.63,7.89,8.48,1100,79.738815
2011-06-01,8.85,9.05,7.57,8.10,1400,76.165611
2011-05-02,10.10,10.190001,7.85,8.86,2000,83.312012
2011-04-01,9.780001,10.59,9.60,10.190001,1500,95.818222
2011-03-01,9.27,10.75,9.02,9.71,2900,91.304703
2011-02-01,9.00,9.75,8.400001,9.18,2100,86.32103
2011-01-03,9.21,10.030001,8.900001,9.00,2100,84.628456
2010-12-01,8.190001,9.34,8.00,8.91,1600,83.782173
2010-11-01,9.35,9.60,8.00,8.11,2100,76.259644
2010-10-01,10.46,10.740001,9.05,9.27,4600,87.167313
2010-09-01,10.97,15.389999,10.530001,14.10,6600,101.770424
2010-08-02,11.25,11.75,9.650001,10.95,100,79.034477
2010-07-01,10.31,11.59,10.30,10.88,000,78.529236
2010-06-01,11.85,11.95,10.01,10.21,200,73.693336
