Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,35.830002,35.84,35.48,35.619999,4119200,32.54417
2013-03-01,34.029999,35.91,33.82,35.810001,2965300,32.717766
2013-02-01,32.91,34.380001,32.779999,34.110001,4243300,31.16456
2013-01-02,29.969999,33.00,29.75,32.689999,4465100,29.867178
2012-12-03,29.91,31.120001,28.780001,29.50,3914400,26.746138
2012-11-01,27.91,29.969999,27.48,29.860001,4086200,27.072533
2012-10-01,27.700001,28.799999,27.610001,27.84,3505600,25.241102
2012-09-04,25.299999,27.75,25.299999,27.59,4858400,24.792759
2012-08-01,24.74,25.389999,24.07,25.110001,2965200,22.564196
2012-07-02,25.85,25.92,23.639999,24.690001,5226500,22.186779
2012-06-01,24.959999,25.93,24.190001,25.93,4190800,23.066189
2012-05-01,25.82,26.02,24.99,25.15,3889500,22.372334
2012-04-02,26.280001,26.870001,25.50,25.82,5152500,22.968336
2012-03-01,26.25,26.75,25.950001,26.26,2927700,23.143032
2012-02-01,26.75,27.08,26.10,26.25,3951300,23.134218
2012-01-03,26.629999,27.34,26.219999,26.67,4710200,23.504366
2011-12-01,25.280001,26.68,25.09,26.40,3338000,23.059906
2011-11-01,24.809999,25.969999,23.809999,25.26,4044300,22.064138
2011-10-03,24.00,25.90,23.639999,25.33,4995100,22.125282
2011-09-01,24.48,24.91,22.389999,24.219999,5510700,20.953995
2011-08-01,25.83,25.83,22.200001,24.42,5531800,21.127026
2011-07-01,25.75,26.60,25.360001,25.610001,5098000,22.156557
2011-06-01,25.43,25.92,23.91,25.809999,4857000,22.134754
2011-05-02,24.50,25.82,24.50,25.43,5135700,21.808865
2011-04-01,23.90,24.74,23.51,24.450001,3661700,20.968412
2011-03-01,23.24,23.99,22.440001,23.75,4107400,20.174988
2011-02-01,22.389999,23.25,22.34,23.16,3790000,19.6738
2011-01-03,22.690001,23.68,22.280001,22.33,4782000,18.968737
2010-12-01,21.75,22.709999,21.610001,22.58,3765500,18.99168
2010-11-01,22.540001,22.559999,21.02,21.48,3337700,18.066488
2010-10-01,22.059999,23.16,21.780001,22.49,4446300,18.915983
2010-09-01,21.77,22.379999,21.030001,21.940001,4798100,18.266251
2010-08-02,23.690001,23.870001,21.23,21.59,5920400,17.974855
2010-07-01,23.33,24.25,23.01,23.48,3397800,19.548384
2010-06-01,23.99,25.42,23.280001,23.32,4682200,19.254253
2010-05-03,24.58,24.92,22.360001,24.18,5371700,19.964315
2010-04-01,25.190001,25.379999,24.09,24.469999,4140300,20.203754
2010-03-01,24.549999,26.32,24.23,25.07,4697500,20.52976
2010-02-01,22.85,24.75,22.190001,24.459999,4577200,20.030233
2010-01-04,23.25,23.950001,22.67,22.74,3709700,18.621731
2009-12-01,22.370001,23.67,21.83,23.049999,3579300,18.712021
2009-11-02,21.129999,22.84,20.549999,22.190001,3329500,18.013872
2009-10-01,21.68,22.389999,20.90,21.00,4289200,17.047829
2009-09-01,20.52,22.73,19.74,21.68,5243900,17.436438
2009-08-03,19.870001,20.559999,19.00,20.530001,3662800,16.511534
2009-07-01,19.16,20.00,18.51,19.629999,4287300,15.787696
2009-06-01,18.77,20.059999,18.469999,19.059999,5132300,15.182907
2009-05-01,17.719999,18.74,17.40,18.59,4239200,14.808513
2009-04-01,16.700001,18.48,16.370001,17.700001,4466300,14.099552
2009-03-02,14.95,17.459999,14.00,16.870001,5484900,13.295745
2009-02-02,17.049999,17.98,14.85,15.08,4935300,11.884992
2009-01-02,16.540001,17.98,16.309999,17.10,5370200,13.477014
2008-12-01,14.69,17.120001,13.52,16.50,5000900,12.865794
2008-11-03,17.360001,18.15,13.54,14.75,4982500,11.50124
2008-10-01,19.280001,20.08,16.26,17.42,7635800,13.583159
2008-09-02,21.43,21.73,19.00,19.459999,6793500,15.008053
2008-08-01,21.780001,22.66,21.209999,21.27,4319700,16.403973
2008-07-01,19.99,22.129999,19.299999,21.68,7481900,16.720175
2008-06-02,23.540001,24.030001,18.85,19.280001,4955400,14.7407
2008-05-01,23.85,24.48,22.67,23.58,3671800,18.028303
2008-04-01,23.98,24.870001,22.65,23.559999,4116400,18.013012
2008-03-03,22.15,24.33,21.00,23.950001,4040700,18.159462
2008-02-01,21.49,22.790001,20.85,22.10,2858000,16.756748
2008-01-02,23.74,24.030001,20.85,21.48,3851200,16.28665
2007-12-03,24.82,26.219999,23.559999,23.790001,3324800,17.87874
2007-11-01,23.709999,25.09,22.809999,25.02,3092800,18.803114
2007-10-01,26.25,26.33,23.379999,23.73,3296200,17.833649
2007-09-04,25.799999,27.16,25.190001,26.129999,3093600,19.479206
2007-08-01,25.60,26.950001,24.549999,25.709999,3359700,19.166107
2007-07-02,27.049999,27.450001,25.34,25.35,4137400,18.897739
2007-06-01,25.59,27.290001,24.99,26.860001,4080000,19.882669
2007-05-01,25.059999,25.959999,24.110001,25.50,3055100,18.87595
2007-04-02,24.83,25.360001,24.33,24.58,4182400,18.194937
2007-03-01,25.00,25.43,23.99,24.91,4396800,18.305487
2007-02-01,25.709999,26.40,24.889999,25.209999,3480300,18.525946
2007-01-03,27.10,27.73,25.629999,25.709999,4443100,18.893379
2006-12-01,25.75,28.35,25.27,27.00,3560600,19.707542
2006-11-01,26.07,26.17,24.950001,25.700001,3132000,18.758661
2006-10-02,24.58,26.17,24.360001,26.15,3402700,19.08712
2006-09-01,23.93,24.66,23.10,24.48,2618700,17.744566
2006-08-01,21.40,24.02,21.26,23.799999,1797200,17.251661
2006-07-03,22.15,22.469999,21.190001,21.50,1794600,15.584484
2006-06-01,22.60,22.85,21.209999,22.110001,2087100,15.893831
