Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.80,15.86,15.32,15.32,4212400,13.893285
2013-03-01,16.17,17.25,15.70,15.85,1160900,14.373928
2013-02-01,16.84,17.469999,15.95,16.309999,1004600,14.791088
2013-01-02,15.21,16.809999,15.18,16.65,1826800,15.099425
2012-12-03,13.69,15.13,13.15,14.86,856000,13.372328
2012-11-01,13.82,15.06,12.91,13.55,918500,12.193476
2012-10-01,13.32,14.40,13.02,13.76,844100,12.278977
2012-09-04,12.77,15.10,12.63,13.20,1096200,11.779251
2012-08-01,12.88,14.09,12.20,12.74,765200,11.368762
2012-07-02,12.59,13.44,11.78,12.89,1009000,11.502618
2012-06-01,11.44,12.75,11.30,12.64,1206000,11.177603
2012-05-01,14.75,15.18,11.50,11.68,1202100,10.328671
2012-04-02,14.94,15.40,13.58,14.78,1236600,13.070013
2012-03-01,13.46,15.25,13.00,14.82,1412700,12.997299
2012-02-01,14.50,14.92,13.12,13.29,1073700,11.655473
2012-01-03,13.99,16.48,12.57,14.34,2245400,12.576334
2011-12-01,14.02,14.76,13.59,13.83,1985800,12.019293
2011-11-01,11.96,14.50,11.44,13.98,2332200,12.149654
2011-10-03,9.40,13.31,8.64,12.43,1873000,10.80259
2011-09-01,11.73,11.98,9.40,9.51,1608500,8.174319
2011-08-01,14.75,14.87,10.51,11.75,1860100,10.099711
2011-07-01,14.32,15.04,13.37,14.51,1663500,12.472069
2011-06-01,14.88,15.02,13.20,14.35,1371200,12.334541
2011-05-02,16.780001,16.809999,14.56,14.89,1147500,12.689928
2011-04-01,17.219999,17.84,15.68,16.76,1016700,14.283626
2011-03-01,16.780001,17.42,15.19,17.27,1664700,14.718271
2011-02-01,16.90,18.200001,16.190001,16.67,1298900,14.107167
2011-01-03,16.799999,17.620001,15.88,16.719999,1295400,14.14948
2010-12-01,15.75,17.709999,15.68,16.59,1548900,14.039467
2010-11-01,13.94,15.88,13.70,15.37,1782300,12.911388
2010-10-01,14.75,15.16,13.38,13.88,1332300,11.659732
2010-09-01,13.34,15.15,13.34,14.49,1278600,12.172154
2010-08-02,14.78,15.00,12.12,13.02,1462300,10.847404
2010-07-01,13.26,14.70,12.32,14.39,1750600,11.988797
2010-06-01,15.42,16.49,13.20,13.22,2539100,11.01403
2010-05-03,14.99,16.35,12.66,15.57,3310500,12.85752
2010-04-01,15.19,16.639999,14.70,14.88,2565000,12.287726
2010-03-01,15.72,18.18,14.84,15.06,3540500,12.436369
2010-02-01,13.83,17.200001,13.16,16.40,3099200,13.437394
2010-01-04,15.98,17.34,13.58,13.74,2411200,11.257915
2009-12-01,16.190001,17.52,15.45,15.65,1720800,12.724495
2009-11-02,14.46,16.950001,13.30,15.90,1891700,12.927761
2009-10-01,17.83,18.879999,14.15,14.84,1913100,12.065911
2009-09-01,16.98,21.290001,16.27,17.90,1642000,14.553895
2009-08-03,16.93,18.379999,15.72,16.93,1352700,13.674561
2009-07-01,16.360001,18.200001,13.18,16.540001,1850200,13.359553
2009-06-01,17.40,18.540001,14.18,16.030001,1683200,12.94762
2009-05-01,14.81,17.530001,13.92,16.969999,1771000,13.608376
2009-04-01,11.17,15.27,10.89,14.88,1966100,11.932388
2009-03-02,9.89,12.83,8.83,11.55,2623300,9.165807
2009-02-02,11.38,14.37,9.67,10.21,1969000,8.102415
2009-01-02,12.00,13.85,10.00,11.50,2436900,9.126128
2008-12-01,11.33,14.22,8.50,11.87,3354500,9.334761
2008-11-03,11.32,12.70,6.25,11.98,3210800,9.421267
2008-10-01,16.709999,17.030001,8.44,11.10,4575900,8.72922
2008-09-02,25.73,25.76,15.42,16.889999,2826000,13.188201
2008-08-01,28.969999,29.629999,24.629999,26.030001,1647300,20.324978
2008-07-01,37.360001,37.360001,27.58,29.85,2261800,23.307745
2008-06-02,36.529999,39.799999,35.07,37.700001,1975700,29.343554
2008-05-01,30.870001,36.98,29.66,36.599998,1749000,28.487373
2008-04-01,29.90,33.310001,29.66,31.139999,1311300,24.237617
2008-03-03,30.25,32.330002,27.129999,29.969999,1763300,23.236189
2008-02-01,29.98,32.650002,26.969999,30.459999,1771000,23.616095
2008-01-02,29.73,29.940001,20.85,28.360001,2765200,21.987934
2007-12-03,30.959999,33.349998,28.32,29.450001,1763700,22.734003
2007-11-01,30.799999,31.59,27.60,30.91,2567600,23.861053
2007-10-01,31.620001,35.889999,29.10,31.379999,1885000,24.223871
2007-09-04,28.889999,32.57,27.18,31.65,1371400,24.365095
2007-08-01,30.84,31.360001,24.58,28.889999,1604500,22.240366
2007-07-02,33.799999,37.150002,30.780001,30.84,1531600,23.741533
2007-06-01,35.43,36.299999,32.049999,33.77,1350100,25.9289
2007-05-01,33.529999,36.00,32.290001,35.150002,1225900,26.988476
2007-04-02,31.35,34.970001,31.110001,33.529999,1514400,25.744623
2007-03-01,27.110001,32.310001,25.709999,31.35,1681100,24.001875
2007-02-01,27.32,29.00,26.389999,27.57,1008000,21.107868
2007-01-03,25.950001,27.35,24.60,27.110001,1322600,20.755688
2006-12-01,29.15,30.00,24.799999,25.799999,1475400,19.683834
2006-11-01,26.76,29.27,25.799999,29.049999,1223600,22.163387
2006-10-02,20.309999,27.360001,19.790001,26.610001,1508500,20.301817
2006-09-01,21.65,22.969999,18.40,20.33,1179700,15.463767
2006-08-01,22.610001,24.120001,21.26,21.59,1024000,16.422171
2006-07-03,25.65,25.709999,21.209999,22.690001,1654900,17.258873
2006-06-01,24.620001,26.389999,20.040001,25.700001,3101700,19.501476
2006-05-01,54.50,63.380001,22.629999,24.610001,2905700,18.674372
2006-04-03,54.490002,55.400002,50.259998,54.400002,1814200,20.639696
2006-03-01,45.689999,54.66,43.439999,53.490002,1656500,20.257238
2006-02-01,47.00,49.169998,41.369999,45.290001,1505200,17.15181
2006-01-03,37.599998,48.470001,37.560001,47.330002,1967300,17.924381
2005-12-01,35.439999,38.950001,34.209999,37.540001,1411800,14.194454
