Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,62.939999,63.07,62.18,62.34,876600,59.272423
2013-03-01,59.82,64.160004,58.779999,63.119999,961500,60.014038
2013-02-01,59.139999,60.799999,57.75,60.110001,866100,57.152157
2013-01-02,59.27,61.84,58.610001,58.880001,1060100,55.700417
2012-12-03,57.259998,59.02,55.290001,58.169998,966300,55.028755
2012-11-01,53.790001,57.389999,53.18,57.18,1424600,54.092216
2012-10-01,53.860001,55.84,52.240002,53.580002,1022800,50.411999
2012-09-04,48.919998,54.34,48.080002,53.639999,1096100,50.468449
2012-08-01,50.889999,51.509998,48.169998,48.869999,902900,45.98048
2012-07-02,49.619999,51.09,46.369999,50.57,1160200,47.299534
2012-06-01,49.619999,51.380001,46.779999,49.349998,1463100,46.158432
2012-05-01,55.82,56.049999,49.970001,50.369999,1213800,47.112469
2012-04-02,57.560001,58.939999,54.849998,55.889999,1442100,51.979969
2012-03-01,59.360001,59.66,56.50,57.560001,839600,53.533138
2012-02-01,58.369999,60.529999,57.950001,59.290001,812600,55.142109
2012-01-03,56.41,61.459999,55.32,57.889999,1316300,53.619091
2011-12-01,54.950001,56.189999,52.900002,55.369999,1087500,51.285007
2011-11-01,54.060001,56.349998,50.889999,54.900002,1204500,50.849686
2011-10-03,52.52,57.34,50.040001,55.830002,1806200,51.49052
2011-09-01,50.419998,57.68,45.25,52.759998,2747200,48.659138
2011-08-01,55.470001,55.470001,43.82,50.459999,2413000,46.53791
2011-07-01,61.860001,62.82,53.77,55.09,1523800,50.536396
2011-06-01,61.009998,62.00,58.57,61.689999,1036000,56.590855
2011-05-02,63.349998,64.900002,59.630001,61.130001,940400,56.077145
2011-04-01,65.110001,65.449997,61.389999,63.099998,1040400,57.665771
2011-03-01,64.699997,65.00,60.549999,64.830002,926700,59.246788
2011-02-01,64.559998,67.290001,63.119999,64.440002,1246300,58.890373
2011-01-03,58.689999,65.330002,57.869999,64.139999,1721100,58.406239
2010-12-01,56.98,59.009998,56.900002,58.259998,810400,53.051876
2010-11-01,60.400002,60.860001,54.099998,56.060001,1633000,51.04855
2010-10-01,58.540001,62.25,57.419998,60.509998,809600,54.879452
2010-09-01,54.700001,59.400002,54.700001,58.25,1108000,52.82975
2010-08-02,58.07,59.00,51.869999,53.93,1069700,48.911732
2010-07-01,53.27,58.380001,51.849998,57.16,1103400,51.618881
2010-06-01,57.580002,59.59,52.950001,53.130001,1171700,47.979549
2010-05-03,65.230003,66.699997,55.110001,58.34,1460900,52.68449
2010-04-01,63.02,68.040001,62.220001,65.00,1154900,58.482365
2010-03-01,56.360001,63.73,56.18,62.59,1189400,56.314022
2010-02-01,53.59,56.400002,52.029999,56.279999,916600,50.63673
2010-01-04,55.830002,57.630001,52.349998,53.189999,828700,47.641079
2009-12-01,53.630001,56.880001,53.630001,55.360001,824900,49.584702
2009-11-02,50.599998,54.599998,47.189999,53.459999,1029200,47.882912
2009-10-01,50.52,53.07,47.959999,50.380001,1051600,44.918339
2009-09-01,45.799999,51.369999,44.799999,50.799999,1269600,45.292805
2009-08-03,42.740002,47.240002,41.919998,46.040001,1099700,41.048836
2009-07-01,41.869999,43.549999,38.290001,42.200001,1503000,37.425877
2009-06-01,43.209999,49.099998,41.220001,41.73,1501400,37.009045
2009-05-01,38.16,42.529999,37.080002,42.419998,1274300,37.620983
2009-04-01,32.130001,39.84,31.84,38.349998,1662800,33.794273
2009-03-02,30.450001,35.049999,27.67,32.639999,1686200,28.762587
2009-02-02,35.669998,39.279999,31.01,31.200001,2071100,27.493649
2009-01-02,39.25,42.139999,35.200001,37.68,1443500,32.989014
2008-12-01,33.25,39.400002,30.83,39.09,1111200,34.223476
2008-11-03,36.77,39.419998,27.76,34.080002,1293300,29.837198
2008-10-01,47.700001,47.799999,31.51,37.130001,1851600,32.264366
2008-09-02,53.380001,54.830002,45.77,48.09,1621200,41.788132
2008-08-01,49.740002,54.490002,48.759998,52.59,1152900,45.698437
2008-07-01,47.75,51.860001,44.529999,49.689999,2687400,42.976257
2008-06-02,61.360001,61.360001,47.259998,47.959999,2620500,41.480003
2008-05-01,63.25,66.559998,60.189999,61.369999,934500,53.078144
2008-04-01,57.41,64.900002,57.369999,63.110001,1357500,54.37392
2008-03-03,57.450001,59.00,53.639999,57.150002,1548400,49.238941
2008-02-01,62.799999,64.510002,57.709999,58.900002,1383100,50.746696
2008-01-02,71.800003,72.410004,53.240002,63.130001,1769200,54.251057
2007-12-03,72.50,74.540001,70.660004,71.970001,540800,61.847752
2007-11-01,74.620003,75.769997,69.989998,72.120003,862700,61.976658
2007-10-01,73.00,76.00,72.919998,74.809998,916700,64.15242
2007-09-04,68.75,73.980003,66.190002,73.040001,818600,62.634579
2007-08-01,69.139999,71.349998,61.380001,68.870003,1053200,59.058647
2007-07-02,71.099998,74.690002,61.25,68.699997,1066600,58.777626
