Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.14,10.23,10.07,10.22,809200,9.505538
2013-03-01,9.55,10.15,9.37,10.12,410300,9.412528
2013-02-01,9.08,9.59,8.40,9.55,504700,8.826803
2013-01-02,8.17,9.07,8.12,9.06,310500,8.37391
2012-12-03,8.65,8.69,7.42,8.03,353900,7.421909
2012-11-01,7.42,8.75,7.24,8.60,413800,7.948745
2012-10-01,7.92,8.44,7.46,7.65,297200,7.021183
2012-09-04,8.28,8.48,7.65,7.90,347900,7.250633
2012-08-01,8.45,8.77,8.10,8.28,519300,7.599397
2012-07-02,8.26,8.61,7.80,8.43,390800,7.737068
2012-06-01,7.51,8.27,7.41,8.21,436400,7.535151
2012-05-01,6.55,7.80,6.45,7.56,484000,6.93858
2012-04-02,6.51,6.90,6.35,6.55,273100,6.011601
2012-03-01,6.55,6.64,6.27,6.59,304000,6.048313
2012-02-01,7.07,7.34,6.01,6.56,437100,6.020779
2012-01-03,6.37,7.13,6.09,7.03,435000,6.452146
2011-12-01,6.23,6.67,6.06,6.26,247700,5.745439
2011-11-01,6.92,7.28,5.94,6.28,574200,5.763794
2011-10-03,6.82,7.57,6.32,7.08,260200,6.498035
2011-09-01,7.92,8.29,6.66,6.81,378100,6.250229
2011-08-01,8.41,8.50,7.14,7.93,631300,7.278167
2011-07-01,8.45,8.60,7.98,8.29,550400,7.608575
2011-06-01,8.80,8.80,7.72,8.41,726800,7.718711
2011-05-02,8.95,8.98,8.06,8.75,958000,8.030765
2011-04-01,8.44,9.05,8.38,8.92,859700,8.18679
2011-03-01,8.34,8.82,7.70,8.40,717100,7.709533
2011-02-01,8.08,8.81,7.96,8.36,924600,7.672821
2011-01-03,9.07,9.08,7.68,8.04,780000,7.379125
2010-12-01,8.42,9.08,8.02,9.01,553800,8.269393
2010-11-01,8.21,8.56,7.54,8.30,907300,7.617754
2010-10-01,7.86,8.30,7.35,8.20,881400,7.525973
2010-09-01,6.90,8.42,6.87,7.85,1142100,7.204742
2010-08-02,6.01,7.04,5.55,6.87,1505200,6.305297
2010-07-01,5.83,6.45,5.41,5.94,445100,5.451742
2010-06-01,7.34,8.00,5.67,5.82,732600,5.341606
2010-05-03,8.36,8.58,6.50,7.33,595700,6.727486
2010-04-01,7.75,8.88,7.69,8.37,394200,7.681999
2010-03-01,7.22,8.05,6.72,7.75,679300,7.112963
2010-02-01,7.54,8.00,6.75,7.19,676300,6.598994
2010-01-04,8.34,8.65,7.93,8.08,437300,7.415837
2009-12-01,8.40,8.86,7.83,8.20,532100,7.525973
2009-11-02,8.05,9.39,7.93,8.48,970100,7.782957
2009-10-01,7.41,8.74,6.67,7.90,1000600,7.250633
2009-09-01,6.27,8.19,5.90,7.35,1049300,6.745842
2009-08-03,5.69,6.68,5.41,6.37,1044400,5.846396
2009-07-01,5.69,8.26,5.19,5.54,1444600,5.084621
2009-06-01,5.95,6.80,4.53,5.64,980600,5.176401
2009-05-01,2.77,5.95,2.65,5.88,2479700,5.396674
2009-04-01,1.07,2.20,0.87,2.02,696200,1.853959
2009-03-02,0.79,1.07,0.65,0.99,426600,0.908624
2009-02-02,0.73,1.05,0.68,0.78,137400,0.715885
2009-01-02,1.42,1.59,0.73,0.74,387800,0.679173
2008-12-01,0.97,1.28,0.59,1.28,258900,1.174786
2008-11-03,1.09,1.55,0.63,0.85,226000,0.780131
2008-10-01,1.10,1.24,0.62,0.96,181700,0.88109
2008-09-02,1.98,2.02,1.00,1.08,373300,0.991226
2008-08-01,3.22,3.48,1.72,1.90,490000,1.743823
2008-07-01,3.16,3.57,2.73,3.34,345000,3.065457
2008-06-02,3.02,3.22,2.43,3.13,424600,2.872719
2008-05-01,3.02,3.68,2.36,2.91,1035700,2.670803
2008-04-01,3.69,3.69,2.34,2.99,728900,2.744227
2008-03-03,2.26,3.85,1.76,3.51,1096800,3.221484
2008-02-01,5.70,6.24,2.20,2.20,901800,2.019164
2008-01-02,6.67,7.48,5.64,5.71,217600,5.240647
2007-12-03,6.25,7.12,6.00,6.66,307800,6.112559
2007-11-01,6.86,7.35,5.40,6.36,384400,5.837218
2007-10-01,8.00,8.36,6.86,7.17,447200,6.580637
2007-09-04,11.34,11.58,7.39,7.97,658100,7.314879
2007-08-01,12.27,12.70,10.38,11.29,319600,10.36198
2007-07-02,14.40,16.120001,11.68,12.31,419400,11.298139
2007-06-01,15.94,16.41,14.09,14.39,276000,13.207166
2007-05-01,16.35,16.559999,15.35,16.10,296100,14.776607
2007-04-02,13.37,17.33,12.64,16.190001,646900,14.859209
2007-03-01,13.79,14.53,13.17,13.38,238900,12.280186
2007-02-01,14.14,15.22,13.57,14.04,478100,12.885935
2007-01-03,14.28,14.53,13.65,14.17,308100,13.005249
2006-12-01,13.62,14.69,13.15,14.31,383100,13.133741
2006-11-01,14.35,14.66,13.40,13.62,369600,12.500458
2006-10-02,17.24,17.48,14.45,14.64,256600,13.436616
2006-09-01,17.02,18.120001,16.129999,17.17,273900,15.758654
2006-08-01,13.27,17.43,12.99,16.92,252800,15.529203
2006-07-03,13.10,14.08,11.82,13.24,201600,12.151693
2006-06-01,14.47,14.49,12.68,13.06,117300,11.986489
2006-05-01,15.06,15.90,14.44,14.48,238000,13.289767
2006-04-03,12.88,15.13,12.63,14.96,423400,13.730312
2006-03-01,12.27,14.39,12.12,12.88,291800,11.821285
2006-02-01,11.59,12.45,11.52,12.32,414500,11.307316
2006-01-03,14.75,14.77,11.01,11.65,564300,10.692389
2005-12-01,13.78,14.94,13.73,14.70,205200,13.491684
2005-11-01,14.83,15.48,13.30,13.78,263600,12.647306
2005-10-03,17.700001,18.00,13.64,14.81,608900,13.592643
2005-09-01,25.360001,25.60,16.799999,17.700001,1049400,16.245089
2005-08-01,23.200001,26.639999,23.17,25.360001,303500,23.27545
2005-07-01,21.84,24.280001,21.299999,23.200001,380800,21.292997
2005-06-01,22.370001,22.74,20.93,21.83,198700,20.03561
2005-05-02,22.389999,22.83,21.790001,22.26,195600,20.430264
2005-04-01,24.24,24.34,22.139999,22.389999,550600,20.549578
2005-03-01,24.01,25.00,23.639999,24.23,228600,22.238333
2005-02-01,24.15,25.379999,23.65,24.01,414600,22.036417
2005-01-03,24.68,24.690001,23.110001,24.25,367400,22.256689
2004-12-01,25.57,27.860001,23.40,24.73,414900,22.697233
2004-11-01,26.059999,26.549999,23.280001,25.549999,433300,23.449831
2004-10-01,28.85,29.23,22.85,26.26,544400,24.101471
2004-09-01,27.10,28.969999,24.83,28.84,451400,26.469398
2004-08-02,27.93,28.99,25.00,27.110001,426800,24.881603
2004-07-01,31.85,32.990002,27.620001,27.98,426400,25.680088
2004-06-01,31.549999,33.669998,31.549999,32.400002,425400,29.736774
2004-05-03,30.40,32.720001,29.200001,31.76,492900,29.14938
2004-04-01,29.370001,32.349998,28.75,30.360001,139900,27.864458
2004-03-01,29.58,30.40,27.879999,29.389999,126100,26.97419
2004-02-02,28.15,29.799999,27.16,29.51,135400,27.084326
2004-01-02,28.10,29.120001,27.35,27.93,135400,25.634199
2003-12-01,25.700001,28.030001,25.120001,28.01,211000,25.707624
2003-11-03,25.93,27.540001,25.35,26.030001,120700,23.890377
2003-10-01,23.450001,26.85,23.450001,26.049999,232100,23.908731
2003-09-02,23.209999,23.950001,22.450001,23.41,72700,21.485735
2003-08-01,22.65,23.84,21.68,23.24,79700,21.32971
