Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.60,25.879999,25.049999,25.450001,1261200,24.456522
2013-03-01,25.129999,28.24,24.09,25.66,865800,24.658323
2013-02-01,25.58,27.18,24.809999,25.280001,692500,24.192377
2013-01-02,26.01,26.75,25.25,25.459999,620600,24.364632
2012-12-03,25.26,25.65,23.700001,25.360001,644000,24.268934
2012-11-01,20.139999,25.190001,19.99,24.98,1196800,23.905283
2012-10-01,19.41,20.799999,18.379999,20.129999,1071400,19.18125
2012-09-04,20.030001,23.40,19.110001,19.18,1472300,18.276026
2012-08-01,17.540001,20.60,16.98,19.99,1041000,19.047848
2012-07-02,17.700001,18.01,15.74,17.469999,774600,16.559744
2012-06-01,15.12,17.99,13.82,17.540001,1005400,16.626099
2012-05-01,14.91,16.620001,14.44,15.48,777700,14.673431
2012-04-02,15.20,15.85,14.30,14.95,752500,14.07603
2012-03-01,16.690001,16.99,14.98,15.22,749600,14.330246
2012-02-01,15.26,17.99,14.88,16.60,812700,15.531244
2012-01-03,14.38,15.70,13.89,15.06,630000,14.090394
2011-12-01,13.40,14.16,12.70,14.01,610200,13.107996
2011-11-01,13.65,14.63,12.21,13.40,741600,12.537269
2011-10-03,10.77,15.00,9.64,14.33,1200300,13.297497
2011-09-01,12.12,12.44,9.86,10.89,1328800,10.105355
2011-08-01,17.15,17.41,10.50,12.13,1718400,11.256011
2011-07-01,19.879999,20.92,16.559999,16.860001,883100,15.510222
2011-06-01,24.00,24.00,18.57,19.790001,782400,18.205652
2011-05-02,27.030001,27.09,22.799999,24.16,491700,22.225798
2011-04-01,25.889999,27.73,24.09,26.98,577200,24.710762
2011-03-01,23.74,26.23,22.709999,25.75,823900,23.584215
2011-02-01,23.09,25.26,21.68,23.459999,1039400,21.390654
2011-01-03,23.93,25.10,22.15,22.860001,796500,20.84358
2010-12-01,21.389999,24.99,20.98,23.58,716600,21.500071
2010-11-01,19.92,21.969999,19.610001,20.889999,743400,19.047348
2010-10-01,19.940001,21.129999,18.719999,19.610001,665000,17.791655
2010-09-01,16.50,20.67,16.389999,19.629999,1008400,17.809799
2010-08-02,21.98,22.83,16.049999,16.190001,1142600,14.688775
2010-07-01,19.35,23.23,19.01,21.610001,1013800,19.48271
2010-06-01,18.68,21.889999,17.629999,19.50,1110900,17.580418
2010-05-03,21.58,22.25,17.26,18.91,1628100,17.048498
2010-04-01,19.24,22.40,18.370001,21.219999,1186000,19.029028
2010-03-01,17.620001,21.08,17.60,19.02,1193100,17.056181
2010-02-01,17.110001,18.809999,16.15,17.540001,890400,15.728992
2010-01-04,20.32,21.469999,16.84,17.030001,1138400,15.17896
2009-12-01,18.200001,20.549999,17.93,20.049999,663300,17.870707
2009-11-02,16.60,19.48,15.24,17.92,1308000,15.972222
2009-10-01,17.50,18.16,14.14,15.26,1182500,13.522747
2009-09-01,14.02,18.879999,13.75,17.58,1390400,15.578629
2009-08-03,15.02,17.01,13.03,14.28,1268200,12.654313
2009-07-01,10.27,15.09,9.77,14.76,1296900,12.983156
2009-06-01,10.85,11.48,8.57,9.92,954900,8.725807
2009-05-01,8.27,11.74,8.26,10.60,1227300,9.323947
2009-04-01,3.91,8.48,3.86,8.27,967200,7.203517
2009-03-02,4.45,4.95,2.96,4.04,630800,3.519009
2009-02-02,4.60,5.79,4.21,4.55,545300,3.862724
2009-01-02,6.18,6.96,4.57,4.67,702100,3.964598
2008-12-01,4.64,6.30,4.06,6.16,721600,5.229534
2008-11-03,7.62,8.87,3.67,4.79,1095600,4.066472
2008-10-01,8.44,8.67,4.97,7.63,998600,6.32635
2008-09-02,9.84,11.50,8.11,8.60,1064800,7.130617
2008-08-01,9.42,12.15,8.25,9.56,909400,7.926593
2008-07-01,7.80,10.33,7.05,9.21,1145900,7.549428
2008-06-02,10.95,11.20,7.74,7.84,1831100,6.42644
2008-05-01,13.11,14.02,10.70,10.98,1214000,9.000295
2008-04-01,15.20,15.81,12.85,13.14,977300,10.668312
2008-03-03,18.15,18.200001,14.37,14.97,1078400,12.154081
2008-02-01,17.049999,20.799999,16.73,18.07,989800,14.58029
2008-01-02,16.50,17.50,13.21,17.07,1293600,13.773412
2007-12-03,15.57,18.00,14.81,16.58,927700,13.378041
2007-11-01,21.99,22.07,14.04,15.38,2162800,12.409788
2007-10-01,24.370001,25.85,20.49,22.280001,965700,17.857399
2007-09-04,24.530001,26.02,22.209999,24.40,876700,19.556578
2007-08-01,22.799999,25.91,18.67,24.440001,1750400,19.588638
2007-07-02,27.74,28.50,20.450001,22.99,1149700,18.349134
2007-06-01,24.35,28.18,24.35,27.620001,1305700,22.044502
2007-05-01,19.40,24.91,18.790001,24.07,1558900,19.211121
2007-04-02,18.43,20.030001,18.389999,19.33,768300,15.362294
2007-03-01,14.69,19.190001,14.69,18.290001,1705300,14.535768
