Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.43,16.940001,16.25,16.25,21794800,15.781086
2013-03-01,14.26,17.25,14.26,16.51,12437700,16.033583
2013-02-01,13.97,14.90,13.16,14.27,12777200,13.858221
2013-01-02,12.07,14.20,11.97,13.89,14949500,13.489186
2012-12-03,9.99,12.05,9.50,11.87,13614500,11.527476
2012-11-01,9.64,10.50,9.21,10.00,9321100,9.711437
2012-10-01,9.12,10.49,9.11,9.63,10656700,9.352114
2012-09-04,8.66,9.70,8.42,9.16,10899400,8.895677
2012-08-01,9.49,9.93,8.46,8.65,12554700,8.400393
2012-07-02,11.11,11.25,9.08,9.65,13511500,9.371536
2012-06-01,12.02,12.04,9.89,10.95,14417700,10.634024
2012-05-01,11.14,12.25,10.03,12.10,14230600,11.750839
2012-04-02,9.88,11.12,9.78,10.96,11898800,10.643735
2012-03-01,9.80,10.28,9.07,9.92,13145700,9.633746
2012-02-01,10.68,11.58,9.40,9.81,11058700,9.52692
2012-01-03,8.23,10.88,7.83,10.55,13947800,10.245566
2011-12-01,8.04,9.13,7.93,8.09,11259100,7.856553
2011-11-01,8.20,8.50,7.08,8.12,13881600,7.885687
2011-10-03,7.39,8.98,6.64,8.52,13189600,8.274145
2011-09-01,7.55,8.57,7.06,7.50,12274800,7.283578
2011-08-01,8.20,8.24,6.41,7.53,17881500,7.312713
2011-07-01,9.24,9.41,7.28,7.89,16580700,7.662324
2011-06-01,10.08,10.18,9.10,9.17,14351400,8.905388
2011-05-02,10.66,11.60,9.91,10.08,16420500,9.789128
2011-04-01,9.89,10.70,8.91,10.38,19890500,10.080472
2011-03-01,11.26,11.64,9.71,9.80,20162400,9.517209
2011-02-01,11.75,12.13,10.37,11.24,19101100,10.915655
2011-01-03,12.69,13.21,11.11,11.67,16897300,11.333247
2010-12-01,13.96,14.10,12.15,12.60,9197900,12.236411
2010-11-01,13.90,14.54,12.87,13.68,11172600,13.285247
2010-10-01,11.75,14.10,10.96,13.89,11488800,13.489186
2010-09-01,10.83,12.00,10.40,11.64,8183000,11.304113
2010-08-02,12.08,12.80,9.60,10.46,8916500,10.158163
2010-07-01,11.97,12.40,10.40,11.88,10593100,11.537188
2010-06-01,13.31,14.50,11.24,11.75,11746700,11.410938
2010-05-03,12.30,14.48,10.90,13.58,15011300,13.188131
2010-04-01,14.63,14.94,11.95,12.08,16329100,11.731416
2010-03-01,12.93,14.90,12.33,14.59,10562900,14.168987
2010-02-01,12.37,13.21,10.93,12.92,11671200,12.547177
2010-01-04,11.22,13.73,10.95,12.23,18618200,11.877088
2009-12-01,8.31,12.08,8.20,11.38,15256000,11.051616
2009-11-02,7.14,8.19,6.78,8.19,8250700,7.953667
2009-10-01,8.95,9.20,6.92,7.14,13063200,6.933966
2009-09-01,7.12,9.88,6.74,8.96,15763000,8.701447
2009-08-03,7.04,7.79,6.55,7.22,10095600,7.011657
2009-07-01,5.82,6.95,5.56,6.93,11083700,6.730026
2009-06-01,6.09,7.25,5.31,5.79,12938700,5.622922
2009-05-01,6.28,7.88,5.40,5.81,16292500,5.642345
2009-04-01,5.52,8.27,5.36,6.17,16583400,5.991957
2009-03-02,4.85,6.45,3.51,5.63,14233200,5.467539
2009-02-02,7.09,7.67,4.86,5.03,15986000,4.884853
2009-01-02,11.31,12.65,6.74,6.90,14658300,6.700892
2008-12-01,8.60,11.64,7.80,11.46,11811300,11.129307
2008-11-03,11.14,12.00,6.29,8.81,13716500,8.555777
2008-10-01,7.64,11.90,5.10,10.98,20503700,10.663157
2008-09-02,9.32,10.10,6.46,7.45,20257400,7.235021
2008-08-01,7.81,10.26,6.92,8.13,17944400,7.895399
2008-07-01,5.47,8.79,4.00,7.54,19550800,7.322423
2008-06-02,6.25,7.03,4.80,5.70,14509200,5.535519
2008-05-01,8.64,9.02,5.37,6.15,10668300,5.972534
2008-04-01,8.94,10.89,6.50,8.51,12480800,8.264433
2008-03-03,13.27,14.60,7.94,8.60,8135600,8.351836
2008-02-01,16.799999,18.99,13.24,13.35,4592300,12.964769
2008-01-02,14.73,17.00,11.50,16.82,6082000,16.334637
2007-12-03,19.75,20.00,14.04,14.89,3905400,14.46033
2007-11-01,20.450001,21.10,16.200001,19.76,5252900,19.1898
2007-10-01,18.00,21.049999,17.809999,20.799999,3580900,20.199789
2007-09-04,17.040001,18.34,15.90,17.950001,2330800,17.43203
2007-08-01,18.00,19.50,14.94,16.879999,3513700,16.392904
2007-07-02,19.57,21.799999,17.32,17.82,4528300,17.30578
2007-06-01,19.10,19.889999,18.02,19.700001,3938000,19.131533
2007-05-03,21.75,21.950001,18.02,19.049999,4121000,18.500288
