Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.76,4.76,4.58,4.62,70600,3.865044
2013-03-01,4.30,4.90,4.20,4.78,49300,3.998899
2013-02-01,4.55,4.60,4.01,4.30,24400,3.597336
2013-01-02,4.18,4.85,4.03,4.56,67600,3.798006
2012-12-03,3.67,4.33,3.58,4.08,87400,3.398216
2012-11-01,4.22,4.35,3.54,3.71,82100,3.090044
2012-10-01,6.23,6.31,4.11,4.22,134900,3.49832
2012-09-04,5.52,6.99,5.50,6.26,74300,5.189451
2012-08-01,6.68,6.90,5.36,5.53,85900,4.584291
2012-07-02,0.629975,8.01,0.609976,6.61,80900,5.284766
2012-06-01,0.639974,0.719971,0.609976,0.619975,78500,5.948122
2012-05-01,0.799968,0.819967,0.599976,0.679973,60000,6.523746
2012-04-02,0.959962,0.99996,0.74997,0.799968,68900,7.45571
2012-03-01,1.109956,1.529939,0.909964,0.959962,184500,8.946853
2012-02-01,1.059958,1.349946,1.00996,1.109956,144700,10.344797
2012-01-03,0.75997,1.149954,0.729971,1.059958,132800,9.591084
2011-12-01,0.819967,1.079957,0.659974,0.73997,80400,6.695662
2011-11-01,1.549938,1.619935,0.73997,0.819967,55200,7.419517
2011-10-03,1.99992,2.039918,1.49994,1.599936,65200,14.187565
2011-09-01,2.969881,3.049878,1.949922,2.039918,48300,18.089144
2011-08-01,3.589856,3.689852,2.599896,2.979881,52400,26.424337
2011-07-01,3.849846,3.959841,3.529859,3.599856,36400,31.92202
2011-06-01,4.019839,4.089837,3.49986,3.829847,36200,33.079365
2011-05-02,4.339827,4.349826,3.969841,3.99984,32200,34.547642
2011-04-01,4.809808,4.919803,4.199832,4.329827,41500,37.39782
2011-03-01,4.669813,4.819807,4.24983,4.809808,48700,40.605759
2011-02-01,5.149794,5.149794,4.49982,4.649814,89700,39.255047
2011-01-03,4.719811,5.189792,4.669813,5.089797,31500,42.13026
2010-12-01,4.479821,4.889804,4.279829,4.649814,17700,38.48835
2010-11-01,4.339827,4.74981,4.269829,4.389824,23600,36.336311
2010-10-01,4.149834,4.309828,4.00984,4.299828,15600,34.8405
2010-09-01,3.939842,4.139834,3.759849,4.129835,19500,33.463089
2010-08-02,4.25983,4.339827,3.799848,3.869845,17300,30.570576
2010-07-01,3.849846,4.399824,3.74985,4.199832,14300,33.177372
2010-06-01,4.059838,4.369825,3.74985,3.849846,18200,30.41259
2010-05-03,4.759809,4.889804,3.919843,4.149834,28500,32.782402
2010-04-01,3.929843,4.839807,3.849846,4.719811,31700,36.362148
2010-03-01,3.519859,4.289828,3.49986,3.919843,32200,30.199072
2010-02-01,3.74985,3.859845,3.299868,3.519859,19900,27.117535
2010-01-04,3.679853,4.149834,3.659853,3.769849,32200,29.043497
2009-12-01,4.00984,4.309828,3.609855,3.679853,31700,28.350149
2009-11-02,3.449862,4.119835,3.349866,4.019839,39200,30.969458
2009-10-01,3.819847,3.919843,3.379865,3.419863,36200,26.347151
2009-09-01,5.169793,5.279788,3.619855,3.759849,95200,28.966455
2009-08-03,5.049798,5.49978,4.849806,5.199792,35100,40.059994
2009-07-01,5.259789,5.289788,4.379825,5.029799,29200,38.75034
2009-06-01,5.809768,5.819767,4.579817,5.209792,41000,40.137032
2009-05-01,4.209832,5.769769,4.139834,5.769769,71800,42.525223
