Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,56.889999,57.139999,56.150002,56.689999,13444800,54.625942
2013-03-01,54.310001,57.82,54.299999,56.799999,7127900,54.731937
2013-02-01,54.18,55.950001,53.41,54.59,9999600,52.602402
2013-01-02,50.799999,54.869999,50.18,53.880001,9227100,51.918255
2012-12-03,49.77,51.060001,48.549999,49.790001,8477600,47.977169
2012-11-01,49.279999,50.990002,46.529999,49.66,11010000,47.128185
2012-10-01,52.310001,53.150002,48.799999,49.119999,8591100,46.615715
2012-09-04,49.52,53.400002,49.23,52.279999,8922000,49.614609
2012-08-01,49.330002,50.650002,48.130001,49.470001,7894300,46.947876
2012-07-02,48.619999,50.540001,46.849998,49.139999,8954200,46.634697
2012-06-01,45.150002,48.950001,44.139999,48.50,10155400,46.027328
2012-05-01,43.18,46.099998,42.84,45.709999,11362500,43.37957
2012-04-02,43.59,44.00,40.880001,43.110001,7152900,40.912125
2012-03-01,42.130001,44.50,41.700001,43.779999,9078400,41.547966
2012-02-01,39.25,42.369999,38.560001,41.990002,10851100,39.849228
2012-01-03,37.970001,40.25,37.939999,38.900002,11257700,36.916763
2011-12-01,36.029999,37.799999,34.509998,37.50,9359100,35.588139
2011-11-01,34.43,37.419998,33.279999,35.849998,15179500,33.460373
2011-10-03,30.030001,36.599998,28.190001,34.880001,11797900,32.555031
2011-09-01,34.09,34.330002,29.049999,30.16,13973200,28.149649
2011-08-01,38.73,38.75,29.60,34.060001,21899100,31.78969
2011-07-01,39.150002,40.970001,38.459999,38.619999,11691200,36.045734
2011-06-01,41.529999,41.59,37.189999,39.040001,11139500,36.43774
2011-05-02,43.470001,44.130001,40.549999,41.630001,10961100,38.855103
2011-04-01,43.23,43.380001,40.459999,43.099998,7661500,40.227116
2011-03-01,43.630001,44.34,40.419998,43.09,9575100,40.217785
2011-02-01,39.040001,44.049999,39.040001,43.740002,13740300,40.824459
2011-01-03,37.740002,40.00,37.619999,38.869999,10238300,36.279072
2010-12-01,37.150002,37.990002,36.509998,37.509998,7312900,35.009724
2010-11-01,36.209999,38.00,35.150002,36.509998,14053700,33.707687
2010-10-01,33.299999,36.52,33.080002,36.130001,11824200,33.356857
2010-09-01,33.00,34.990002,32.68,33.099998,10882900,30.55942
2010-08-02,34.139999,35.41,31.549999,32.540001,10837500,30.042406
2010-07-01,31.469999,34.799999,30.719999,33.689999,11193900,31.104136
2010-06-01,33.060001,35.830002,31.360001,31.50,13898600,29.08223
2010-05-03,36.950001,37.98,31.00,33.419998,19872100,30.854858
2010-04-01,35.07,37.490002,35.009998,36.84,11874600,34.01236
2010-03-01,31.40,35.599998,31.34,34.91,13805600,32.230495
2010-02-01,29.60,31.52,28.99,31.24,12842200,28.842186
2010-01-04,32.50,32.75,28.709999,29.549999,12983200,27.2819
2009-12-01,30.440001,32.75,30.299999,32.25,11705500,29.774664
2009-11-02,27.379999,30.93,27.01,30.219999,12564600,27.582392
2009-10-01,27.76,29.98,26.84,27.370001,11404100,24.981142
2009-09-01,25.889999,28.68,25.25,27.459999,14444500,25.063284
2009-08-03,25.52,27.299999,24.889999,26.040001,12957500,23.767223
2009-07-01,23.50,26.84,22.049999,25.120001,13940600,22.927523
2009-06-01,24.83,25.639999,22.549999,23.33,10968900,21.293753
2009-05-01,21.76,26.290001,21.120001,24.219999,17036900,22.106073
2009-04-01,17.92,22.57,17.84,21.90,18716700,19.988564
2009-03-02,16.48,19.139999,15.14,18.16,17292600,16.574991
2009-02-02,20.08,20.790001,16.42,16.77,22002400,15.306312
2009-01-02,22.76,24.83,19.950001,20.68,14693700,18.875046
2008-12-01,22.040001,26.10,20.27,22.690001,15933400,20.709612
2008-11-03,25.85,26.24,18.60,22.52,20977500,20.250902
2008-10-01,30.299999,31.059999,21.25,25.91,20856800,23.299328
2008-09-02,32.740002,34.849998,29.25,30.690001,16750600,27.5977
2008-08-01,30.50,33.419998,29.83,32.349998,11775900,29.090439
