Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.10,15.33,14.75,14.86,104000,13.080697
2013-03-01,15.47,15.84,15.00,15.07,46400,13.265552
2013-02-01,15.69,15.99,15.21,15.66,52600,13.784906
2013-01-02,15.81,16.110001,15.00,15.61,76000,13.740893
2012-12-03,15.38,15.69,14.58,15.47,65200,13.617658
2012-11-01,15.37,15.73,13.90,15.22,60100,13.087462
2012-10-01,16.540001,16.969999,15.07,15.30,54800,13.156253
2012-09-04,14.61,17.07,14.45,16.41,65000,13.960794
2012-08-01,14.49,15.14,13.70,14.59,57500,12.412431
2012-07-02,15.50,16.219999,13.77,14.34,56900,12.199743
2012-06-01,14.01,15.49,13.87,15.38,69600,12.942915
2012-05-01,15.81,16.10,13.92,14.22,73600,11.966726
2012-04-02,15.79,16.290001,14.86,15.76,78800,13.262701
2012-03-01,16.84,17.139999,15.10,15.82,76400,13.162689
2012-02-01,16.540001,17.74,16.139999,16.76,76200,13.944796
2012-01-03,13.74,16.690001,13.00,16.540001,77900,13.76175
2011-12-01,14.85,14.85,12.80,13.33,93800,10.966547
2011-11-01,14.11,15.63,12.83,14.85,92500,12.217046
2011-10-03,12.98,16.030001,12.08,14.63,118300,12.036053
2011-09-01,15.81,16.459999,12.71,13.06,132700,10.624001
2011-08-01,16.75,17.799999,13.61,15.87,104100,12.909868
2011-07-01,17.370001,18.90,17.23,17.540001,82200,14.268374
2011-06-01,19.040001,19.07,16.50,17.40,101500,14.031714
2011-05-02,18.790001,19.299999,17.60,19.09,82200,15.394566
2011-04-01,17.18,20.25,16.709999,18.68,134900,15.063933
2011-03-01,16.280001,17.10,14.91,17.030001,82600,13.610295
2011-02-01,16.719999,17.07,15.72,16.25,99200,12.986922
2011-01-03,17.280001,17.59,15.41,16.629999,133300,13.290616
2010-12-01,17.549999,19.15,17.030001,17.10,112100,13.54443
2010-11-01,18.10,18.889999,16.059999,17.07,115200,13.520667
2010-10-01,18.02,19.620001,17.59,18.040001,104900,14.288978
2010-09-01,15.67,18.969999,15.60,17.889999,103500,14.051441
2010-08-02,17.110001,17.559999,14.93,15.39,109900,12.087853
2010-07-01,14.97,18.120001,14.33,16.92,158000,13.28957
2010-06-01,17.25,17.25,14.78,15.01,182700,11.669875
2010-05-03,18.60,19.35,15.47,17.59,155700,13.675756
2010-04-01,16.40,19.32,16.02,18.49,111700,14.375482
2010-03-01,15.52,17.17,15.52,16.27,79800,12.533817
2010-02-01,15.11,15.89,13.72,15.37,77200,11.840489
2010-01-04,17.110001,17.41,14.84,15.00,83700,11.555455
2009-12-01,14.67,17.370001,14.26,16.790001,79500,12.811863
2009-11-02,15.22,16.08,13.43,14.49,88100,11.056812
2009-10-01,16.10,17.35,14.61,15.15,112100,11.560435
2009-09-01,13.49,16.639999,13.33,16.129999,107000,12.19641
2009-08-03,15.02,15.27,12.70,13.63,94800,10.306081
2009-07-01,12.61,15.25,11.83,14.73,130200,11.137826
2009-06-01,10.99,12.82,10.35,12.46,134500,9.306149
2009-05-01,9.01,11.17,9.01,10.80,102300,8.066324
2009-04-01,8.71,10.29,8.50,9.00,130400,6.721937
2009-03-02,7.97,9.75,6.91,8.86,119700,6.504037
2009-02-02,11.06,13.37,8.01,8.18,149900,6.004857
2009-01-02,12.11,12.54,10.96,11.19,101200,8.214467
2008-12-01,10.03,12.40,8.75,12.11,140700,8.775385
2008-11-03,11.86,12.34,8.53,10.17,137600,7.369584
2008-10-01,15.33,15.43,9.52,11.77,206700,8.529008
2008-09-02,16.82,18.16,14.10,15.46,123500,11.060244
2008-08-01,15.52,17.110001,15.31,16.51,89200,11.811425
2008-07-01,15.51,16.59,13.51,15.45,185700,11.05309
2008-06-02,18.889999,19.92,15.56,15.65,126300,11.073528
2008-05-01,16.93,19.18,16.620001,18.889999,99400,13.366067
2008-04-01,16.60,17.50,15.02,16.940001,173300,11.9863
2008-03-03,15.98,17.40,14.21,16.780001,171000,11.759626
2008-02-01,15.93,17.940001,15.87,15.96,129400,11.18496
2008-01-02,18.00,18.219999,14.87,15.84,242300,11.100863
2007-12-03,18.26,20.299999,15.91,18.00,176300,12.501137
2007-11-01,19.969999,20.35,16.459999,18.360001,198200,12.75116
2007-10-01,22.00,22.85,19.17,20.440001,137900,14.195736
2007-09-04,21.51,22.92,18.90,22.040001,166300,15.198362
2007-08-01,20.00,23.459999,18.360001,21.75,205400,14.998384
2007-07-02,23.200001,24.379999,20.16,20.18,206100,13.915742
2007-06-01,24.10,25.530001,23.48,23.52,201000,16.105804
2007-05-01,23.75,23.99,22.40,23.90,215900,16.366016
2007-04-02,26.84,28.450001,24.24,24.450001,169600,16.742641
2007-03-01,25.450001,27.700001,24.75,26.76,131000,18.218122
2007-02-01,25.25,27.110001,25.08,25.799999,138900,17.564556
2007-01-03,24.620001,25.50,24.049999,25.190001,134700,17.149271
2006-12-01,22.809999,25.00,22.190001,24.459999,114800,16.548212
2006-11-01,22.950001,23.379999,21.75,22.809999,156100,15.431918
2006-10-02,21.559999,23.719999,21.459999,22.969999,136300,15.540165
2006-09-01,20.75,22.299999,19.99,21.65,157900,14.54491
2006-08-01,19.280001,20.889999,18.52,20.65,137200,13.87309
2006-07-03,19.639999,20.08,18.950001,19.40,110300,13.033315
2006-06-01,19.549999,19.809999,18.00,19.68,144500,13.118907
2006-05-01,19.60,20.16,19.059999,19.52,139300,13.01225
2006-04-03,19.49,19.98,18.35,19.700001,116800,13.13224
2006-03-01,19.60,19.98,18.48,19.50,146700,12.893095
2006-02-01,19.299999,20.33,18.98,19.719999,90700,13.038555
2006-01-03,18.17,20.120001,17.83,19.25,127600,12.727799
2005-12-01,17.90,18.60,17.059999,18.17,124000,11.911854
2005-11-01,17.10,18.200001,17.01,17.75,91500,11.636511
2005-10-03,16.799999,17.91,16.17,17.10,122500,11.210385
2005-09-01,17.450001,18.17,16.129999,16.799999,133300,10.913996
2005-08-01,18.27,18.32,17.10,17.40,67500,11.303782
2005-07-01,18.280001,18.66,17.969999,18.209999,117700,11.829992
2005-06-01,15.90,19.27,15.83,18.120001,155400,11.672898
2005-05-02,15.55,15.99,14.11,15.89,110100,10.236333
2005-04-01,17.01,17.15,14.12,15.50,133900,9.985095
2005-03-01,17.08,17.700001,16.65,16.92,98000,10.799653
2005-02-01,17.190001,17.84,16.799999,17.08,126000,10.901777
2005-01-03,19.26,20.15,16.82,17.129999,144300,10.93369
2004-12-01,19.860001,20.08,18.049999,19.25,99400,12.184339
2004-11-01,20.129999,21.15,19.75,19.85,57800,12.56411
2004-10-01,21.450001,21.68,19.790001,20.23,58200,12.804631
2004-09-01,18.66,22.23,18.309999,21.42,78700,13.45825
2004-08-02,18.00,19.59,16.75,18.68,45100,11.7367
2004-07-01,19.299999,19.950001,17.85,18.200001,82700,11.435115
2004-06-01,15.46,19.65,15.26,19.50,74500,12.154471
2004-05-03,14.99,16.299999,14.70,15.45,34400,9.630081
2004-04-01,16.74,17.00,14.95,14.99,31200,9.34336
2004-03-01,16.83,17.110001,15.37,16.74,33600,10.334127
2004-02-02,15.95,17.00,15.80,16.83,32000,10.389688
2004-01-02,15.35,16.049999,15.35,15.90,25300,9.815569
2003-12-01,14.70,16.07,14.58,15.30,29500,9.353956
2003-11-03,14.40,14.99,13.96,14.78,38600,9.036043
2003-10-01,13.45,14.90,13.45,14.36,49200,8.779268
2003-09-02,14.85,14.98,13.20,13.41,37900,8.111009
2003-08-01,14.44,14.88,14.25,14.78,25100,8.939651
2003-07-01,14.65,15.40,13.65,14.47,35700,8.752148
2003-06-02,13.71,14.93,13.44,14.55,46900,8.708492
2003-05-01,12.48,13.67,11.46,13.61,46300,8.145882
2003-04-01,11.48,12.90,11.00,12.50,37400,7.481523
2003-03-03,11.33,11.85,10.90,11.33,37100,6.686729
2003-02-03,11.15,12.10,11.10,11.32,42800,6.680827
2003-01-02,11.72,13.23,10.70,11.10,48600,6.550988
2002-12-02,12.35,12.45,11.30,11.62,34400,6.773719
2002-11-01,12.85,13.25,11.95,12.36,26900,7.205091
2002-10-01,13.04,13.21,11.54,12.80,28400,7.461584
2002-09-03,12.00,13.29,11.65,13.05,41100,7.508064
2002-08-01,12.30,12.57,11.35,11.91,42500,6.852187
2002-07-01,13.10,14.49,10.75,12.40,63000,7.134099
2002-06-03,13.97,14.10,11.75,13.05,103500,7.422179
2002-05-01,12.80,14.18,12.74,14.00,51300,7.96249
2002-04-01,12.08,13.48,11.65,12.90,73800,7.336866
2002-03-01,10.70,12.42,10.34,12.23,64700,6.869205
2002-02-01,9.94,10.88,9.75,10.61,32900,5.959302
2002-01-02,9.60,9.97,9.39,9.93,21600,5.577368
2001-12-03,9.45,9.72,9.07,9.60,25400,5.3055
2001-11-01,8.82,9.54,8.42,9.51,22100,5.25576
2001-10-01,8.56,9.00,8.20,8.84,15500,4.885481
2001-09-04,8.95,9.05,7.70,8.56,19300,4.649173
2001-08-01,8.88,9.12,8.55,8.99,15300,4.882718
2001-07-02,7.90,9.10,7.90,8.85,18800,4.80668
2001-06-01,8.71,8.80,7.55,7.90,32600,4.217625
2001-05-01,7.91,9.19,7.77,8.71,46000,4.650064
2001-04-02,8.20,8.43,7.47,7.91,44100,4.222963
2001-03-01,8.44,8.49,7.65,8.10,39200,4.238467
2001-02-01,7.50,8.45,7.38,8.44,53500,4.416377
2001-01-02,7.4375,7.8125,6.875,7.44,74200,3.89311
2000-12-01,7.1875,7.75,7.00,7.375,31300,3.781916
2000-11-01,7.375,7.6875,7.125,7.25,18000,3.717815
2000-10-02,7.59375,7.625,6.5625,7.3125,38100,3.749866
2000-09-01,7.875,8.00,7.00,7.5625,46900,3.791421
2000-08-01,8.125,8.50,7.5625,7.875,37800,3.948091
2000-07-03,8.00,8.125,7.625,8.00,19300,4.010759
2000-06-01,7.375,8.0625,6.75,8.00,63900,3.932439
2000-05-01,7.125,8.25,7.0625,7.375,37600,3.625217
2000-04-03,7.125,7.50,6.6875,6.75,44900,3.317996
2000-03-01,7.125,7.50,6.8125,7.25,29700,3.487582
2000-02-01,7.875,8.00,7.125,7.3125,19200,3.517647
2000-01-03,7.875,8.25,7.6875,7.875,22400,3.788235
