Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.559999,16.74,16.559999,16.610001,310800,12.024657
2013-03-01,17.17,17.440001,16.60,16.65,169600,12.053614
2013-02-01,17.50,17.719999,17.049999,17.219999,205400,12.282609
2013-01-02,16.99,17.58,16.969999,17.40,292100,12.410998
2012-12-03,16.51,16.950001,16.16,16.84,281800,12.011564
2012-11-01,16.58,16.879999,15.45,16.620001,205300,11.678864
2012-10-01,16.59,16.92,16.290001,16.469999,216100,11.573458
2012-09-04,16.77,17.440001,16.469999,16.469999,261800,11.573458
2012-08-01,16.58,16.90,16.42,16.74,190700,11.589072
2012-07-02,15.83,16.709999,15.75,16.450001,200400,11.388307
2012-06-01,14.56,16.00,14.28,15.70,219600,10.869082
2012-05-01,16.67,16.85,14.71,14.77,260900,10.028858
2012-04-02,16.18,16.700001,15.70,16.65,184700,11.305381
2012-03-01,16.83,17.15,16.120001,16.24,234800,11.02699
2012-02-01,16.639999,16.99,16.26,16.76,255300,11.175883
2012-01-03,14.28,16.65,14.28,16.469999,249700,10.982505
2011-12-01,14.73,15.26,14.07,14.15,300400,9.435486
2011-11-01,15.69,15.85,14.17,14.79,206100,9.660293
2011-10-03,14.18,16.09,13.57,15.87,214600,10.365709
2011-09-01,17.35,17.469999,14.45,14.47,212200,9.451281
2011-08-01,17.299999,17.700001,15.62,17.299999,234500,11.080463
2011-07-01,17.700001,17.75,16.99,17.23,166500,11.035629
2011-06-01,17.52,17.82,17.08,17.610001,192300,11.279016
2011-05-02,17.49,17.58,16.82,17.50,212300,11.013516
2011-04-01,16.25,17.530001,16.15,17.40,254500,10.950582
2011-03-01,16.09,16.360001,15.76,16.200001,187900,10.19537
2011-02-01,16.059999,16.209999,15.48,15.98,220000,9.871591
2011-01-03,16.27,16.639999,15.80,15.95,219400,9.853058
2010-12-01,16.60,17.01,15.55,16.15,273800,9.976607
2010-11-01,17.309999,18.059999,16.35,16.389999,287100,9.937368
2010-10-01,17.09,17.85,16.84,17.290001,263800,10.483045
2010-09-01,16.280001,17.15,16.219999,17.10,241800,10.367846
2010-08-02,16.209999,16.879999,16.01,16.200001,198600,9.648736
2010-07-01,14.56,16.15,14.23,16.10,249700,9.589176
2010-06-01,14.75,15.62,14.40,14.65,187100,8.725554
2010-05-03,15.80,15.92,13.34,14.88,373100,8.690899
2010-04-01,14.93,16.10,14.92,15.85,258900,9.257443
2010-03-01,14.22,15.32,14.22,14.90,255300,8.70258
2010-02-01,13.93,14.38,13.20,14.30,332400,8.186861
2010-01-04,13.72,14.64,13.72,13.92,354700,7.969308
2009-12-01,14.21,14.57,13.58,13.68,297900,7.831906
2009-11-02,13.81,14.90,13.67,14.17,252400,7.940196
2009-10-01,14.12,15.34,13.60,13.75,358600,7.704848
2009-09-01,13.00,14.47,12.93,14.16,260700,7.934592
2009-08-03,13.47,13.76,13.01,13.08,263100,7.2019
2009-07-01,12.57,13.47,12.01,13.44,231100,7.400116
2009-06-01,13.21,13.80,12.11,12.51,362800,6.888055
2009-05-01,10.35,13.13,10.32,13.13,452500,7.087006
2009-04-01,8.97,10.68,8.91,10.42,411600,5.624265
2009-03-02,9.00,9.96,7.79,9.08,390300,4.900991
2009-02-02,10.90,11.19,8.76,9.31,337300,4.894816
2009-01-02,10.45,11.57,10.07,11.00,381500,5.783348
2008-12-01,8.40,10.53,8.05,10.49,420200,5.515211
2008-11-03,9.69,9.92,6.61,8.60,434700,4.278434
2008-10-01,11.84,12.12,5.36,9.70,508400,4.825675
2008-09-02,14.53,14.56,11.00,11.95,372500,5.945033
2008-08-01,15.57,15.90,14.35,14.42,206100,6.909707
2008-07-01,15.22,15.90,14.13,15.40,233800,7.379298
2008-06-02,17.799999,17.940001,14.97,15.24,332900,7.30263
2008-05-01,17.540001,17.98,17.299999,17.799999,160200,8.26896
2008-04-01,17.440001,18.110001,17.049999,17.57,152900,8.162114
2008-03-03,18.120001,18.190001,16.84,17.34,151900,8.055268
2008-02-01,17.940001,18.49,17.209999,18.200001,186900,8.218745
2008-01-02,17.25,18.389999,16.530001,18.00,262300,8.128429
2007-12-03,17.209999,18.23,16.110001,17.209999,635700,7.771681
2007-11-01,18.940001,19.129999,16.25,17.370001,283400,7.623338
2007-10-01,17.67,20.469999,17.25,18.93,221000,8.066759
2007-09-04,18.10,18.48,17.219999,17.90,244700,7.627838
2007-08-01,18.469999,18.98,14.07,18.00,314500,7.670452
2007-07-02,19.309999,19.98,17.00,18.67,142400,7.699871
2007-06-01,20.200001,20.290001,18.50,19.35,141000,7.980316
2007-05-01,20.98,22.15,19.76,20.26,158900,8.355618
2007-04-24,20.00,21.00,20.00,20.799999,212000,8.578323
