Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.69,11.72,11.60,11.66,305600,9.12913
2013-03-01,11.29,11.73,11.27,11.68,167400,9.14479
2013-02-01,11.29,11.48,11.15,11.37,185900,8.836192
2013-01-02,10.87,11.33,10.82,11.27,149300,8.692463
2012-12-03,10.78,10.88,10.46,10.66,156500,8.159122
2012-11-01,10.91,11.03,10.04,10.77,148700,8.177614
2012-10-01,11.13,11.33,10.71,10.87,119100,8.186581
2012-09-04,10.87,11.28,10.80,11.08,145200,8.279911
2012-08-01,10.69,11.05,10.52,10.90,121200,8.082966
2012-07-02,10.58,10.78,10.36,10.67,109500,7.850547
2012-06-01,10.27,10.67,10.06,10.60,133300,7.73671
2012-05-01,10.97,11.09,10.23,10.41,158200,7.536446
2012-04-02,11.03,11.16,10.74,10.98,124500,7.883498
2012-03-01,11.12,11.29,10.86,11.06,186000,7.878797
2012-02-01,10.80,11.19,10.79,11.11,175200,7.853535
2012-01-03,10.29,10.84,10.23,10.77,192300,7.549979
2011-12-01,10.11,10.42,9.88,10.18,221500,7.074204
2011-11-01,10.01,10.48,9.68,10.15,179500,6.988917
2011-10-03,9.72,10.60,9.10,10.39,163000,7.089263
2011-09-01,10.76,10.89,9.75,9.78,155000,6.612684
2011-08-01,11.59,11.63,9.49,10.80,228700,7.238792
2011-07-01,11.94,12.29,11.27,11.42,194900,7.584283
2011-06-01,12.14,12.17,11.50,12.00,165500,7.908729
2011-05-02,12.32,12.35,11.91,12.18,131200,7.963967
2011-04-01,12.32,12.41,11.94,12.29,155700,7.975342
2011-03-01,12.40,12.47,11.82,12.34,145800,7.946702
2011-02-01,12.41,12.65,12.19,12.41,143600,7.931316
2011-01-03,12.66,12.78,12.30,12.39,135300,7.860716
2010-12-01,13.15,13.28,12.19,12.64,178200,7.960679
2010-11-01,13.18,13.49,12.98,13.06,133800,8.16461
2010-10-01,13.05,13.30,12.84,13.16,153600,8.155371
2010-09-01,12.40,13.12,12.39,12.99,146000,7.979008
2010-08-02,13.16,13.30,12.12,12.31,125300,7.49442
2010-07-01,12.65,13.30,12.37,13.10,102600,7.903772
2010-06-01,12.60,13.53,12.32,12.68,105800,7.582728
2010-05-03,14.16,14.28,9.76,12.76,160500,7.564265
2010-04-01,14.23,14.47,13.94,14.10,99200,8.286703
2010-03-01,13.57,14.25,13.54,14.06,109300,8.196584
2010-02-01,12.59,13.55,12.24,13.53,147400,7.822901
2010-01-04,14.23,14.78,12.55,12.56,211900,7.197851
2009-12-01,14.14,14.57,13.58,14.19,116000,8.065301
2009-11-02,13.15,14.15,13.10,14.08,117100,7.926747
2009-10-01,13.64,14.09,12.63,13.10,139100,7.3026
2009-09-01,13.32,14.95,12.93,13.68,149400,7.551349
2009-08-03,13.37,13.79,12.92,13.30,121000,7.274131
2009-07-01,12.30,13.29,11.47,13.21,106700,7.149694
