Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,23.16,23.209999,23.01,23.110001,83600,16.857168
2013-03-01,22.190001,23.360001,22.15,23.200001,66500,16.922817
2013-02-01,22.139999,22.549999,21.49,22.25,81600,16.133207
2013-01-02,20.42,22.09,20.370001,22.01,91600,15.862919
2012-12-03,19.780001,20.959999,19.52,20.09,78200,14.479147
2012-11-01,19.709999,20.02,17.85,19.719999,73300,14.024399
2012-10-01,19.870001,20.25,19.51,19.66,61000,13.8971
2012-09-04,19.10,20.219999,19.07,19.780001,64200,13.90005
2012-08-01,18.940001,19.60,18.51,19.200001,49700,13.4142
2012-07-02,18.01,18.889999,17.799999,18.809999,71900,13.062752
2012-06-01,17.02,18.040001,16.65,18.02,64800,12.435666
2012-05-01,19.200001,19.40,17.10,17.35,61300,11.895253
2012-04-02,19.52,19.790001,18.57,19.23,55600,13.095842
2012-03-01,19.530001,19.98,18.92,19.58,61100,13.252602
2012-02-01,18.92,19.68,18.92,19.459999,79500,13.093863
2012-01-03,17.379999,18.870001,17.17,18.799999,72200,12.573209
2011-12-01,17.10,17.690001,16.309999,17.00,76100,11.369391
2011-11-01,17.23,17.99,15.96,17.030001,79300,11.232779
2011-10-03,16.16,18.530001,15.14,17.91,73700,11.73148
2011-09-01,18.950001,18.969999,16.16,16.34,64000,10.631
2011-08-01,20.940001,21.059999,16.74,18.84,86400,12.176868
2011-07-01,21.65,22.25,20.620001,20.74,44000,13.315886
2011-06-01,22.040001,22.10,20.450001,21.700001,36900,13.856603
2011-05-02,22.99,23.08,21.389999,22.120001,40600,14.045571
2011-04-01,22.01,22.969999,21.85,22.860001,39000,14.438603
2011-03-01,21.799999,22.040001,20.52,21.940001,39600,13.784125
2011-02-01,21.120001,21.950001,21.120001,21.709999,35900,13.564948
2011-01-03,20.610001,21.48,20.559999,20.98,39900,13.038536
2010-12-01,19.98,20.74,19.91,20.52,46700,12.752658
2010-11-01,20.700001,21.139999,19.299999,19.74,46300,12.128067
2010-10-01,19.719999,20.540001,19.379999,20.360001,59400,12.436464
2010-09-01,18.030001,19.82,18.030001,19.65,60500,11.932594
2010-08-02,18.959999,19.129999,17.59,17.90,50800,10.804709
2010-07-01,17.309999,18.950001,16.93,18.77,52600,11.257694
2010-06-01,17.799999,18.93,17.209999,17.309999,65500,10.315287
2010-05-03,20.360001,20.540001,16.35,18.049999,98500,10.688821
2010-04-01,20.459999,20.940001,20.16,20.309999,65000,11.950292
2010-03-01,19.07,21.209999,19.07,20.389999,62900,11.929453
2010-02-01,18.469999,19.41,17.450001,19.09,60100,11.105955
2010-01-04,19.43,20.280001,18.08,18.42,75200,10.649123
2009-12-01,19.34,19.790001,18.42,19.379999,56300,11.204125
2009-11-02,17.639999,19.60,17.25,19.280001,57500,11.013906
2009-10-01,18.440001,19.459999,15.93,17.559999,75100,9.969564
2009-09-01,17.139999,19.32,16.60,18.40,55600,10.382777
2009-08-03,16.809999,17.59,16.280001,17.440001,73700,9.780785
2009-07-01,14.86,16.65,13.96,16.639999,61300,9.266783
2009-06-01,15.14,15.50,13.92,14.89,67400,8.231385
2009-05-01,12.59,14.39,12.53,14.34,83200,7.865298
2009-04-01,10.82,12.87,10.82,12.60,86400,6.853625
2009-03-02,9.94,11.87,8.78,11.12,136900,5.989077
2009-02-02,13.05,13.77,9.82,10.34,124200,5.508593
2009-01-02,14.58,15.68,12.47,13.28,77000,7.005306
2008-12-01,12.25,14.50,11.32,14.19,99900,7.485339
2008-11-03,15.08,15.94,8.89,12.60,100400,6.505322
2008-10-01,19.32,19.559999,9.09,15.09,102100,7.680476
2008-09-02,26.450001,26.48,18.27,19.34,102100,9.726444
2008-08-01,27.59,27.690001,25.23,26.40,38400,13.158564
2008-07-01,29.620001,29.969999,26.110001,27.60,49200,13.660926
2008-06-02,33.25,33.360001,29.73,29.99,42500,14.747978
2008-05-01,31.48,33.41,31.299999,33.32,37900,16.291859
2008-04-01,28.809999,31.790001,28.809999,31.450001,43400,15.291451
2008-03-03,29.84,30.09,27.59,28.620001,45100,13.835337
2008-02-01,30.23,30.99,27.43,29.709999,51500,14.2724
2008-01-02,33.950001,33.970001,26.92,30.129999,52800,14.383732
2007-12-03,33.380001,34.049999,31.219999,33.84,38100,16.154846
2007-11-01,35.759998,35.790001,30.76,32.490002,37400,15.257312
2007-10-01,34.50,36.23,33.919998,35.970001,30800,16.795698
2007-09-04,31.32,34.57,31.030001,34.560001,40300,16.053001
2007-08-01,30.75,31.65,25.08,31.459999,77200,14.533354
2007-07-02,33.98,35.82,30.120001,31.10,63600,14.279384
2007-06-01,34.689999,35.27,33.41,34.00,33400,15.527742
2007-05-01,33.150002,34.720001,33.00,34.700001,44100,15.765438
2007-04-02,30.49,33.98,30.389999,33.25,45500,15.027259
2007-03-01,28.549999,30.469999,27.379999,30.43,40800,13.679113
2007-02-01,29.790001,30.08,28.469999,28.700001,50800,12.836338
2007-01-03,31.32,31.52,28.25,29.690001,42300,13.212036
2006-12-01,29.17,32.310001,29.17,31.26,41700,13.910685
2006-11-01,28.209999,30.00,27.370001,29.25,38800,12.837289
2006-10-02,27.549999,28.879999,26.52,28.34,43100,12.374317
2006-09-01,28.26,28.379999,26.34,27.610001,44600,11.993402
2006-08-01,27.299999,28.49,26.98,28.110001,34900,12.145612
2006-07-03,26.35,27.48,26.139999,27.32,32100,11.744201
2006-06-01,25.57,26.549999,23.90,26.10,34500,11.159071
2006-05-01,26.75,28.530001,24.40,25.450001,43700,10.818898
2006-04-03,26.10,26.75,25.299999,26.65,32600,11.26623
2006-03-01,25.559999,26.09,24.74,26.00,35100,10.934738
2006-02-01,25.85,25.950001,24.00,25.57,45100,10.698003
2006-01-03,24.99,26.10,24.77,25.90,42500,10.777578
2005-12-01,23.74,25.139999,23.66,25.030001,42100,10.415552
2005-11-01,23.139999,24.309999,23.040001,23.700001,43400,9.756334
2005-10-03,23.389999,23.940001,21.90,23.139999,45700,9.472527
2005-09-01,22.709999,23.75,22.620001,23.42,64800,9.531466
2005-08-01,22.00,22.700001,21.93,22.60,51600,9.153251
2005-07-01,21.200001,22.280001,21.18,22.040001,50400,8.881292
2005-06-01,20.690001,21.469999,20.50,21.120001,49000,8.467248
2005-05-02,19.969999,20.799999,19.799999,20.65,43500,8.234482
2005-04-01,20.25,20.700001,19.620001,19.969999,48800,7.918753
2005-03-01,21.27,21.790001,19.50,20.08,57200,7.917586
2005-02-01,20.18,21.35,20.139999,21.33,63500,8.367189
2005-01-03,20.32,20.440001,19.700001,20.15,52100,7.904306
2004-12-01,19.92,20.40,19.40,20.40,42500,8.002375
2004-11-01,18.870001,19.98,18.870001,19.93,45500,7.689863
2004-10-01,19.24,19.50,18.58,18.809999,33100,7.218837
2004-09-01,17.75,19.450001,17.75,19.290001,35900,7.362649
2004-08-02,17.299999,17.83,16.870001,17.75,37000,6.736593
2004-07-01,17.639999,18.959999,16.75,17.209999,28900,6.494515
2004-06-01,20.00,20.01,17.32,17.690001,68200,6.638001
2004-05-26,20.00,20.01,20.00,20.00,34500,7.46281
