Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.60,17.610001,17.34,17.42,72000,12.864785
2013-03-01,17.60,17.99,17.26,17.459999,49800,12.894325
2013-02-01,17.889999,18.049999,17.58,17.66,45100,12.733919
2013-01-02,17.799999,18.18,17.559999,17.799999,56800,12.834867
2012-12-03,18.16,18.389999,17.40,17.67,46600,12.74113
2012-11-01,18.129999,18.34,16.83,18.15,36000,12.781462
2012-10-01,17.83,18.49,17.610001,18.10,38500,12.746252
2012-09-04,17.82,18.10,17.49,17.709999,59400,12.471608
2012-08-01,17.780001,17.99,17.530001,17.799999,33600,12.238363
2012-07-02,17.690001,17.950001,17.26,17.75,61100,12.203986
2012-06-01,17.549999,17.799999,17.10,17.540001,56800,12.059602
2012-05-01,17.559999,17.719999,17.030001,17.610001,29100,11.813517
2012-04-02,17.049999,17.639999,16.66,17.540001,29200,11.766558
2012-03-01,17.450001,17.60,16.33,16.90,50300,11.337218
2012-02-01,17.26,17.50,16.84,17.33,42800,11.338083
2012-01-03,16.75,17.35,16.57,17.17,77100,11.233404
2011-12-01,16.469999,17.219999,16.25,16.549999,36300,10.827771
2011-11-01,15.96,16.65,15.95,16.450001,35100,10.492813
2011-10-03,16.75,16.98,15.85,15.95,46900,10.173882
2011-09-01,16.34,17.02,15.93,16.559999,26600,10.562977
2011-08-01,17.049999,17.26,15.42,16.34,35700,10.156605
2011-07-01,17.709999,17.709999,16.74,17.00,40900,10.566847
2011-06-01,17.700001,17.93,17.040001,17.52,41400,10.890068
2011-05-02,16.450001,17.719999,16.40,17.700001,45500,10.736129
2011-04-01,16.66,16.67,16.33,16.469999,38600,9.990058
2011-03-01,16.700001,17.08,16.18,16.549999,47900,10.038583
2011-02-01,16.700001,17.00,16.030001,16.77,55500,9.91877
2011-01-03,16.780001,17.549999,16.469999,16.719999,60900,9.889196
2010-12-01,18.67,18.67,16.440001,16.73,100400,9.895111
2010-11-01,19.42,19.82,18.030001,18.690001,48400,10.778984
2010-10-01,19.91,19.940001,19.25,19.35,23600,11.159622
2010-09-01,19.809999,20.299999,19.440001,19.700001,36800,11.361476
2010-08-02,20.00,20.799999,19.18,19.860001,64700,11.213246
2010-07-01,20.01,20.049999,19.219999,20.00,33900,11.292292
2010-06-25,20.00,20.01,20.00,20.00,111200,11.292292
