Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,2.21,2.21,2.21,2.21,000,2.21
2013-03-01,2.21,2.21,2.21,2.21,000,2.21
2013-02-01,2.21,2.21,2.21,2.21,000,2.21
2013-01-01,2.21,2.21,2.21,2.21,000,2.21
2012-12-03,2.21,2.21,2.21,2.21,000,2.21
2012-11-01,2.21,2.21,2.21,2.21,000,2.21
2012-10-01,2.21,2.21,2.21,2.21,000,2.21
2012-09-03,2.21,2.21,2.21,2.21,000,2.21
2012-08-01,2.21,2.21,2.21,2.21,000,2.21
2012-07-02,2.21,2.21,2.21,2.21,000,2.21
2012-06-01,2.21,2.21,2.21,2.21,000,2.21
2012-05-01,2.21,2.21,2.21,2.21,000,2.21
2012-04-02,2.21,2.21,2.21,2.21,000,2.21
2012-03-01,2.21,2.21,2.21,2.21,000,2.21
2012-02-01,2.21,2.21,2.21,2.21,000,2.21
2012-01-02,2.21,2.21,2.21,2.21,000,2.21
2011-12-01,2.21,2.22,2.05,2.21,000,2.21
2011-11-01,2.11,2.22,2.03,2.21,000,2.21
2011-10-03,1.96,2.19,1.84,2.15,000,2.15
2011-09-01,1.90,2.03,1.81,1.91,000,1.91
2011-08-01,2.32,2.34,1.81,1.95,000,1.95
2011-07-01,2.20,2.51,2.19,2.36,000,2.36
2011-06-01,2.23,2.26,2.03,2.17,000,2.17
2011-05-02,2.01,2.24,1.97,2.23,000,2.23
2011-04-01,2.28,2.32,1.92,2.00,000,2.00
2011-03-01,2.61,2.70,2.25,2.27,000,2.27
2011-02-01,2.23,2.83,2.23,2.54,000,2.54
2011-01-03,2.27,2.54,2.19,2.27,000,2.27
2010-12-01,2.16,2.32,1.98,2.30,000,2.30
2010-11-01,2.00,2.21,1.96,2.21,000,2.21
2010-10-01,2.14,2.18,2.00,2.00,000,2.00
2010-09-01,2.04,2.35,2.03,2.14,000,2.14
2010-08-02,2.13,2.15,1.90,2.15,000,2.15
2010-07-01,2.05,2.18,1.94,2.10,000,2.10
2010-06-01,2.19,2.27,2.01,2.27,000,2.27
2010-05-03,2.56,2.67,2.10,2.25,000,2.25
2010-04-01,2.12,2.63,2.12,2.56,000,2.56
2010-03-01,1.88,2.36,1.88,2.17,000,2.17
2010-02-01,1.67,1.92,1.67,1.92,000,1.92
2010-01-04,1.91,1.93,1.71,1.72,000,1.72
2009-12-04,1.44,1.57,1.44,1.45,000,1.45
2009-11-09,1.39,1.44,1.33,1.33,000,1.33
2009-08-06,1.56,1.85,1.56,1.85,000,1.85
2009-07-28,1.61,1.61,1.57,1.57,000,1.57
2009-02-02,1.39,1.67,1.31,1.31,000,1.31
