Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.70,10.72,10.49,10.52,4896000,9.994555
2013-03-01,10.54,11.34,10.44,10.68,2715000,10.146563
2013-02-01,10.27,10.96,10.19,10.63,2869900,10.053854
2013-01-02,10.15,10.53,9.70,10.21,4253100,9.656618
2012-12-03,9.56,10.22,9.18,9.91,2922000,9.372878
2012-11-01,9.30,9.85,8.91,9.46,4311000,8.937799
2012-10-01,9.71,10.06,8.90,9.31,4176000,8.796081
2012-09-04,8.96,10.26,8.91,9.63,5240900,9.098415
2012-08-01,8.27,9.09,7.96,8.96,3735000,8.456554
2012-07-02,8.70,8.95,7.71,8.23,6353300,7.767571
2012-06-01,8.35,8.73,7.44,8.65,6687900,8.163973
2012-05-01,9.18,9.44,8.36,8.48,4777900,7.993184
2012-04-02,10.33,10.61,8.83,9.18,7291100,8.653
2012-03-01,9.46,10.99,9.11,10.38,6173200,9.78411
2012-02-01,8.92,9.74,8.81,9.40,4593600,8.851841
2012-01-03,8.20,9.36,8.04,8.73,4973300,8.220912
2011-12-01,7.65,8.33,7.16,8.00,4114400,7.533482
2011-11-01,6.71,7.71,6.51,7.70,5371700,7.241257
2011-10-03,6.05,7.38,5.38,6.99,6597600,6.573556
2011-09-01,7.04,7.10,5.91,5.96,4990000,5.604921
2011-08-01,9.08,9.15,6.26,7.04,5019000,6.609968
2011-07-01,9.54,10.19,8.80,8.99,5097700,8.440854
2011-06-01,10.50,10.51,9.33,9.54,3847900,8.957257
2011-05-02,11.00,11.25,10.10,10.51,2947000,9.857947
2011-04-01,11.45,11.70,9.98,10.95,3332700,10.270648
2011-03-01,11.53,11.72,10.81,11.21,2756700,10.514518
2011-02-01,11.42,11.95,10.98,11.50,3002900,10.777244
2011-01-03,11.93,12.67,11.14,11.33,4940000,10.617928
2010-12-01,9.77,12.09,9.67,11.78,5052300,11.039646
2010-11-01,10.13,10.75,9.32,9.57,4112400,8.96854
2010-10-01,11.57,11.88,9.56,10.09,5963600,9.45586
2010-09-01,10.22,11.61,10.10,11.41,3110900,10.6929
2010-08-02,11.62,11.89,9.80,10.08,3090900,9.446488
2010-07-01,11.43,12.52,10.76,11.47,3687600,10.749129
2010-06-01,12.33,12.70,11.31,11.45,2983200,10.730386
2010-05-03,14.22,14.41,12.01,12.45,3640000,11.667538
2010-04-01,14.13,15.86,13.67,14.15,4244300,13.260695
2010-03-01,12.79,14.61,12.58,14.05,3071500,13.166981
2010-02-01,12.73,13.24,12.19,12.80,3410200,11.995541
2010-01-04,13.52,14.34,12.80,12.95,4287100,12.136113
2009-12-01,13.63,14.27,13.30,13.40,2792700,12.557831
2009-11-02,11.88,13.61,11.53,13.55,3124000,12.698404
2009-10-01,13.10,14.40,11.72,11.83,3316900,11.086503
2009-09-01,13.290004,14.82,12.249997,13.23,2774000,12.398516
2009-08-03,12.969995,14.100001,12.570005,13.380003,2966200,12.34284
2009-07-01,11.879996,12.890003,10.959996,12.819999,3998700,11.826244
2009-06-01,12.260003,13.629995,11.449996,12.000004,4313200,11.069813
2009-05-01,11.449996,13.960001,10.329996,12.140005,5099300,11.198962
2009-04-01,10.460002,13.490004,10.250004,11.510005,7069700,10.617797
2009-03-02,8.790004,11.350001,7.500004,10.740004,6714300,9.907482
2009-02-02,9.32,10.819996,7.880001,9.170001,6721300,8.45918
2009-01-02,10.710005,11.409999,6.949996,9.52,5830100,8.782048
2008-12-01,10.129996,11.000003,8.500005,10.570003,3233400,9.750659
2008-11-03,11.44,12.249997,7.300004,10.690001,5006500,9.861356
2008-10-01,9.579999,12.400004,6.889996,11.909995,6969700,10.986781
2008-09-02,11.900036,15.199998,6.410004,9.360004,8022500,8.634456
2008-08-01,9.700027,12.280042,8.890035,11.230036,5810300,10.05194
2008-07-01,7.250029,11.12004,4.520013,9.400034,10846200,8.413917
2008-06-02,9.640036,10.340032,7.150021,7.430027,6356100,6.650575
2008-05-01,10.740034,11.800038,8.860028,9.590032,5457200,8.39323
2008-04-01,14.15005,15.220052,10.550037,10.800037,6021800,9.452232
2008-03-03,16.240051,19.000063,13.950043,14.010046,3234100,12.261643
2008-02-01,20.980068,22.440075,16.200056,16.240051,2717800,14.049607
2008-01-02,18.050056,22.200073,14.790053,21.660078,3610000,18.738586
2007-12-03,22.370071,23.820082,17.650064,18.150064,2476200,15.702001
2007-11-01,25.610088,25.610088,19.310068,22.080078,2945400,18.702505
2007-10-01,26.660093,28.570097,23.510077,26.080082,2475300,22.090633
2007-09-04,31.070099,31.290104,22.74008,26.660093,1788800,22.581921
2007-08-01,31.250109,36.960121,27.650097,30.680107,3534900,25.592594
2007-07-02,39.100124,39.400131,31.680107,31.720102,2496800,26.460133
2007-06-01,40.360134,40.660141,37.940125,39.000126,1439000,32.532951
2007-05-01,39.350136,40.860138,39.020126,40.290134,1177900,33.215496
2007-04-02,41.44014,41.460136,38.430126,39.210133,2128500,32.325138
2007-03-01,42.650143,43.340141,38.200123,41.53014,1308900,34.237766
