Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,34.200001,34.290001,33.52,33.82,3102800,31.856201
2013-03-01,34.09,35.639999,31.299999,34.240002,3754400,32.251816
2013-02-01,34.599998,35.029999,32.84,34.189999,1854800,32.204716
2013-01-02,32.669998,34.84,31.120001,34.349998,2458500,32.355427
2012-12-03,36.09,36.09,31.07,32.119999,2316700,30.094975
2012-11-01,33.490002,35.959999,31.129999,35.84,2533800,33.580444
2012-10-01,35.66,36.43,32.779999,33.50,1676800,31.387972
2012-09-04,34.580002,37.650002,34.459999,35.50,2116000,33.091984
2012-08-01,33.290001,35.810001,32.509998,34.57,1779600,32.225067
2012-07-02,30.450001,34.00,30.450001,33.02,2025800,30.780209
2012-06-01,30.370001,32.189999,28.43,30.58,2517500,28.343393
2012-05-01,30.610001,33.290001,27.860001,31.74,3508500,29.41855
2012-04-02,31.110001,31.82,29.66,30.59,1805800,28.352661
2012-03-01,29.219999,32.27,28.809999,31.049999,2553900,28.607143
2012-02-01,26.469999,29.440001,26.290001,29.17,1782600,26.875053
2012-01-03,24.290001,26.82,23.48,26.24,1884100,24.17557
2011-12-01,23.459999,25.280001,22.469999,23.84,2621400,21.819368
2011-11-01,21.120001,23.92,20.82,23.59,3386800,21.590557
2011-10-03,20.01,23.02,18.299999,21.860001,2453100,20.007189
2011-09-01,20.940001,22.83,18.780001,20.09,2780000,18.245573
2011-08-01,21.93,22.120001,16.66,20.870001,3820900,18.953962
2011-07-01,23.870001,24.32,21.059999,21.73,2195200,19.735006
2011-06-01,24.93,25.17,21.690001,23.76,3113700,21.425432
2011-05-02,21.59,25.50,21.00,24.940001,2954100,22.489491
2011-04-01,19.76,22.030001,19.620001,21.52,2099900,19.405527
2011-03-01,19.82,20.50,18.27,19.719999,2911000,17.639816
2011-02-01,17.99,19.92,17.209999,19.870001,2633700,17.773994
2011-01-03,19.73,20.08,17.290001,17.860001,2792900,15.976021
2010-12-01,19.200001,19.959999,18.870001,19.620001,2146500,17.41115
2010-11-01,16.040001,19.290001,15.63,18.870001,3374200,16.745586
2010-10-01,14.69,16.09,14.47,15.93,3340600,14.136576
2010-09-01,11.98,15.17,11.98,14.53,2901200,12.770445
2010-08-02,13.81,14.20,11.59,11.74,3082300,10.318309
2010-07-01,12.69,14.47,12.27,13.59,2807300,11.944278
2010-06-01,14.81,15.14,12.53,12.62,2738300,10.969047
2010-05-03,15.45,15.79,13.06,14.91,3589400,12.959468
2010-04-01,15.50,16.76,14.99,15.35,2669100,13.341908
2010-03-01,13.03,15.45,12.83,15.04,3684400,12.94538
2010-02-01,11.36,13.17,11.30,12.97,2535100,11.163669
2010-01-04,11.29,12.55,11.10,11.29,2860400,9.717642
2009-12-01,9.67,11.54,9.46,11.14,2435500,9.472448
2009-11-02,10.43,11.22,9.47,9.49,2959800,8.069437
2009-10-01,11.89,12.31,10.40,10.48,3332800,8.911243
2009-09-01,10.70,12.31,10.28,11.95,3431800,10.030704
2009-08-03,11.11,11.86,9.91,10.66,3749400,8.947892
2009-07-01,10.56,11.54,9.50,11.08,2779700,9.300436
2009-06-01,11.22,12.16,10.13,10.47,2957400,8.664395
2009-05-01,11.88,12.95,9.38,11.11,3235300,9.194023
2009-04-01,10.33,12.13,10.03,11.89,2721800,9.839509
2009-03-02,8.21,10.84,7.75,10.48,4320800,8.548774
2009-02-02,7.25,8.45,7.09,8.31,2804700,6.778656
2009-01-02,7.43,8.81,7.10,7.36,2505900,6.00372
2008-12-01,6.39,8.60,5.89,7.34,3122100,5.87486
2008-11-03,14.50,14.79,3.65,6.73,4241400,5.386622
2008-10-01,16.00,16.52,10.12,14.62,2740700,11.701696
2008-09-02,16.549999,18.190001,15.34,16.16,4032300,12.791534
2008-08-01,15.13,16.50,13.92,16.290001,3224000,12.894437
2008-07-01,12.22,15.43,11.40,15.06,2692600,11.920824
2008-06-02,14.59,15.08,12.15,12.45,2046200,9.731678
2008-05-01,12.66,15.00,11.84,14.61,2104900,11.420066
2008-04-01,11.93,13.25,10.96,12.65,1654700,9.88801
2008-03-03,12.29,12.81,10.39,11.77,1992700,9.076713
2008-02-01,13.69,13.96,12.24,12.30,1565200,9.485434
2008-01-02,13.58,14.00,9.05,13.69,2196200,10.557364
2007-12-03,13.14,15.09,12.96,13.66,1325000,10.400411
2007-11-01,14.69,15.14,11.78,13.05,2004600,9.935971
2007-10-01,15.30,15.92,13.70,14.89,1263900,11.336905
2007-09-04,16.780001,17.60,15.28,15.33,1156600,11.574645
2007-08-01,18.42,18.49,14.63,16.709999,2315400,12.616589
2007-07-02,21.719999,23.60,18.209999,18.559999,2242400,14.013399
2007-06-01,21.90,22.799999,20.780001,21.799999,2086400,16.362608
2007-05-01,23.77,24.40,20.74,21.940001,2062000,16.46769
2007-04-02,23.549999,24.719999,23.040001,23.790001,1608100,17.85626
2007-03-01,22.459999,24.780001,21.280001,23.549999,2054800,17.583399
2007-02-01,22.540001,23.469999,22.24,22.719999,1682700,16.963686
2007-01-03,22.059999,22.66,21.10,22.440001,2557800,16.754627
2006-12-01,23.030001,23.709999,21.60,21.93,1809000,16.279869
2006-11-01,23.190001,24.92,22.209999,22.90,2709500,16.999954
2006-10-02,25.00,25.889999,22.799999,23.190001,2826500,17.215237
2006-09-01,24.10,25.549999,22.34,25.25,2761100,18.67701
2006-08-01,27.00,27.10,22.50,24.10,2597800,17.826374
2006-07-03,24.540001,28.00,24.059999,27.17,2800600,20.097202
2006-06-01,24.26,24.940001,23.09,24.49,1210900,18.054401
2006-05-01,23.23,25.469999,21.50,24.17,2102500,17.818493
2006-04-03,23.799999,24.00,22.790001,23.18,890000,17.08865
2006-03-01,23.10,24.389999,22.950001,23.879999,814200,17.537504
2006-02-01,22.719999,23.74,22.33,23.110001,855600,16.972017
2006-01-03,23.92,23.940001,22.02,22.719999,1070400,16.6856
2005-12-01,22.049999,24.07,21.90,23.59,1284800,17.257811
2005-11-01,19.35,22.26,18.74,21.82,1344200,15.962926
2005-10-03,21.82,22.34,18.75,19.440001,1211300,14.221783
2005-09-01,21.700001,22.32,20.790001,21.940001,1150000,15.993879
2005-08-01,25.17,25.370001,20.870001,21.84,1880700,15.92098
2005-07-01,27.34,27.59,24.959999,25.00,915400,18.224566
2005-06-01,26.299999,27.620001,24.940001,27.219999,994100,19.787374
2005-05-02,27.01,27.65,24.309999,26.41,874300,19.198553
2005-04-01,29.370001,29.450001,25.879999,26.66,986400,19.380287
2005-03-01,27.25,29.950001,27.110001,29.299999,850300,21.243717
2005-02-01,27.17,27.700001,26.16,27.299999,626700,19.793634
2005-01-03,27.200001,27.219999,25.75,26.92,602300,19.51812
2004-12-01,25.98,27.26,25.959999,26.93,793500,19.46909
2004-11-01,24.040001,26.709999,22.75,25.98,1238200,18.729977
2004-10-01,23.690001,24.799999,22.799999,24.40,728500,17.590893
2004-09-01,22.459999,24.07,21.90,23.700001,748500,17.043018
2004-08-02,22.35,22.969999,19.98,22.370001,1346200,16.086596
2004-07-01,24.25,24.309999,19.969999,22.50,2644900,16.18008
2004-06-01,23.65,25.030001,22.50,24.34,1039300,17.456802
2004-05-03,24.049999,24.48,20.10,23.60,1676900,16.926071
2004-04-01,25.799999,27.59,22.809999,24.00,1233200,17.212952
2004-03-01,26.700001,27.43,21.75,25.799999,1500300,18.46187
2004-02-02,24.74,26.940001,23.00,26.200001,1225600,18.7481
2004-01-02,23.85,25.969999,22.67,24.74,1632600,17.70336
2003-12-01,22.40,23.700001,20.620001,23.450001,1302800,16.740799
2003-11-03,18.200001,22.25,18.01,22.10,1747700,15.777042
2003-10-01,16.50,18.200001,16.370001,17.90,779000,12.778689
2003-09-02,16.780001,17.299999,15.80,16.200001,852600,11.545257
2003-08-01,15.00,17.35,13.85,16.57,989600,11.808944
2003-07-01,13.26,15.20,12.88,14.96,1165800,10.661546
2003-06-02,13.78,13.85,12.70,13.25,974000,9.422529
2003-05-01,10.92,13.45,10.10,13.45,1530300,9.564755
2003-04-01,10.71,11.40,9.94,11.00,904200,7.822477
2003-03-03,10.20,11.00,9.28,10.70,975200,7.588193
2003-02-03,10.20,10.78,9.81,10.20,822800,7.233605
2003-01-02,10.40,11.11,9.75,10.10,804500,7.162688
2002-12-02,13.50,13.73,10.03,10.50,1247400,7.425957
2002-11-01,9.80,13.50,9.75,13.40,1479600,9.476935
2002-10-01,10.00,10.65,8.20,9.80,1417300,6.930893
2002-09-03,9.40,10.60,9.14,9.99,1597900,7.065268
2002-08-01,11.10,11.19,8.90,9.50,2690400,6.718723
2002-07-01,14.55,14.68,10.10,11.10,1691700,7.850298
2002-06-03,15.30,16.00,13.75,14.45,1234700,10.219531
2002-05-01,15.75,15.80,13.05,15.30,2036300,10.820681
2002-04-01,15.98,17.00,15.16,15.75,1074900,11.138936
2002-03-01,16.450001,17.950001,15.60,16.18,1493500,11.443047
2002-02-01,15.40,16.639999,14.35,16.50,1037000,11.669361
2002-01-02,15.70,16.85,13.30,15.50,1731700,10.962128
2001-12-03,16.00,16.65,14.80,15.65,1170900,11.068213
2001-11-01,14.47,17.01,14.17,16.139999,1219600,11.414757
2001-10-01,15.25,16.90,14.00,14.50,1102600,10.254893
2001-09-04,18.00,18.15,11.90,15.25,1286800,10.785319
2001-08-01,16.50,19.10,16.00,17.950001,1479600,12.694851
2001-07-02,15.50,17.24,14.41,16.50,1180300,11.669361
2001-06-01,13.40,16.23,12.64,15.30,1575800,10.820681
2001-05-01,13.10,14.75,13.04,13.30,646100,9.406213
2001-04-02,13.80,14.11,12.59,13.24,520500,9.363778
2001-03-01,11.01,14.13,10.60,13.80,820700,9.75983
2001-02-01,12.95,13.24,10.20,11.01,867200,7.786647
2001-01-02,15.3125,16.75,9.75,12.95,1685100,9.158681
2000-12-01,13.375,16.375,12.75,15.50,636100,10.962128
2000-11-01,14.00,15.3125,13.0625,13.4375,571100,9.503457
2000-10-02,12.625,14.375,11.3125,14.125,532200,9.98968
2000-09-01,14.00,14.75,12.00,12.375,513700,8.752021
2000-08-01,14.25,16.50,13.6875,14.00,1667000,9.901277
2000-07-03,10.4375,14.75,10.375,14.125,888400,9.98968
2000-06-01,11.00,11.50,9.875,10.25,759200,7.249149
2000-05-01,11.8125,13.00,10.25,10.8125,622700,7.646968
2000-04-03,9.00,12.25,8.75,11.875,1072100,8.398404
2000-03-01,5.6875,9.375,5.50,8.9375,604700,6.320904
2000-02-01,6.0625,6.5625,5.00,5.6875,836600,4.022394
2000-01-03,7.0625,7.4375,5.625,6.00,992900,4.243404
