Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.14,15.19,15.12,15.13,49000,12.496142
2013-03-01,16.049999,16.129999,14.84,15.12,30900,12.487883
2013-02-01,16.50,16.66,15.96,16.00,12400,13.149659
2013-01-02,16.059999,16.99,16.059999,16.49,18200,13.490541
2012-12-03,16.98,17.02,15.35,15.99,25700,13.023297
2012-11-01,16.99,17.07,16.290001,16.950001,17600,13.738057
2012-10-01,17.459999,17.59,16.60,16.940001,14700,13.661795
2012-09-04,16.98,17.540001,16.82,17.309999,9600,13.891468
2012-08-01,16.549999,16.99,16.440001,16.969999,14100,13.553048
2012-07-02,16.52,16.940001,16.35,16.57,13700,13.168209
2012-06-01,16.10,16.52,15.78,16.40,11100,12.96735
2012-05-01,16.08,16.120001,15.78,16.02,7700,12.601989
2012-04-02,15.90,16.25,15.75,16.02,7700,12.536616
2012-03-01,15.54,16.09,14.51,15.97,14900,12.433141
2012-02-01,15.86,16.17,14.97,15.51,14400,12.008819
2012-01-03,15.14,15.94,15.01,15.75,16700,12.128009
2011-12-01,14.90,15.28,14.80,15.14,10200,11.594921
2011-11-01,14.24,14.97,14.15,14.90,12300,11.34831
2011-10-03,14.39,14.90,13.89,14.25,14200,10.791381
2011-09-01,13.49,14.44,13.34,14.32,15800,10.782909
2011-08-01,13.35,13.79,12.65,13.49,16500,10.098465
2011-07-01,13.57,13.83,13.18,13.23,8700,9.843743
2011-06-01,13.66,13.76,13.26,13.51,12800,9.991221
2011-05-02,13.48,13.60,13.13,13.60,13600,9.995436
2011-04-01,13.35,13.50,13.09,13.40,9400,9.784502
2011-03-01,13.36,13.60,13.02,13.28,11700,9.632872
2011-02-01,12.96,13.44,12.93,13.31,11200,9.591478
2011-01-03,13.40,13.42,12.14,12.93,29300,9.257237
2010-12-01,14.50,14.50,12.80,13.36,22200,9.498147
2010-11-01,15.01,15.18,13.00,14.40,26900,10.169845
2010-10-01,15.52,15.58,14.94,15.09,8800,10.590495
2010-09-01,15.67,16.360001,15.39,15.54,13100,10.844338
2010-08-02,15.06,15.65,14.92,15.65,11600,10.860966
2010-07-01,14.56,15.11,14.45,15.03,11400,10.370988
2010-06-01,14.46,14.68,14.18,14.49,14500,9.939565
2010-05-03,14.99,15.11,13.85,14.34,13800,9.778374
2010-04-01,14.83,15.37,14.70,14.95,10200,10.135005
2010-03-01,14.77,14.94,14.54,14.82,15300,9.989782
2010-02-01,14.50,15.09,14.47,14.70,13600,9.850723
2010-01-04,14.80,14.99,14.45,14.47,10700,9.638495
2009-12-01,14.82,15.36,14.36,14.88,17700,9.850955
2009-11-02,13.49,14.66,13.17,14.47,34000,9.520188
2009-10-01,15.45,16.290001,13.26,13.43,38700,8.780643
2009-09-01,13.94,15.59,13.65,15.53,24100,10.0904
2009-08-03,14.18,14.95,13.41,13.41,28900,8.662335
2009-07-01,12.69,14.02,12.69,13.83,8200,8.877017
2009-06-01,13.49,13.99,12.52,12.80,11300,8.162001
2009-05-01,12.90,13.79,12.69,13.39,14300,8.480266
2009-04-01,11.68,13.02,11.36,12.90,11200,8.112758
2009-03-02,10.38,11.86,10.18,11.66,15400,7.280256
2009-02-02,10.77,11.36,10.43,11.03,12300,6.832575
2009-01-02,9.15,10.91,9.09,10.77,16100,6.630129
2008-12-01,9.44,9.79,7.71,9.08,45600,5.553976
2008-11-03,10.11,12.19,9.25,9.45,18400,5.732776
2008-10-01,10.40,11.20,7.04,10.11,24400,6.094792
2008-09-02,13.52,13.62,9.25,10.38,25000,6.215594
2008-08-01,13.71,13.93,13.34,13.49,5900,8.035193
2008-07-01,13.40,14.05,13.18,13.70,19600,8.120282
2008-06-02,14.13,14.16,13.32,13.56,7700,7.997205
2008-05-01,14.76,14.86,13.83,14.18,8700,8.322049
2008-04-01,13.82,14.90,13.76,14.70,5900,8.586837
2008-03-03,13.70,14.14,13.40,13.84,7600,8.047555
2008-02-01,14.98,15.40,13.50,13.60,14900,7.870211
2008-01-02,13.35,15.18,12.44,14.96,18100,8.616095
2007-12-03,13.97,14.07,12.80,13.32,25300,7.63632
2007-11-01,14.84,14.98,13.26,13.92,12700,7.940067
2007-10-01,15.05,15.71,14.40,14.84,6100,8.423018
2007-09-04,14.15,15.01,14.15,14.99,4800,8.470076
2007-08-01,14.93,15.15,13.86,14.20,9200,7.987166
2007-07-02,14.99,15.50,14.20,14.87,6600,8.32511
2007-06-01,15.40,15.56,14.65,14.96,7000,8.338236
2007-05-01,15.86,16.24,14.93,15.38,10500,8.53442
2007-04-02,15.80,16.139999,15.65,15.85,8600,8.757547
2007-03-01,15.30,16.040001,15.27,15.80,6900,8.693364
2007-02-01,15.55,15.60,15.22,15.36,6900,8.415792
2007-01-03,15.29,15.82,15.17,15.50,8100,8.455599
2006-12-01,15.88,15.92,15.13,15.35,7800,8.337898
2006-11-01,15.59,15.99,15.45,15.80,8700,8.545424
2006-10-02,15.57,15.75,15.34,15.59,7100,8.395585
2006-09-01,15.43,16.00,15.35,15.57,9600,8.345778
2006-08-01,14.95,15.56,14.73,15.43,9600,8.232573
2006-07-03,14.74,15.19,14.61,14.91,8100,7.917123
2006-06-01,14.95,15.34,14.45,14.71,9600,7.772135
