Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.25,16.34,16.17,16.209999,216200,13.414985
2013-03-01,16.50,16.809999,15.79,16.17,164900,13.381883
2013-02-01,15.80,16.51,15.61,16.48,186900,13.575129
2013-01-02,15.19,15.85,15.17,15.78,145100,12.936694
2012-12-03,14.89,15.32,14.89,15.15,124500,12.42021
2012-11-01,15.11,15.30,13.91,14.95,141300,12.13271
2012-10-01,15.10,15.38,14.92,15.15,123500,12.231948
2012-09-04,15.27,15.42,14.86,15.07,62500,12.105639
2012-08-01,15.23,15.29,14.61,15.20,49300,12.06147
2012-07-02,14.33,15.37,14.23,15.10,62600,11.920115
2012-06-01,14.03,14.42,13.70,14.39,103000,11.299226
2012-05-01,14.79,15.05,14.09,14.17,80800,11.06563
2012-04-02,14.87,15.07,14.51,14.86,90700,11.544616
2012-03-01,14.58,14.95,14.38,14.82,86100,11.453517
2012-02-01,14.10,14.60,13.97,14.52,107700,11.162885
2012-01-03,13.46,14.38,13.38,14.07,117500,10.758065
2011-12-01,13.39,13.68,12.84,13.36,82900,10.215192
2011-11-01,13.54,13.72,12.95,13.33,69300,10.075563
2011-10-03,12.75,13.72,12.32,13.61,74500,10.22769
2011-09-01,13.29,13.60,12.66,12.73,74000,9.509678
2011-08-01,14.79,15.03,12.66,13.33,77400,9.900289
2011-07-01,15.27,15.48,14.38,14.61,49100,10.78688
2011-06-01,16.32,16.450001,15.01,15.27,49100,11.217321
2011-05-02,15.48,16.299999,15.40,16.299999,60600,11.915306
2011-04-01,15.61,15.94,15.40,15.44,67600,11.231711
2011-03-01,15.34,15.79,15.13,15.60,61800,11.293284
2011-02-01,15.10,15.62,15.03,15.38,67200,11.078132
2011-01-03,14.98,15.13,14.64,15.13,58900,10.843426
2010-12-01,14.90,15.20,14.19,14.88,63400,10.664255
2010-11-01,14.83,15.18,14.02,14.87,94600,10.545733
2010-10-01,15.62,15.84,14.65,14.88,125200,10.499191
2010-09-01,14.66,15.81,14.51,15.52,139000,10.894705
2010-08-02,15.52,15.66,14.49,14.61,76900,10.203983
2010-07-01,14.49,15.39,14.10,15.39,57400,10.693133
2010-06-01,13.65,15.14,13.45,14.43,90700,9.973669
2010-05-03,16.379999,16.48,13.21,13.74,127200,9.445585
2010-04-01,15.54,16.959999,15.50,16.26,92300,11.120098
2010-03-01,15.71,16.540001,15.28,15.48,95000,10.533304
2010-02-01,15.16,15.68,14.65,15.62,100900,10.575262
2010-01-04,14.34,15.50,14.05,15.00,103000,10.098889
2009-12-01,13.89,14.75,13.81,14.23,80800,9.58048
2009-11-02,12.41,13.88,12.37,13.79,67000,9.179029
2009-10-01,12.91,13.33,12.36,12.39,98300,8.195876
2009-09-01,12.23,13.02,12.15,12.87,95900,8.459692
2009-08-03,11.75,12.70,11.75,12.30,73300,8.031076
2009-07-01,10.91,11.95,10.85,11.75,55400,7.615598
2009-06-01,11.05,11.48,10.67,10.92,68700,7.019842
2009-05-01,9.98,11.05,9.64,11.05,73100,7.046685
2009-04-01,8.82,10.03,8.73,10.03,91400,6.331144
2009-03-02,8.56,9.18,7.92,8.96,80900,5.593489
2009-02-02,9.90,10.10,8.29,8.74,63500,5.389222
2009-01-02,8.76,9.90,8.76,9.90,69400,6.034434
2008-12-01,8.77,9.62,7.98,8.76,115700,5.339561
2008-11-03,10.97,11.32,7.97,9.13,79000,5.416791
2008-10-01,11.12,11.83,7.74,10.93,122300,6.413293
2008-09-02,14.49,14.69,10.54,11.00,135300,6.366288
2008-08-01,14.47,14.70,13.83,14.51,53200,8.3241
2008-07-01,14.88,15.12,14.00,14.39,82600,8.18458
2008-06-02,15.94,16.059999,14.97,15.02,61100,8.470605
2008-05-01,15.68,16.08,15.66,15.92,74000,8.905992
2008-04-01,14.39,15.89,14.39,15.70,122900,8.714173
2008-03-03,14.98,15.15,13.65,14.36,113300,7.90474
2008-02-01,15.60,15.69,14.03,14.99,115300,8.180353
2008-01-02,15.96,16.370001,15.14,15.66,85400,8.473856
2007-12-03,16.299999,16.58,15.61,15.98,115900,8.647013
2007-11-01,17.08,17.76,15.71,16.469999,97800,8.748128
2007-10-01,17.07,17.67,16.77,16.90,72300,8.907687
2007-09-04,16.700001,17.26,16.610001,17.07,106700,8.932469
2007-08-01,17.74,17.74,14.12,16.700001,112200,8.674936
2007-07-02,18.870001,19.110001,17.10,17.75,80500,9.154233
2007-06-01,19.219999,19.559999,18.52,18.92,82200,9.694971
2007-05-01,19.120001,19.27,19.02,19.24,92600,9.796747
2007-04-02,18.75,19.15,18.73,19.120001,51800,9.67413
2007-03-01,18.879999,18.940001,18.50,18.719999,79000,9.411643
2007-02-01,19.15,19.26,18.620001,18.82,119300,9.401086
2007-01-03,18.040001,19.09,18.030001,19.09,170100,9.475986
2006-12-01,17.92,18.18,17.90,18.07,89700,8.969674
2006-11-01,17.84,17.940001,17.700001,17.92,67900,8.734497
2006-10-02,17.620001,17.879999,17.52,17.84,66800,8.636757
2006-09-01,17.51,17.75,17.49,17.620001,61500,8.47187
2006-08-01,17.49,17.75,17.290001,17.49,58600,8.352038
2006-07-03,17.58,17.65,17.299999,17.49,50300,8.298047
2006-06-01,17.40,17.66,17.379999,17.559999,45800,8.2774
2006-05-01,17.389999,17.540001,17.17,17.42,86800,8.158627
2006-04-03,17.91,18.01,17.309999,17.41,67400,8.103621
2006-03-01,17.790001,17.969999,17.620001,17.889999,69600,8.276659
2006-02-01,17.700001,17.809999,17.51,17.809999,62600,8.189711
2006-01-03,17.01,17.73,17.00,17.73,72100,8.103148
2005-12-01,16.700001,17.139999,16.620001,17.129999,136000,7.82893
2005-11-01,17.120001,17.32,16.549999,16.76,81400,7.536528
2005-10-03,17.52,17.690001,16.91,17.139999,62700,7.658952
2005-09-01,17.879999,18.17,17.200001,17.52,60700,7.780384
2005-08-01,18.190001,18.34,17.76,17.85,50400,7.879686
2005-07-01,17.459999,18.26,17.459999,18.24,59200,8.005962
2005-06-01,17.950001,18.120001,17.35,17.52,57900,7.645333
2005-05-02,18.26,18.57,17.450001,18.00,58000,7.81255
2005-04-01,18.74,19.25,18.07,18.299999,54300,7.901341
2005-03-01,19.370001,19.639999,18.610001,18.799999,76100,8.075929
2005-02-01,19.07,19.440001,18.950001,19.379999,93200,8.284221
2005-01-03,18.76,19.18,18.76,19.110001,79400,8.128279
2004-12-01,18.48,18.780001,18.23,18.76,130200,7.979409
2004-11-01,18.780001,18.879999,18.290001,18.469999,76500,7.771627
2004-10-01,19.42,19.450001,18.60,18.65,56600,7.81606
2004-09-01,19.48,19.59,19.129999,19.360001,57700,8.082118
2004-08-02,19.73,19.75,19.17,19.440001,58800,8.084157
2004-07-01,19.450001,19.639999,19.25,19.59,56200,8.115314
2004-06-01,19.620001,19.780001,19.219999,19.370001,57300,7.993172
2004-05-03,19.639999,19.799999,18.940001,19.620001,63800,8.065068
2004-04-01,19.52,19.790001,19.24,19.639999,64700,8.042078
2004-03-01,19.15,19.98,19.049999,19.50,68800,7.953978
2004-02-02,19.25,19.42,18.799999,19.15,83200,7.781701
2004-01-02,19.66,19.75,19.120001,19.299999,39900,7.812114
2003-12-01,20.00,20.08,19.48,19.65,27600,7.953784
2003-11-03,20.00,20.190001,20.00,20.00,15100,8.095455
2003-10-29,20.00,20.15,20.00,20.01,76400,8.099503
