Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.70,12.80,12.64,12.65,69400,9.838843
2013-03-01,13.08,13.21,12.66,12.73,60500,9.901066
2013-02-01,13.17,13.28,13.03,13.16,57100,10.173499
2013-01-02,13.01,13.30,12.93,13.06,55100,10.035143
2012-12-03,12.83,13.01,12.67,12.92,41200,9.867107
2012-11-01,12.72,12.91,12.11,12.86,53200,9.759997
2012-10-01,13.17,13.27,12.71,12.74,42900,9.608878
2012-09-04,12.79,13.27,12.74,13.17,67000,9.873838
2012-08-01,12.59,12.85,12.51,12.81,57000,9.546447
2012-07-02,12.25,12.65,12.18,12.50,59200,9.258747
2012-06-01,11.75,12.28,11.54,12.28,61500,9.041087
2012-05-01,12.97,13.11,11.75,11.78,53200,8.620313
2012-04-02,13.47,13.56,12.78,13.04,35300,9.47272
2012-03-01,13.62,13.81,12.76,13.45,75900,9.705621
2012-02-01,13.19,13.67,12.86,13.53,67500,9.69908
2012-01-03,12.11,13.16,11.95,13.07,68000,9.30784
2011-12-01,11.77,12.13,11.65,12.08,63400,8.543186
2011-11-01,12.35,12.50,11.41,11.79,74600,8.27803
2011-10-03,11.67,12.59,10.81,12.54,64700,8.742346
2011-09-01,13.78,14.11,11.78,11.78,50700,8.157224
2011-08-01,13.89,14.10,11.62,13.78,64500,9.479228
2011-07-01,13.92,14.17,13.32,13.64,48700,9.317477
2011-06-01,13.70,14.10,13.15,14.00,55700,9.500051
2011-05-02,12.81,13.82,12.80,13.80,58400,9.300896
2011-04-01,12.70,12.96,12.53,12.81,55500,8.574777
2011-03-01,12.77,12.92,12.41,12.62,44500,8.388382
2011-02-01,12.94,13.09,12.50,12.68,51000,8.36966
2011-01-03,13.02,13.39,12.80,12.80,50300,8.39319
2010-12-01,14.33,14.33,12.58,13.05,82000,8.49938
2010-11-01,14.94,15.48,13.49,14.30,68000,9.029473
2010-10-01,14.18,14.98,14.05,14.98,63500,9.395962
2010-09-01,13.55,14.68,13.22,14.18,81100,8.836438
2010-08-02,12.80,13.57,12.73,13.53,70300,8.376499
2010-07-01,11.93,12.72,11.80,12.71,44700,7.81438
2010-06-01,11.84,12.45,11.50,11.97,50700,7.308535
2010-05-03,13.40,13.61,11.00,11.86,106000,7.191932
2010-04-01,13.95,14.10,13.46,13.46,70200,8.105568
2010-03-01,13.68,14.68,13.59,13.81,83700,8.262721
2010-02-01,13.02,13.69,11.91,13.53,85700,8.044991
2010-01-04,12.25,13.08,12.23,12.85,61100,7.590198
2009-12-01,12.16,12.53,11.99,12.15,53600,7.127345
2009-11-02,11.50,12.29,11.50,12.18,50800,7.095214
2009-10-01,12.69,12.88,11.44,11.47,82100,6.633452
2009-09-01,11.86,13.00,11.66,12.64,68100,7.259236
2009-08-03,11.82,12.90,11.53,12.03,60700,6.864025
2009-07-01,11.25,12.28,10.36,11.72,74800,6.64139
2009-06-01,10.63,11.10,10.30,11.05,50500,6.215006
2009-05-01,9.28,10.58,9.18,10.52,60900,5.867925
2009-04-01,8.27,9.34,8.27,9.25,57300,5.115712
2009-03-02,7.54,8.54,6.59,8.31,76900,4.55525
2009-02-02,8.80,9.19,7.34,7.54,61400,4.096089
2009-01-02,8.43,9.16,8.04,8.75,48200,4.711666
2008-12-01,7.43,8.85,6.41,8.29,82600,4.423859
2008-11-03,8.58,8.88,5.45,7.45,83200,3.93786
2008-10-01,10.81,11.05,6.00,8.22,102600,4.298352
2008-09-02,14.15,14.30,9.22,10.55,81700,5.461932
2008-08-01,13.54,14.20,13.15,14.15,36800,7.260586
2008-07-01,13.73,13.73,12.35,13.35,48700,6.796782
2008-06-02,15.00,15.20,13.80,13.82,44300,6.981825
2008-05-01,15.48,15.80,14.83,15.01,45800,7.528663
2008-04-01,14.00,15.50,13.94,15.45,41900,7.695208
2008-03-03,14.95,14.95,13.35,13.83,43200,6.839326
2008-02-01,15.65,15.73,14.26,14.92,41600,7.320944
2008-01-02,13.50,15.80,13.50,15.74,73000,7.666943
2007-12-03,14.06,15.10,13.26,13.50,86600,6.527747
2007-11-01,14.22,14.84,13.43,13.96,61100,6.368345
2007-10-01,14.00,14.49,13.91,14.38,47300,6.50567
2007-09-04,14.88,15.05,13.83,14.02,44600,6.292292
2007-08-01,14.27,15.08,11.60,14.88,74100,6.628055
2007-07-02,15.21,15.62,14.01,14.35,52500,6.340211
2007-06-01,16.309999,16.309999,14.93,15.27,45700,6.696732
2007-05-01,16.559999,16.74,15.83,16.209999,47300,7.057123
2007-04-02,15.99,16.75,15.99,16.66,43000,7.201161
2007-03-01,15.96,16.440001,14.90,16.00,43600,6.868243
2007-02-01,16.190001,16.940001,15.71,16.16,50700,6.888449
2007-01-03,15.80,16.25,15.63,16.129999,47800,6.829293
2006-12-01,15.95,16.48,15.51,15.74,45400,6.617801
2006-11-01,16.059999,16.15,15.41,16.02,44200,6.688946
2006-10-02,15.80,16.35,15.28,16.059999,42800,6.659127
2006-09-01,15.50,15.85,15.07,15.84,48000,6.521977
2006-08-01,14.26,15.49,14.18,15.48,50400,6.328749
2006-07-03,13.96,14.75,13.75,14.26,47500,5.787417
2006-06-01,13.92,14.25,13.48,13.80,47700,5.557767
2006-05-01,15.30,15.49,13.50,13.94,64400,5.571179
2006-04-03,15.83,15.97,14.98,15.50,41100,6.147314
2006-03-01,15.52,16.00,14.80,15.82,58400,6.229006
2006-02-01,15.23,15.64,15.18,15.60,53300,6.09798
2006-01-03,15.00,15.48,14.96,15.24,76600,5.914044
2005-12-01,16.00,16.58,13.91,14.96,182200,5.763706
2005-11-01,17.700001,17.92,15.87,16.02,88600,6.123144
2005-10-03,17.40,17.969999,17.049999,17.82,45400,6.762249
2005-09-01,17.65,17.969999,17.23,17.43,43900,6.569019
2005-08-01,17.450001,17.90,17.120001,17.700001,44000,6.626553
2005-07-01,16.950001,17.35,16.77,17.299999,30200,6.433082
2005-06-01,17.25,17.379999,16.50,16.889999,40900,6.237709
2005-05-02,17.41,17.549999,15.57,17.27,59700,6.333971
2005-04-01,17.190001,17.77,16.959999,17.309999,35100,6.294445
2005-03-01,19.00,19.299999,16.120001,17.129999,65800,6.179374
2005-02-01,18.799999,19.59,18.40,18.959999,63200,6.786737
2005-01-03,19.610001,20.00,17.82,18.73,84300,6.654849
2004-12-01,18.360001,20.290001,18.10,19.60,96700,6.911427
2004-11-01,18.41,18.90,17.10,18.41,77300,6.023404
2004-10-01,17.780001,18.50,17.57,18.309999,43600,5.94243
2004-09-01,17.370001,17.98,16.99,17.75,47900,5.713806
2004-08-02,16.84,17.40,16.700001,17.370001,51900,5.545409
2004-07-01,15.07,16.83,15.07,16.75,48800,5.302833
2004-06-01,16.200001,16.200001,14.80,15.05,46700,4.72314
2004-05-03,16.57,16.57,13.32,16.10,99100,5.007792
2004-04-01,18.27,18.50,15.38,16.26,117900,5.01108
2004-03-01,18.209999,18.65,17.85,18.17,44700,5.550933
2004-02-02,18.190001,19.02,17.84,18.10,61300,5.484908
2004-01-02,18.049999,18.299999,17.950001,18.10,55900,5.441957
2003-12-01,17.700001,18.65,17.48,18.200001,42400,5.427298
2003-11-03,17.07,17.75,17.040001,17.66,39100,5.223087
2003-10-01,17.18,17.50,16.68,17.07,45100,5.006036
2003-09-02,16.790001,17.540001,16.50,17.17,36300,4.993161
2003-08-01,17.01,17.030001,15.08,16.690001,59600,4.812321
2003-07-01,16.389999,17.280001,16.389999,17.00,54700,4.860159
2003-06-02,17.200001,18.120001,16.15,16.48,87800,4.670515
2003-05-01,16.18,17.690001,16.15,17.110001,68000,4.807134
2003-04-01,15.68,16.299999,15.32,16.15,58500,4.497984
2003-03-03,15.25,16.049999,15.01,15.60,57900,4.306643
2003-02-03,15.33,15.33,14.80,15.25,44400,4.172777
2003-01-02,14.39,15.49,14.39,15.20,47900,4.121941
2002-12-02,14.35,14.79,13.85,14.39,34700,3.868264
2002-11-01,13.97,14.49,13.20,14.35,33900,3.821878
2002-10-01,13.92,14.23,13.10,13.87,28100,3.659931
2002-09-03,14.00,14.32,13.35,13.82,28600,3.612591
2002-08-01,13.80,14.40,12.65,14.25,47800,3.691323
2002-07-01,14.45,14.52,12.29,13.70,42900,3.515588
2002-06-03,15.30,15.88,13.15,14.35,78400,3.648647
2002-05-01,14.99,15.45,14.83,15.24,39800,3.84035
2002-04-01,14.59,15.25,14.41,14.91,42100,3.723976
2002-03-01,14.07,14.67,14.06,14.52,39700,3.593886
2002-02-01,14.05,14.25,13.91,14.07,41400,3.449909
2002-01-02,13.90,14.10,13.73,13.95,36600,3.388335
2001-12-03,13.50,14.00,13.10,13.84,33300,3.329488
2001-11-01,13.13,13.65,12.85,13.59,28500,3.238476
2001-10-01,13.39,13.40,12.80,12.98,29600,3.063491
2001-09-04,13.85,13.90,11.51,13.29,42500,3.106478
2001-08-01,13.58,14.07,13.48,13.77,31800,3.187315
2001-07-02,14.00,14.35,12.00,13.55,60600,3.106714
2001-06-01,13.78,14.25,13.72,13.88,35700,3.150314
2001-05-01,13.33,14.20,13.29,13.74,32800,3.088294
2001-04-02,13.54,13.75,13.10,13.26,30600,2.951798
