Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.04,9.19,9.03,9.05,145400,6.437825
2013-03-01,9.12,9.55,8.95,8.95,70800,6.366688
2013-02-01,8.96,9.29,8.78,9.17,75400,6.355209
2013-01-02,8.37,9.11,8.36,8.89,100600,6.161157
2012-12-03,8.67,8.67,8.06,8.20,132200,5.682957
2012-11-01,8.84,9.06,7.92,8.62,81300,5.804157
2012-10-01,9.15,9.29,8.70,8.80,72800,5.925358
2012-09-04,9.23,9.42,8.88,9.11,82300,6.134091
2012-08-01,9.17,9.26,9.02,9.20,49700,6.03653
2012-07-02,9.19,9.49,9.03,9.12,46400,5.984038
2012-06-01,8.75,9.24,8.65,9.16,48300,6.010284
2012-05-01,9.59,9.67,8.66,8.81,55900,5.62801
2012-04-02,9.41,9.68,8.92,9.55,68700,6.100737
2012-03-01,9.38,9.66,8.99,9.40,94200,6.004913
2012-02-01,8.54,9.40,8.54,9.34,103500,5.814247
2012-01-03,8.23,8.68,8.22,8.52,98600,5.303788
2011-12-01,8.43,8.68,7.94,8.16,67900,5.079684
2011-11-01,8.22,8.65,8.04,8.41,48200,5.086087
2011-10-03,7.55,8.62,7.16,8.29,58300,5.013515
2011-09-01,8.67,8.76,7.52,7.56,65200,4.572035
2011-08-01,9.16,9.31,7.41,8.72,88500,5.121076
2011-07-01,9.55,9.73,9.05,9.05,66600,5.314878
2011-06-01,9.78,9.87,8.98,9.54,61300,5.602645
2011-05-02,9.19,9.85,9.18,9.76,68100,5.586889
2011-04-01,9.30,9.51,9.10,9.17,69400,5.249157
2011-03-01,9.62,9.76,9.05,9.31,68700,5.329297
2011-02-01,9.26,9.62,9.20,9.59,46600,5.352623
2011-01-03,9.40,9.81,9.07,9.21,65200,5.140527
2010-12-01,9.41,9.64,9.14,9.33,68200,5.207504
2010-11-01,8.92,9.40,8.90,9.33,123600,5.076635
2010-10-01,8.93,8.95,8.78,8.89,93000,4.837223
2010-09-01,8.43,8.95,8.38,8.94,93800,4.864429
2010-08-02,8.20,8.48,7.90,8.30,66600,4.392883
2010-07-01,7.44,8.20,7.22,8.15,77400,4.313493
2010-06-01,8.26,8.49,6.26,7.39,72800,3.911254
2010-05-03,9.03,9.17,7.62,8.32,98800,4.278695
2010-04-01,8.80,9.20,8.75,8.99,89000,4.623253
2010-03-01,8.58,8.96,8.52,8.77,93200,4.510115
2010-02-01,8.12,8.58,7.62,8.54,104000,4.272327
2010-01-04,8.48,8.64,8.00,8.07,88600,4.037199
2009-12-01,8.16,8.65,7.84,8.50,97200,4.252316
2009-11-02,7.66,8.28,7.64,8.13,83000,3.951148
2009-10-01,7.79,8.04,7.59,7.64,90300,3.71301
2009-09-01,7.73,8.14,7.65,7.77,92400,3.776189
2009-08-03,8.00,8.00,7.51,7.74,91300,3.650292
2009-07-01,7.74,7.95,7.38,7.87,82500,3.711601
2009-06-01,7.99,8.17,7.34,7.66,85400,3.612562
2009-05-01,7.71,7.98,7.40,7.92,92500,3.621852
2009-04-01,7.30,7.90,7.24,7.72,88300,3.530391
2009-03-02,7.21,7.44,6.25,7.33,85700,3.352042
2009-02-02,8.27,8.76,7.02,7.27,116700,3.126416
2009-01-02,8.00,8.82,7.87,8.32,66000,3.577961
2008-12-01,7.72,8.38,7.09,7.98,84200,3.431746
2008-11-03,9.46,9.88,6.26,7.82,94900,3.191798
2008-10-01,9.90,10.36,6.46,9.45,137400,3.857095
2008-09-02,12.75,12.79,9.55,10.10,100600,4.122399
2008-08-01,12.88,12.88,12.28,12.66,48300,4.997168
2008-07-01,13.08,13.62,12.12,12.89,62000,5.087954
2008-06-02,14.75,14.88,13.05,13.23,55400,5.222158
2008-05-01,14.21,14.82,14.21,14.78,57200,5.672145
2008-04-01,13.52,14.37,13.52,14.23,49900,5.461071
2008-03-03,14.50,14.61,12.90,13.47,50400,5.169405
2008-02-01,15.09,15.33,13.79,14.67,48100,5.47245
