Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,12.28,12.38,12.26,12.26,10600,11.227431
2013-03-01,12.50,12.51,11.97,12.36,9500,11.319008
2013-02-01,12.43,12.62,12.18,12.46,12400,11.410586
2013-01-02,12.72,13.08,12.45,12.50,9600,11.447217
2012-12-03,14.07,15.00,12.00,12.59,16600,11.529637
2012-11-01,13.84,14.26,13.25,14.09,11200,10.607173
2012-10-01,13.96,14.21,13.71,13.93,4100,10.486722
2012-09-04,13.10,13.97,12.79,13.85,9200,10.426497
2012-08-01,13.31,13.50,12.52,13.19,5500,9.929638
2012-07-02,12.98,13.38,12.81,13.25,7400,9.974808
2012-06-01,12.30,13.36,12.00,12.74,10700,9.590872
2012-05-01,13.49,13.55,12.12,12.46,6400,9.380083
2012-04-02,13.53,13.61,13.09,13.44,7700,10.117843
2012-03-01,13.67,13.90,13.16,13.56,8300,10.20818
2012-02-01,13.30,13.66,12.97,13.65,12200,10.275933
2012-01-03,12.16,13.32,12.16,13.32,8900,10.027504
2011-12-01,15.54,16.00,11.64,12.01,11400,9.041316
2011-11-01,16.200001,16.969999,14.26,15.54,6000,9.216011
2011-10-03,14.55,16.52,13.76,16.35,9800,9.696383
2011-09-01,17.040001,17.15,14.70,14.75,10400,8.7475
2011-08-01,19.73,19.73,16.25,17.049999,10200,10.111517
2011-07-01,19.290001,19.879999,18.90,19.379999,9700,11.493326
2011-06-01,19.49,19.549999,18.16,19.549999,5500,11.594145
2011-05-02,19.860001,19.860001,18.73,19.40,6300,11.505187
2011-04-01,18.940001,20.00,18.84,19.92,9100,11.813574
2011-03-01,18.889999,19.00,17.51,18.940001,9400,11.232385
2011-02-01,19.75,20.049999,17.74,18.700001,6500,11.090053
2011-01-03,19.73,23.34,19.50,19.690001,17100,11.677173
2010-12-01,21.51,23.209999,18.77,19.68,14900,11.671242
2010-11-01,22.00,23.280001,21.25,21.620001,7100,11.017722
2010-10-01,21.17,22.700001,20.73,21.799999,7400,11.10945
2010-09-01,18.50,21.190001,18.50,21.00,7400,10.701765
2010-08-02,19.469999,19.809999,18.60,18.870001,3300,9.616301
2010-07-01,18.450001,19.75,18.16,19.299999,4700,9.835431
2010-06-01,17.49,19.190001,16.93,18.58,7200,9.468513
2010-05-03,19.299999,19.50,16.049999,17.41,14000,8.872272
2010-04-01,19.200001,19.90,18.99,19.280001,6500,9.82524
2010-03-01,18.07,19.24,17.77,19.18,6100,9.774279
2010-02-01,17.92,18.120001,17.01,17.809999,6000,9.076116
2010-01-04,19.50,20.860001,17.51,17.58,10800,8.958906
2009-12-01,18.99,19.43,18.620001,19.200001,8000,9.784472
2009-11-02,18.00,20.00,17.75,18.50,7900,9.173339
2009-10-01,18.51,19.99,18.00,18.00,8600,8.92541
2009-09-01,17.00,19.860001,16.780001,18.51,7800,9.178297
2009-08-03,18.50,18.50,16.25,16.950001,12600,8.404762
2009-07-01,15.70,18.389999,14.46,18.049999,20100,8.950203
2009-06-01,15.40,16.629999,14.21,15.41,14100,7.641143
2009-05-01,12.95,15.19,12.80,15.18,18600,7.527096
2009-04-01,11.02,13.04,10.76,12.95,9900,6.421337
2009-03-02,9.36,11.07,8.73,10.89,13500,5.399873
2009-02-02,10.03,11.08,9.38,9.41,15800,4.666006
2009-01-02,11.25,11.84,9.55,10.10,22500,5.008147
2008-12-01,10.83,13.34,9.76,10.83,17200,5.370122
2008-11-03,12.11,13.62,9.58,10.90,23100,4.550074
2008-10-01,16.02,16.43,9.10,11.97,25100,4.996733
2008-09-02,19.35,19.35,15.14,16.059999,11400,6.704054
2008-08-01,21.00,21.049999,18.719999,19.299999,9800,8.056553
2008-07-01,21.969999,22.200001,20.01,21.26,11200,8.874732
2008-06-02,24.27,24.620001,21.790001,22.02,22200,9.191985
2008-05-01,26.040001,26.200001,23.870001,24.18,11300,10.093651
2008-04-01,22.84,25.77,22.84,25.16,9100,10.50274
2008-03-03,24.799999,25.40,20.83,22.629999,12300,9.446622
2008-02-01,25.74,27.00,23.530001,25.040001,14900,10.452648
2008-01-02,29.700001,30.15,22.32,26.139999,27700,10.911829
2007-12-03,27.809999,32.200001,27.049999,30.00,15700,12.52314
2007-11-01,32.400002,32.400002,26.52,28.32,24100,11.624052
2007-10-01,29.040001,34.290001,28.559999,32.860001,25400,13.487513
2007-09-04,25.620001,29.440001,24.50,28.799999,27500,11.82107
2007-08-01,26.40,28.35,20.75,25.610001,27600,10.511723
2007-07-02,24.98,28.389999,24.68,27.110001,30100,11.127403
2007-06-01,22.40,25.389999,21.809999,24.65,16100,10.117686
2007-05-01,20.799999,22.59,20.76,22.34,20700,9.169538
2007-04-02,20.26,21.67,20.200001,20.84,18700,8.553858
2007-03-01,19.10,20.35,18.200001,20.110001,19700,8.254227
2007-02-01,20.629999,21.940001,19.10,20.030001,25500,8.221391
2007-01-03,21.15,22.389999,19.809999,20.52,24700,8.422513
2006-12-01,22.00,22.00,19.00,20.99,24800,8.615426
2006-11-01,18.700001,22.799999,18.40,21.940001,28600,9.005357
2006-10-02,17.75,18.90,17.00,18.549999,12500,7.613918
2006-09-01,17.450001,18.00,16.50,17.65,12500,7.24451
2006-08-01,16.940001,18.17,16.76,17.41,13800,7.146001
2006-07-03,17.60,17.85,15.41,16.940001,22700,6.953088
2006-06-01,17.360001,18.549999,14.25,17.60,38700,7.223988
2006-05-01,19.450001,25.51,17.120001,17.360001,86900,7.125479
2006-04-03,16.59,19.450001,16.59,19.25,20100,7.901236
2006-03-01,16.059999,16.549999,15.50,16.50,19000,6.772488
2006-02-01,16.889999,16.889999,15.45,16.01,27700,6.571366
2006-01-03,14.88,16.790001,14.80,16.700001,22200,6.854579
2005-12-01,13.52,14.97,13.35,14.88,18300,6.107553
2005-11-01,13.00,13.70,12.69,13.52,10600,5.549336
2005-10-03,13.86,14.00,12.40,12.91,11300,5.298959
2005-09-01,12.74,13.94,12.74,13.77,11500,5.651949
2005-08-01,12.74,13.59,12.51,12.56,9500,5.1553
2005-07-01,12.02,13.15,12.02,12.84,12300,5.270227
2005-06-01,11.56,12.20,11.55,12.03,10800,4.937759
2005-05-02,11.15,11.75,11.15,11.56,14400,4.744846
2005-04-01,11.50,11.62,10.80,11.11,14700,4.560142
2005-03-01,12.75,12.77,11.15,11.42,18700,4.687383
2005-02-01,11.74,12.79,11.74,12.67,20200,5.20045
2005-01-03,11.60,11.71,11.05,11.69,9200,4.798205
2004-12-01,11.18,11.60,10.87,11.60,15900,4.761264
2004-11-01,10.04,11.29,10.00,11.18,22200,4.588874
2004-10-01,10.00,10.37,9.95,10.02,8600,4.112748
2004-09-01,9.90,10.40,9.89,10.00,8100,4.104538
2004-08-02,9.30,10.00,9.00,9.87,13000,4.051179
2004-07-01,9.70,9.73,9.00,9.30,9000,3.817221
2004-06-01,9.65,9.81,8.75,9.74,6600,3.99782
2004-05-03,9.76,10.50,8.33,9.52,20200,3.907521
2004-04-01,10.81,11.58,9.75,9.77,33500,4.010134
2004-03-01,11.26,11.35,10.30,10.78,19800,4.424692
2004-02-02,11.01,11.38,10.40,11.23,23000,4.609396
2004-01-02,10.60,11.65,10.33,11.03,57300,4.527306
2003-12-01,9.83,10.51,9.61,10.50,27800,4.309765
2003-11-03,10.40,10.57,9.32,9.73,37400,3.966091
2003-10-01,8.96,10.40,8.96,10.30,50800,4.198431
2003-09-02,8.85,9.40,8.82,9.00,32700,3.668532
2003-08-01,8.19,9.05,7.83,8.77,23300,3.574781
2003-07-01,7.60,8.30,7.57,8.23,16100,3.354669
2003-06-02,7.01,7.94,7.01,7.70,64600,3.138633
2003-05-01,6.30,7.00,6.27,6.91,6600,2.816617
2003-04-01,6.30,6.58,5.99,6.21,11700,2.531287
2003-03-03,6.74,6.74,6.11,6.35,43000,2.588353
2003-02-03,6.91,6.91,6.54,6.73,11100,2.743247
2003-01-02,6.82,7.32,6.81,6.90,18800,2.812541
2002-12-02,7.05,7.20,6.55,6.80,17100,2.77178
2002-11-01,6.67,7.35,6.60,7.00,6500,2.853303
2002-10-01,6.40,6.85,6.00,6.77,5200,2.759552
2002-09-03,7.27,7.27,6.38,6.50,10800,2.649496
2002-08-01,7.50,7.60,6.81,7.27,7300,2.963359
2002-07-01,7.66,8.28,7.15,7.45,15300,3.03673
2002-06-03,8.54,8.57,7.30,7.65,27000,3.118253
2002-05-01,8.28,8.80,8.27,8.59,28000,3.50141
2002-04-01,8.46,8.70,8.19,8.33,16600,3.395431
2002-03-01,7.78,8.55,7.78,8.36,25900,3.407659
2002-02-01,7.74,7.98,7.50,7.78,34100,3.171242
2002-01-02,7.11,7.73,7.11,7.65,15200,3.118253
2001-12-03,6.69,7.38,6.69,7.10,21900,2.894064
2001-11-01,5.80,6.90,5.80,6.70,19700,2.731019
2001-10-01,5.17,5.86,5.06,5.79,39600,2.360089
2001-09-04,6.22,6.29,4.90,5.23,30000,2.131825
2001-08-01,6.38,6.60,6.14,6.27,25100,2.555744
2001-07-02,6.76,6.80,6.10,6.28,21700,2.55982
2001-06-01,6.85,7.11,6.65,6.76,13000,2.755476
2001-05-01,6.90,7.25,6.75,6.89,20000,2.808465
