Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.42,24.42,24.08,24.120001,25000,22.429815
2013-03-01,23.76,26.75,23.700001,24.16,49500,22.467012
2013-02-01,21.93,23.879999,20.41,23.66,33200,22.002048
2013-01-02,19.549999,22.07,19.34,21.35,26400,19.85392
2012-12-03,16.559999,19.75,16.299999,19.74,30000,18.356739
2012-11-01,17.68,17.82,16.280001,16.559999,22200,15.399573
2012-10-01,16.00,18.41,15.61,17.16,33200,15.95753
2012-09-04,14.42,16.01,13.97,15.80,51200,14.692831
2012-08-01,16.00,16.00,14.16,14.34,33900,13.335138
2012-07-02,15.00,16.040001,14.88,15.85,24100,14.739327
2012-06-01,16.08,16.709999,14.55,15.02,40100,13.967488
2012-05-01,18.700001,18.870001,15.95,15.98,31300,14.860217
2012-04-02,19.309999,20.120001,18.629999,18.780001,28400,16.635777
2012-03-01,19.540001,19.66,18.48,19.24,26500,17.043255
2012-02-01,18.02,19.90,18.02,19.42,24000,17.202703
2012-01-03,17.549999,18.41,17.32,18.26,20900,16.175148
2011-12-01,17.889999,18.18,16.889999,17.639999,30500,15.625937
2011-11-01,17.459999,18.26,16.66,18.26,32900,16.175148
2011-10-03,14.51,18.209999,13.82,17.24,38200,15.271607
2011-09-01,18.16,18.18,14.81,14.81,39900,13.119055
2011-08-01,19.540001,19.540001,16.459999,18.34,52800,16.246014
2011-07-01,20.879999,21.309999,19.370001,19.620001,30600,17.379869
2011-06-01,20.77,21.030001,19.82,21.00,33800,18.602306
2011-05-02,20.00,21.67,19.860001,20.299999,41700,17.982227
2011-04-01,19.290001,20.50,19.00,19.870001,54000,17.601326
2011-03-01,19.02,19.82,18.02,18.799999,46800,16.089369
2011-02-01,20.620001,20.870001,18.709999,18.92,42700,16.192068
2011-01-03,19.969999,21.15,19.709999,20.42,47200,17.475794
2010-12-01,20.280001,20.68,19.360001,19.549999,64000,16.731232
2010-11-01,20.790001,22.27,20.120001,20.120001,64100,17.219049
2010-10-01,18.65,20.639999,18.09,20.34,56200,17.40733
2010-09-01,17.68,18.950001,17.68,18.57,41100,15.892531
2010-08-02,18.49,18.59,17.09,17.219999,42500,14.737178
2010-07-01,17.24,18.33,16.65,18.309999,56700,15.670019
2010-06-01,17.200001,18.200001,16.08,17.24,56100,14.754294
2010-05-03,19.43,19.43,15.76,17.34,89900,14.839876
2010-04-01,20.07,20.59,19.370001,19.379999,36600,16.036943
2010-03-01,20.50,20.82,19.629999,20.040001,62500,16.583094
2010-02-01,20.41,21.26,19.620001,20.40,40200,16.880993
2010-01-04,20.50,21.91,20.129999,20.190001,63400,16.70722
2009-12-01,20.219999,21.209999,19.389999,20.290001,59500,16.789968
2009-11-02,20.139999,23.120001,19.629999,20.02,50300,16.566544
2009-10-01,19.889999,21.139999,19.27,20.02,37500,16.566544
2009-09-01,21.91,22.52,19.110001,20.049999,42800,16.591368
2009-08-03,24.74,25.60,21.01,21.99,25100,18.196718
2009-07-01,23.690001,25.01,21.280001,24.280001,30500,20.091694
2009-06-01,23.540001,25.639999,23.139999,23.52,35300,19.462793
2009-05-01,22.60,25.629999,21.559999,23.719999,48300,19.628292
2009-04-01,16.90,23.26,16.84,22.290001,40000,17.997587
2009-03-02,14.22,17.15,13.77,16.190001,56300,13.072271
2009-02-02,15.95,17.290001,14.45,14.65,63000,11.828831
2009-01-02,19.07,20.25,15.00,15.91,50700,12.84619
2008-12-01,16.959999,19.370001,16.389999,18.84,64400,15.211957
2008-11-03,19.42,19.42,13.55,16.90,78000,13.645545
2008-10-01,23.76,26.200001,13.04,19.15,94700,15.462259
2008-09-02,22.780001,26.00,19.74,24.200001,65300,19.539776
2008-08-01,24.98,24.99,19.40,22.40,41400,18.086403
2008-07-01,22.200001,25.610001,21.27,24.870001,50600,20.080753
2008-06-02,25.68,25.82,21.00,22.41,75900,18.094477
2008-05-01,28.879999,29.90,24.709999,25.32,161500,20.444096
2008-04-01,26.549999,30.299999,25.040001,28.879999,59600,22.81628
2008-03-03,32.43,33.130001,24.24,26.299999,60000,20.777985
2008-02-01,32.75,34.810001,30.709999,32.200001,57100,25.439207
2008-01-02,36.25,37.029999,30.790001,32.650002,64100,25.794724
2007-12-03,36.00,38.549999,33.119999,35.639999,51000,28.156935
2007-11-01,42.529999,42.529999,32.810001,36.470001,76700,28.812666
2007-10-01,43.599998,45.59,37.990002,43.32,99200,34.224422
2007-09-04,39.439999,44.50,36.75,43.630001,65400,34.469334
2007-08-01,37.50,40.189999,27.65,39.580002,78100,31.269684
2007-07-02,41.049999,41.98,34.200001,38.439999,103500,30.36904
2007-06-01,40.880001,41.75,38.459999,40.450001,65100,31.957016
2007-05-01,36.060001,44.130001,35.75,40.669998,106300,32.130821
2007-04-02,31.799999,38.200001,31.57,36.59,123500,28.545954
2007-03-01,29.00,32.25,26.969999,31.57,50200,24.629564
2007-02-01,29.85,33.639999,26.799999,30.73,89000,23.974232
2007-01-03,35.00,36.84,29.00,30.00,162200,23.404718
2006-12-01,25.50,35.240002,24.90,33.900002,116400,26.447332
2006-11-01,24.049999,28.52,23.780001,25.73,34600,20.073446
2006-10-02,21.440001,24.90,19.90,23.58,14100,18.396109
2006-09-01,20.73,22.790001,20.549999,21.50,19000,16.773382
2006-08-01,19.959999,20.629999,19.41,20.52,12700,16.008827
2006-07-03,18.74,20.83,17.799999,20.07,14000,15.657756
2006-06-01,18.299999,19.51,14.70,18.77,26100,14.643552
2006-05-01,19.10,21.940001,18.07,18.27,20500,14.253473
2006-04-03,21.24,22.719999,19.10,19.26,30300,15.025829
2006-03-01,18.549999,21.25,18.549999,21.24,18400,16.020397
2006-02-01,19.65,20.549999,18.15,18.639999,30600,14.059332
2006-01-03,15.45,19.40,15.45,19.32,31200,14.572226
2005-12-01,14.94,15.72,13.98,15.52,18100,11.706054
2005-11-01,14.70,15.70,14.10,14.95,9300,11.276127
2005-10-03,16.00,16.25,13.07,14.28,15900,10.770776
2005-09-01,16.25,16.50,15.48,16.15,21800,12.181234
2005-08-01,17.27,17.40,15.72,16.09,20600,12.13598
2005-07-01,18.17,18.200001,16.90,17.450001,8400,13.161768
2005-06-01,16.60,18.280001,16.42,18.10,15300,13.652034
2005-05-02,17.120001,18.030001,16.00,16.83,12200,12.694129
2005-04-01,18.00,18.690001,15.01,17.08,27100,12.882692
2005-03-01,18.75,19.040001,17.66,17.879999,18600,12.970776
2005-02-01,19.60,19.85,18.25,18.60,20900,13.49309
2005-01-03,20.48,20.50,17.59,19.889999,45900,14.4289
2004-12-01,17.950001,20.74,17.77,20.469999,37000,14.849652
2004-11-01,14.02,17.799999,14.02,17.700001,24800,12.840199
2004-10-01,14.07,14.64,13.51,14.00,19900,10.156089
2004-09-01,13.90,14.49,13.43,14.14,15500,10.257649
2004-08-02,14.25,14.75,13.10,13.63,14300,9.887678
2004-07-01,14.32,14.45,13.30,14.39,18000,10.439009
2004-06-01,13.50,14.29,12.93,14.22,16600,10.315684
2004-05-03,13.94,14.50,11.50,13.15,46100,9.539469
2004-04-01,15.39,15.55,13.21,13.84,65300,9.599508
2004-03-01,15.30,15.70,14.08,15.39,46500,10.674598
2004-02-02,14.30,15.57,13.55,15.12,48600,10.487324
2004-01-02,14.12,18.50,14.12,14.40,164800,9.987927
2003-12-01,13.80,14.87,13.70,14.52,58100,10.07116
2003-11-03,13.30,14.04,12.54,13.41,63400,9.301257
2003-10-01,12.48,15.10,12.46,13.70,85500,9.502403
2003-09-02,12.73,13.18,11.09,12.46,37000,8.642332
2003-08-01,10.78,13.72,10.75,12.83,87600,8.898966
2003-07-01,9.02,11.00,9.02,10.70,33600,7.421585
2003-06-02,8.87,9.97,8.87,9.12,21600,6.325687
2003-05-01,8.30,9.25,8.22,8.85,5800,6.138414
2003-04-01,8.90,8.97,8.10,8.39,6100,5.420842
2003-03-03,9.09,9.10,8.65,9.00,2800,5.814967
2003-02-03,9.00,9.40,8.88,8.97,3100,5.795584
2003-01-02,8.63,9.35,8.63,8.95,6400,5.782661
2002-12-02,8.70,8.90,8.52,8.70,4600,5.621135
2002-11-01,8.53,8.71,8.30,8.68,2100,5.608213
2002-10-01,8.78,9.05,7.90,8.63,2300,5.575907
2002-09-03,9.25,9.25,8.66,8.78,2700,5.672823
2002-08-01,9.25,9.33,8.85,9.25,4400,5.976494
2002-07-01,9.20,9.75,8.25,9.40,6000,6.07341
2002-06-03,9.30,9.40,8.80,9.15,12500,5.911883
2002-05-01,9.62,10.30,9.08,9.25,4900,5.976494
2002-04-01,9.00,9.59,8.90,9.59,3700,5.82926
2002-03-01,9.00,9.67,8.90,9.10,4400,5.531415
2002-02-01,8.75,9.25,8.31,9.15,2600,5.561807
2002-01-02,8.40,9.10,8.33,8.85,12100,5.379453
2001-12-03,8.59,8.89,7.85,8.40,4000,5.105921
2001-11-01,8.15,9.30,8.10,8.59,5100,5.221412
2001-10-01,7.00,8.20,6.85,8.10,3200,4.923567
2001-09-04,7.70,7.79,6.09,7.00,9700,4.254934
2001-08-01,8.52,8.61,7.65,7.71,4500,4.686506
2001-07-02,9.00,9.20,7.85,8.30,8600,5.045136
2001-06-01,9.10,10.53,8.15,9.20,24300,5.592199
2001-05-01,7.83,8.39,6.95,8.28,13700,5.032979
2001-04-02,8.03,8.17,6.50,7.70,8300,4.680428
2001-03-01,7.90,8.33,6.80,7.60,12100,4.619643
2001-02-01,7.00,8.40,6.90,7.98,27600,4.463607
2001-01-02,6.125,6.875,6.0625,6.80,14300,3.803575
2000-12-01,5.75,6.1875,5.5625,6.0625,71800,3.391055
2000-11-01,6.125,6.25,5.625,5.625,27300,3.146339
2000-10-02,6.375,6.4375,5.00,6.00,23100,3.356095
2000-09-01,6.75,6.8125,5.8125,6.4375,17800,3.600811
2000-08-01,7.0625,7.6875,6.125,6.625,56000,3.705689
2000-07-03,5.0625,7.3125,4.875,6.375,64400,3.565851
