Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.60,13.73,13.55,13.55,11400,12.16476
2013-03-01,13.50,13.85,13.20,13.68,9600,12.281469
2013-02-01,12.80,13.82,12.77,13.60,8100,12.209648
2013-01-02,13.31,13.75,12.60,12.80,14800,11.491433
2012-12-03,11.83,13.40,11.59,13.18,10100,11.832585
2012-11-01,11.20,12.10,10.78,11.96,8000,10.737308
2012-10-01,10.97,11.89,10.82,11.10,11300,9.965227
2012-09-04,9.48,11.14,9.40,10.90,9900,9.785673
2012-08-01,9.42,10.05,8.70,9.61,23600,8.541193
2012-07-02,9.80,9.90,8.99,9.21,14900,8.18568
2012-06-01,9.82,10.10,9.43,9.80,17300,8.710062
2012-05-01,10.59,11.05,9.61,9.92,8100,8.721525
2012-04-02,10.37,11.07,10.31,10.67,10600,9.380915
2012-03-01,9.93,10.59,9.56,10.33,23300,8.991256
2012-02-01,10.01,10.76,9.78,9.78,25000,8.512534
2012-01-03,9.60,10.07,9.10,9.97,112100,8.677912
2011-12-14,8.75,9.89,8.41,9.45,690000,8.225302
