Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,27.43,27.950001,26.91,26.950001,395800,24.810968
2013-03-01,20.01,27.40,19.92,27.25,194900,25.087156
2013-02-01,22.709999,23.25,19.809999,20.16,110900,18.559893
2013-01-02,21.530001,24.969999,21.43,22.60,176400,20.375954
2012-12-03,20.030001,22.790001,18.290001,20.790001,192900,18.744076
2012-11-01,21.889999,22.440001,18.68,20.809999,224700,18.762106
2012-10-01,23.77,26.60,21.950001,22.200001,195800,19.697691
2012-09-04,19.860001,23.98,19.860001,23.50,229900,20.85116
2012-08-01,18.129999,22.25,17.84,20.040001,256000,17.78116
2012-07-02,17.719999,22.00,16.51,18.129999,280500,15.931396
2012-06-01,13.57,17.60,13.52,17.60,193700,15.465671
2012-05-01,14.25,16.15,13.12,13.65,152900,11.994681
2012-04-02,12.86,14.05,11.85,14.04,131900,12.170553
2012-03-01,10.89,14.14,10.82,12.70,63900,11.008976
2012-02-01,9.64,11.01,9.60,10.90,29000,9.448648
2012-01-03,7.92,9.90,7.88,9.61,21500,8.215564
2011-12-01,7.80,8.10,7.69,8.01,11600,6.847729
2011-11-01,7.90,8.24,7.15,7.94,12900,6.787886
2011-10-03,6.49,8.00,6.07,7.92,5500,6.580834
2011-09-01,6.26,6.91,6.14,6.45,10200,5.359391
2011-08-01,6.62,7.00,6.05,6.24,8200,5.1849
2011-07-01,6.75,7.00,6.36,6.67,5300,5.4538
2011-06-01,7.17,7.17,6.27,6.66,11700,5.445624
2011-05-02,8.03,8.06,6.98,7.20,7900,5.887161
2011-04-01,8.20,8.24,7.86,7.97,11000,6.434788
2011-03-01,8.21,8.64,7.90,8.18,11200,6.604338
2011-02-01,8.10,8.70,8.01,8.24,6600,6.65278
2011-01-03,8.22,8.47,7.81,8.35,9600,6.660171
2010-12-01,7.94,8.43,7.89,8.08,8400,6.444812
2010-11-01,6.97,9.15,6.82,8.30,17000,6.62029
2010-10-01,6.28,7.00,6.27,6.79,6600,5.229335
2010-09-01,6.28,6.50,6.09,6.50,4500,5.005991
2010-08-02,5.45,6.93,5.45,6.35,3700,4.890469
2010-07-01,5.52,5.76,5.15,5.41,3600,4.166525
2010-06-01,6.20,6.49,5.31,5.84,7200,4.497691
2010-05-03,6.86,6.91,6.18,6.30,13500,4.851961
2010-04-01,6.42,7.25,6.34,6.80,11300,5.237037
2010-03-01,7.86,8.14,6.34,6.50,17100,5.005991
2010-02-01,7.65,8.20,6.76,8.12,14100,6.253638
2010-01-04,7.81,8.26,7.25,7.60,8400,5.853159
2009-12-01,7.85,8.05,7.52,7.80,6500,6.00719
2009-11-02,8.49,8.73,7.56,7.85,9300,6.045697
2009-10-01,8.09,8.70,7.70,8.10,14900,6.238235
2009-09-01,6.35,8.45,5.80,8.22,25600,6.330654
2009-08-03,7.00,7.25,5.78,6.45,18000,4.967484
2009-07-01,5.12,7.01,5.06,7.00,22300,5.391068
2009-06-01,5.29,5.68,4.88,5.20,7400,4.004793
2009-05-01,5.25,5.61,4.70,5.28,13500,4.066405
2009-04-01,5.30,5.30,4.43,5.05,6100,3.88927
2009-03-02,4.88,6.00,4.60,5.29,10100,4.074107
2009-02-02,4.95,5.20,4.43,4.87,5500,3.750643
2009-01-02,5.10,5.50,4.12,5.00,11600,3.850763
2008-12-01,4.80,5.50,4.45,5.36,7600,4.128017
2008-11-03,5.73,5.90,4.26,4.78,7400,3.681329
2008-10-01,5.82,6.50,4.10,5.73,8700,4.412974
2008-09-15,6.95,8.00,5.45,6.00,27800,4.620915
