Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,31.41,31.709999,30.76,31.07,186400,31.07
2013-03-01,29.469999,32.029999,28.74,31.530001,164900,31.530001
2013-02-01,28.92,31.950001,27.91,29.66,225300,29.66
2013-01-02,27.969999,29.48,27.26,28.73,165200,28.73
2012-12-03,26.23,27.98,25.66,27.360001,162900,27.360001
2012-11-01,25.42,26.26,22.379999,26.110001,183000,26.110001
2012-10-01,28.700001,29.01,24.799999,25.35,112300,25.35
2012-09-04,28.73,29.60,27.360001,28.530001,168100,28.530001
2012-08-01,26.01,29.01,24.73,28.610001,169300,28.610001
2012-07-02,25.68,26.99,23.370001,25.77,148200,25.77
2012-06-01,21.120001,26.24,20.82,25.639999,236400,25.639999
2012-05-01,23.530001,24.18,20.43,21.57,196800,21.57
2012-04-02,21.82,23.74,20.57,23.549999,218400,23.549999
2012-03-01,20.76,23.08,20.040001,21.860001,222200,21.860001
2012-02-01,19.700001,22.26,19.65,20.690001,233900,20.690001
2012-01-03,19.10,19.719999,17.440001,19.59,186700,19.59
2011-12-01,16.00,18.76,15.58,18.690001,225700,18.690001
2011-11-01,16.690001,17.65,14.57,16.00,341200,16.00
2011-10-03,18.66,22.18,16.879999,17.370001,361300,17.370001
2011-09-01,18.83,19.370001,16.33,18.889999,249000,18.889999
2011-08-01,21.25,21.27,16.43,18.780001,429200,18.780001
2011-07-01,24.48,26.459999,20.18,21.01,253400,21.01
2011-06-01,25.139999,25.780001,23.379999,24.469999,233100,24.469999
2011-05-02,27.309999,27.90,23.76,25.15,147900,25.15
2011-04-01,26.23,28.469999,25.26,27.17,205900,27.17
2011-03-01,26.99,28.00,24.610001,26.030001,186900,26.030001
2011-02-01,20.620001,27.99,20.549999,26.90,364800,26.90
2011-01-03,21.280001,22.540001,20.52,20.549999,173700,20.549999
2010-12-01,19.440001,21.92,19.299999,21.190001,256500,21.190001
2010-11-01,18.82,19.549999,18.25,19.18,173900,19.18
2010-10-01,14.65,19.969999,14.46,18.719999,424300,18.719999
2010-09-01,13.19,15.31,13.12,14.54,292500,14.54
2010-08-02,17.290001,17.40,13.01,13.05,320400,13.05
2010-07-01,18.030001,19.040001,16.65,17.15,232200,17.15
2010-06-01,16.90,18.389999,16.530001,17.959999,237200,17.959999
2010-05-03,18.65,19.309999,15.52,17.049999,253100,17.049999
2010-04-01,18.190001,19.530001,17.870001,18.639999,189300,18.639999
2010-03-01,18.540001,19.34,17.82,18.18,203300,18.18
2010-02-01,16.309999,19.00,15.71,18.65,209100,18.65
2010-01-04,13.99,17.16,13.35,16.26,278900,16.26
2009-12-01,13.44,14.27,13.32,13.83,116100,13.83
2009-11-02,13.90,14.04,13.02,13.34,124000,13.34
2009-10-01,13.73,14.70,13.16,13.84,190300,13.84
2009-09-01,13.98,14.96,13.66,13.87,217600,13.87
2009-08-03,13.73,14.67,13.41,14.01,190600,14.01
2009-07-01,13.71,14.61,12.18,13.72,267300,13.72
2009-06-01,14.80,15.42,13.22,13.59,236500,13.59
2009-05-01,13.86,15.00,11.76,14.70,522800,14.70
2009-04-01,13.01,14.20,11.10,13.91,202200,13.91
2009-03-02,13.27,13.75,11.32,13.25,216400,13.25
2009-02-02,13.34,16.370001,13.21,13.30,270300,13.30
2009-01-02,14.51,14.69,12.74,13.65,237800,13.65
2008-12-01,15.55,15.66,13.04,14.51,254500,14.51
2008-11-03,16.42,17.98,13.84,16.049999,263000,16.049999
2008-10-01,17.15,17.43,11.79,16.66,473000,16.66
2008-09-02,17.27,21.00,16.00,17.450001,439100,17.450001
2008-08-01,17.15,18.809999,12.56,16.93,254600,16.93
2008-07-01,16.40,17.85,14.47,17.049999,366900,17.049999
2008-06-02,12.95,16.629999,12.67,16.49,437600,16.49
2008-05-01,11.69,13.84,11.21,13.00,184300,13.00
2008-04-01,10.85,12.08,9.81,11.80,140900,11.80
2008-03-03,11.71,11.71,10.40,10.78,193700,10.78
2008-02-01,9.30,12.20,9.10,11.59,186100,11.59
2008-01-02,11.12,11.30,9.06,9.45,152000,9.45
2007-12-03,10.48,11.11,9.96,11.01,60300,11.01
2007-11-01,12.40,12.40,10.00,10.46,103100,10.46
2007-10-01,11.42,13.30,10.78,12.45,115400,12.45
2007-09-04,10.50,11.75,9.86,11.33,83900,11.33
2007-08-01,10.67,11.10,8.61,10.53,204600,10.53
2007-07-02,10.80,11.84,10.50,10.73,72900,10.73
2007-06-01,11.54,11.96,10.34,10.80,92100,10.80
2007-05-01,11.99,12.08,9.52,11.44,119300,11.44
2007-04-02,11.75,12.40,11.45,11.92,98800,11.92
2007-03-01,11.60,11.68,10.51,11.67,111200,11.67
2007-02-01,8.95,12.24,8.90,11.67,193300,11.67
2007-01-03,7.40,9.22,7.21,8.95,135100,8.95
2006-12-01,7.01,7.71,7.00,7.53,41600,7.53
2006-11-01,7.77,7.80,6.58,7.00,67800,7.00
2006-10-02,6.58,7.79,6.40,7.76,69500,7.76
2006-09-01,7.18,7.38,6.30,6.58,112200,6.58
2006-08-01,7.23,7.46,6.86,7.19,88300,7.19
2006-07-03,8.35,8.76,7.19,7.26,124600,7.26
2006-06-01,7.88,8.95,7.40,8.36,136700,8.36
2006-05-01,6.74,7.93,6.58,7.83,171800,7.83
2006-04-03,7.02,7.15,6.42,6.71,75400,6.71
2006-03-01,6.12,7.23,6.10,6.95,143600,6.95
2006-02-01,6.85,7.14,6.06,6.09,62700,6.09
2006-01-03,5.80,7.10,5.67,6.78,75700,6.78
2005-12-01,6.34,6.52,5.45,5.71,54200,5.71
2005-11-01,6.12,6.35,5.77,6.33,49600,6.33
2005-10-03,7.70,7.93,5.75,6.14,90900,6.14
2005-09-01,8.06,8.89,7.50,7.70,82100,7.70
2005-08-01,7.76,8.10,7.15,8.01,111700,8.01
2005-07-01,5.05,7.96,5.03,7.79,244600,7.79
2005-06-01,5.13,5.24,4.45,5.04,178900,5.04
2005-05-02,5.82,6.00,4.78,5.10,108400,5.10
2005-04-01,6.02,6.40,5.72,5.84,112400,5.84
2005-03-01,6.40,7.30,5.78,5.95,233900,5.95
2005-02-01,7.29,7.30,5.90,6.08,254100,6.08
2005-01-03,8.10,8.15,6.90,7.20,238100,7.20
2004-12-01,7.88,8.39,7.04,8.10,206900,8.10
2004-11-01,6.45,7.95,5.92,7.80,220600,7.80
2004-10-01,5.10,6.87,5.10,6.45,210100,6.45
2004-09-01,5.54,6.46,4.86,5.01,318700,5.01
2004-08-02,10.10,10.25,4.15,5.45,686100,5.45
2004-07-01,11.70,11.70,9.38,10.10,334800,10.10
2004-06-01,16.280001,16.280001,9.25,11.72,503000,11.72
2004-05-03,15.80,16.540001,15.38,16.50,126400,16.50
2004-04-01,18.40,18.889999,15.95,16.370001,116800,16.370001
2004-03-01,16.35,18.110001,16.09,18.049999,134200,18.049999
2004-02-02,18.65,19.00,15.85,16.200001,276100,16.200001
2004-01-02,15.59,19.25,15.56,18.75,206400,18.75
2003-12-01,16.90,17.389999,15.37,15.57,143100,15.57
2003-11-03,17.049999,17.18,14.60,16.90,158500,16.90
2003-10-01,15.25,17.049999,15.10,17.049999,118700,17.049999
2003-09-02,14.02,16.25,14.02,15.35,124200,15.35
2003-08-01,13.95,14.25,13.16,13.95,87000,13.95
2003-07-01,11.50,14.01,11.01,13.88,114500,13.88
2003-06-02,11.35,11.61,10.53,11.45,142000,11.45
2003-05-01,12.10,12.65,9.59,11.23,168500,11.23
2003-04-01,11.39,11.39,8.55,10.31,130300,10.31
2003-03-03,10.45,11.43,9.85,11.43,104500,11.43
2003-02-03,13.95,14.31,10.15,10.43,137400,10.43
2003-01-02,13.05,13.95,12.10,13.95,147600,13.95
2002-12-02,13.00,14.25,12.46,13.15,107100,13.15
2002-11-01,14.20,16.129999,11.65,13.00,216100,13.00
2002-10-01,16.049999,17.00,13.80,14.20,112000,14.20
2002-09-03,16.75,17.950001,14.00,15.90,189600,15.90
2002-08-01,12.00,17.450001,11.70,17.299999,189600,17.299999
2002-07-01,15.05,15.05,9.50,11.90,147100,11.90
2002-06-03,14.70,15.41,11.82,15.19,249900,15.19
2002-05-01,14.30,14.90,10.90,14.90,166300,14.90
2002-04-01,10.28,14.25,10.28,14.25,117800,14.25
2002-03-01,9.18,10.40,8.65,10.35,67200,10.35
2002-02-01,8.00,9.25,7.65,9.25,67400,9.25
2002-01-02,5.90,8.30,5.80,8.10,85800,8.10
2001-12-03,6.00,6.35,5.55,6.00,29900,6.00
2001-11-01,6.15,6.80,5.40,6.10,72400,6.10
2001-10-01,3.60,6.50,3.30,6.25,118000,6.25
2001-09-04,3.52,3.70,2.75,3.70,57100,3.70
2001-08-01,3.35,4.25,2.70,3.60,60100,3.60
2001-07-02,2.45,4.15,2.40,3.30,98300,3.30
2001-06-01,1.65,2.70,1.61,2.55,58400,2.55
2001-05-01,1.13,1.73,1.06,1.64,43800,1.64
2001-04-02,1.39,1.45,1.06,1.12,33700,1.12
2001-03-01,1.06,1.54,1.00,1.49,53600,1.49
2001-02-01,1.26,1.35,0.98,1.02,88400,1.02
2001-01-02,1.25,2.25,1.125,1.31,131700,1.31
2000-12-01,2.125,2.25,0.9375,1.3125,315900,1.3125
2000-11-01,3.25,3.375,1.9375,2.125,120400,2.125
2000-10-02,4.00,4.1875,2.9375,3.25,54800,3.25
2000-09-01,3.50,4.75,3.4375,3.75,78100,3.75
2000-08-01,3.8125,4.375,3.25,3.50,70300,3.50
2000-07-03,4.8125,4.875,3.875,4.0625,82900,4.0625
2000-06-01,4.8125,5.00,3.75,4.9375,82700,4.9375
2000-05-01,5.0625,5.50,4.6875,4.8125,66700,4.8125
2000-04-03,5.25,5.375,4.375,5.00,74900,5.00
2000-03-01,4.8125,6.4375,4.25,5.25,208300,5.25
2000-02-01,4.5625,5.5625,3.875,4.75,246600,4.75
2000-01-03,10.25,10.3125,3.75,4.50,511000,4.50
