Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.50,10.51,10.40,10.41,72600,7.527335
2013-03-01,10.44,10.55,10.12,10.45,23100,7.556259
2013-02-01,10.53,10.67,10.29,10.49,23600,7.531157
2013-01-02,10.24,10.73,10.19,10.52,22100,7.499205
2012-12-03,10.51,10.55,9.95,10.12,19200,7.163166
2012-11-01,10.70,10.84,9.42,10.51,31200,7.378121
2012-10-01,10.80,11.04,10.66,10.71,30500,7.465823
2012-09-04,10.21,10.78,10.12,10.73,40600,7.428298
2012-08-01,10.40,10.54,10.13,10.16,22800,6.982723
2012-07-02,10.02,10.46,9.93,10.42,17100,7.110408
2012-06-01,9.56,10.04,9.42,10.00,16800,6.774072
2012-05-01,10.47,10.54,9.46,9.66,22700,6.493673
2012-04-02,10.41,10.62,10.23,10.48,17500,6.993248
2012-03-01,10.78,10.83,10.19,10.45,41000,6.923277
2012-02-01,10.31,10.78,10.20,10.68,68900,7.02592
2012-01-03,9.95,10.39,9.69,10.31,27100,6.734524
2011-12-01,9.06,9.99,9.06,9.79,20800,6.348203
2011-11-01,9.44,9.58,8.96,9.06,24100,5.805083
2011-10-03,9.16,9.57,8.25,9.54,31200,6.063918
2011-09-01,9.50,9.62,9.06,9.24,17300,5.824608
2011-08-01,9.90,10.06,7.90,9.50,44400,5.940876
2011-07-01,9.88,10.08,9.65,9.77,33700,6.060023
2011-06-01,10.10,10.20,9.37,9.90,31000,6.094371
2011-05-02,9.58,10.24,9.51,10.06,43300,6.146327
2011-04-01,9.32,9.59,9.18,9.56,24900,5.797168
2011-03-01,9.22,9.36,9.04,9.30,28000,5.594073
2011-02-01,9.08,9.30,9.00,9.18,26600,5.476828
2011-01-03,8.95,9.19,8.90,9.09,23100,5.38523
2010-12-01,9.03,9.16,8.71,8.94,29100,5.258155
2010-11-01,9.30,9.42,8.63,9.10,43500,5.232657
2010-10-01,9.04,9.45,9.00,9.33,35900,5.325284
2010-09-01,8.92,9.15,8.82,9.09,34600,5.15188
2010-08-02,8.93,9.09,8.71,8.88,36100,4.996672
2010-07-01,8.49,8.94,8.30,8.94,33600,4.993817
2010-06-01,8.06,8.50,7.86,8.45,30200,4.687291
2010-05-03,8.67,8.71,7.51,8.09,42600,4.455465
2010-04-01,8.12,8.74,8.09,8.69,29400,4.75028
2010-03-01,7.86,8.90,7.86,8.13,26400,4.413085
2010-02-01,7.90,8.02,7.58,7.89,19000,4.261867
2010-01-04,7.75,8.08,7.75,7.93,24300,4.261307
2009-12-01,7.39,7.83,7.38,7.83,22300,4.186585
2009-11-02,7.45,7.54,7.20,7.41,24700,3.91554
2009-10-01,7.62,7.78,7.45,7.49,18500,3.936361
2009-09-01,7.29,7.64,7.24,7.59,18400,3.967894
2009-08-03,7.30,7.60,7.21,7.29,20200,3.81106
2009-07-01,7.01,7.36,6.89,7.27,15000,3.777462
2009-06-01,6.90,7.25,6.85,7.01,17800,3.621029
2009-05-01,6.57,6.99,6.57,6.90,24000,3.543035
2009-04-01,6.15,6.69,6.06,6.61,17300,3.370126
2009-03-02,5.73,6.19,5.21,6.18,22000,3.126541
2009-02-02,6.45,6.75,5.45,5.99,27000,3.007898
2009-01-02,6.19,7.03,5.86,6.67,49200,3.323509
2008-12-01,5.39,6.25,4.55,6.25,48300,3.097566
2008-11-03,6.04,6.16,3.47,5.24,26100,2.567713
2008-10-01,7.00,7.04,4.01,6.24,32600,3.016414
2008-09-02,8.29,8.35,5.86,7.00,28900,3.348489
2008-08-01,8.26,8.31,8.01,8.20,14700,3.887153
2008-07-01,8.39,8.43,7.78,8.30,24500,3.903216
2008-06-02,9.12,9.14,8.42,8.49,18000,3.961405
2008-05-01,8.96,9.17,8.95,9.16,14600,4.229291
2008-04-01,8.37,8.98,8.36,8.97,14700,4.109567
2008-03-03,8.50,8.55,8.14,8.32,18900,3.783776
2008-02-01,8.96,9.05,8.43,8.50,18100,3.835972
2008-01-02,8.86,9.32,8.60,8.95,19700,4.00967
2007-12-03,8.75,9.22,8.71,8.86,18500,3.942082
2007-11-01,9.27,9.27,8.55,8.75,11100,3.863594
2007-10-01,9.44,9.47,8.83,9.26,8000,4.059041
2007-09-04,9.23,10.02,9.06,9.37,12000,4.079405
2007-08-01,8.81,9.37,7.95,9.23,30400,3.991663
2007-07-02,9.95,10.00,8.50,8.99,22700,3.862009
2007-06-01,10.14,10.40,9.73,9.90,18900,4.224427
2007-05-01,10.08,10.20,10.03,10.16,18400,4.307473
2007-04-02,9.98,10.19,9.96,10.10,16500,4.254532
2007-03-01,9.98,10.04,9.41,10.02,28300,4.193749
2007-02-01,10.00,10.14,9.98,10.03,24500,4.171461
2007-01-03,9.83,10.14,9.73,10.01,29200,4.138387
2006-12-01,9.73,9.93,9.70,9.81,18800,4.03144
2006-11-01,9.71,9.78,9.55,9.74,12300,3.978267
2006-10-02,9.61,9.74,9.56,9.68,13700,3.927321
2006-09-01,9.51,9.64,9.46,9.61,16300,3.873676
2006-08-01,9.37,9.55,9.24,9.51,21400,3.808315
2006-07-03,9.08,9.38,9.01,9.35,18400,3.719464
