Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.25,25.33,24.780001,25.07,462400,23.094603
2013-03-01,24.450001,25.52,23.82,25.280001,187300,23.288057
2013-02-01,24.85,25.02,23.92,24.690001,297400,22.563887
2013-01-02,23.10,24.940001,22.940001,24.75,332200,22.618721
2012-12-03,21.219999,22.940001,20.379999,22.610001,445200,20.663
2012-11-01,20.469999,21.23,18.84,21.16,296400,19.161736
2012-10-01,18.309999,21.15,18.02,20.469999,327700,18.536896
2012-09-04,18.059999,19.629999,17.83,18.190001,237300,16.472212
2012-08-01,17.34,19.01,16.950001,18.120001,220100,16.242666
2012-07-02,18.40,18.690001,16.75,17.290001,224100,15.498659
2012-06-01,18.42,19.370001,17.48,18.379999,377100,16.475727
2012-05-01,20.93,21.23,18.23,18.77,365900,16.649605
2012-04-02,22.860001,23.09,20.809999,20.940001,312500,18.574465
2012-03-01,23.15,23.84,22.40,22.950001,244300,20.357401
2012-02-01,23.549999,24.18,22.85,22.969999,264700,20.21019
2012-01-03,22.90,23.73,21.950001,23.450001,252200,20.632521
2011-12-01,22.66,22.82,20.82,22.32,278600,19.638287
2011-11-01,20.50,22.780001,19.59,22.73,331900,19.817644
2011-10-03,18.24,21.99,17.10,21.110001,331100,18.405214
2011-09-01,20.370001,20.610001,17.67,18.40,314600,16.04244
2011-08-01,22.030001,22.030001,16.33,20.40,505200,17.611267
2011-07-01,23.690001,24.200001,21.50,21.889999,239900,18.897581
2011-06-01,22.67,23.799999,21.879999,23.65,528800,20.416985
2011-05-02,22.82,23.290001,22.110001,22.75,218400,19.474609
2011-04-01,21.709999,23.110001,21.469999,22.92,298200,19.620134
2011-03-01,21.85,22.059999,20.82,21.50,176900,18.404575
2011-02-01,21.84,22.280001,21.290001,21.75,230000,18.451954
2011-01-03,20.959999,22.50,20.50,21.610001,276500,18.333183
2010-12-01,19.52,21.16,19.17,20.809999,336500,17.65449
2010-11-01,21.51,21.860001,19.049999,19.309999,276900,16.222973
2010-10-01,21.60,22.52,21.219999,21.49,183400,18.054464
2010-09-01,19.10,21.60,19.10,21.51,185900,18.071268
2010-08-02,22.25,22.60,18.98,19.030001,308800,15.846625
2010-07-01,21.50,22.23,20.690001,22.09,195900,18.394743
2010-06-01,24.08,24.16,20.76,21.389999,267200,17.811838
2010-05-03,24.50,26.209999,23.040001,24.290001,284000,20.056278
2010-04-01,22.07,24.950001,22.07,24.58,245300,20.295731
2010-03-01,20.030001,22.48,20.030001,21.99,181800,18.157166
2010-02-01,18.50,20.35,18.10,20.049999,247000,16.412008
2010-01-04,18.950001,19.700001,17.799999,18.35,399000,15.020467
2009-12-01,18.50,19.950001,18.32,18.84,292900,15.421558
2009-11-02,19.879999,20.559999,17.889999,18.299999,197600,14.835046
2009-10-01,20.450001,21.120001,19.65,19.98,145200,16.196953
2009-09-01,20.120001,21.030001,19.68,20.370001,205600,16.513109
2009-08-03,18.219999,20.50,17.700001,20.02,193200,16.085997
2009-07-01,16.85,18.15,16.50,18.120001,196400,14.559354
2009-06-01,17.43,18.17,15.88,16.639999,331500,13.370178
2009-05-01,17.82,18.459999,16.00,17.16,259400,13.640382
2009-04-01,15.99,18.41,15.16,18.18,331000,14.451174
2009-03-02,16.440001,17.26,14.64,16.01,354100,12.726254
2009-02-02,18.40,19.959999,16.620001,16.77,196100,13.184016
2009-01-02,16.51,19.57,16.209999,18.49,252600,14.536222
2008-12-01,15.67,17.040001,14.44,16.68,292400,13.113261
2008-11-03,18.90,19.59,13.28,15.92,198300,12.370058
2008-10-01,20.219999,21.110001,16.50,19.00,280300,14.763261
2008-09-02,23.99,24.17,18.030001,20.16,268700,15.664597
2008-08-01,23.73,24.799999,21.719999,23.780001,102800,18.329729
2008-07-01,21.65,23.620001,21.450001,23.15,124700,17.844122
2008-06-02,21.790001,24.139999,21.40,21.40,207700,16.495214
2008-05-01,19.190001,24.34,18.66,22.15,218100,16.93812
2008-04-01,21.90,23.969999,17.75,19.040001,789800,14.559902
2008-03-28,23.35,23.57,21.040001,22.10,3811000,16.899885
