Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.35,6.38,6.32,6.35,532200,4.950341
2013-03-01,6.36,6.51,6.18,6.37,276800,4.965933
2013-02-01,6.63,6.71,6.39,6.40,220000,4.959105
2013-01-02,6.48,6.84,6.46,6.61,240800,5.089623
2012-12-03,6.51,6.55,6.25,6.44,232800,4.928052
2012-11-01,6.33,6.52,5.77,6.52,338900,4.956528
2012-10-01,6.64,6.79,4.72,6.33,320300,4.779958
2012-09-04,6.68,6.82,6.53,6.65,213400,4.989884
2012-08-01,6.54,6.68,6.47,6.68,203900,4.980879
2012-07-02,6.45,6.65,6.40,6.55,174400,4.852961
2012-06-01,6.13,6.56,6.08,6.46,216700,4.755541
2012-05-01,6.35,6.49,6.06,6.20,232700,4.534695
2012-04-02,6.16,6.45,6.05,6.35,252900,4.613005
2012-03-01,6.47,6.50,6.14,6.16,366800,4.44477
2012-02-01,6.44,6.58,6.32,6.46,304200,4.629771
2012-01-03,6.20,6.45,6.08,6.37,280900,4.535022
2011-12-01,5.79,6.25,5.75,6.17,282700,4.36251
2011-11-01,5.78,6.02,5.73,5.82,195400,4.085203
2011-10-03,5.69,6.00,5.43,5.90,198300,4.111174
2011-09-01,5.95,6.05,5.78,5.78,190200,3.997646
2011-08-01,6.23,6.24,5.34,5.98,285500,4.106479
2011-07-01,6.32,6.42,6.08,6.09,206600,4.151995
2011-06-01,6.52,6.57,6.15,6.31,230700,4.272669
2011-05-02,6.39,6.63,6.37,6.52,246000,4.38478
2011-04-01,6.36,6.49,6.31,6.37,200700,4.254291
2011-03-01,6.36,6.47,6.20,6.36,208100,4.217932
2011-02-01,6.18,6.33,6.16,6.33,225600,4.168145
2011-01-03,6.10,6.30,6.04,6.17,224600,4.03363
2010-12-01,6.20,6.24,5.84,6.08,259000,3.946128
2010-11-01,6.24,6.38,6.00,6.17,269500,3.974706
2010-10-01,6.27,6.35,6.18,6.25,216700,3.99683
2010-09-01,6.12,6.30,6.07,6.27,157200,3.980934
2010-08-02,6.31,6.40,5.92,6.12,222200,3.857764
2010-07-01,5.97,6.33,5.85,6.28,164300,3.927182
2010-06-01,5.83,6.23,5.78,5.96,188700,3.697424
2010-05-03,6.47,6.49,5.39,5.88,375600,3.618492
2010-04-01,6.40,6.58,6.15,6.44,264100,3.928677
2010-03-01,6.20,6.49,6.10,6.36,281800,3.848238
2010-02-01,6.07,6.18,5.51,6.16,333500,3.696692
2010-01-04,5.98,6.26,5.95,6.04,273100,3.592391
2009-12-01,5.73,6.06,5.65,5.98,247300,3.526592
2009-11-02,5.39,5.75,5.39,5.73,268100,3.349557
2009-10-01,5.83,5.88,5.18,5.41,317500,3.13309
2009-09-01,5.40,5.82,5.31,5.82,237300,3.34005
2009-08-03,5.43,5.62,5.22,5.39,282800,3.064362
2009-07-01,5.20,5.53,4.84,5.27,253400,2.966732
2009-06-01,4.87,5.19,4.85,5.15,249600,2.869686
2009-05-01,4.46,5.20,4.45,4.86,244700,2.680114
2009-04-01,4.11,4.50,3.90,4.45,224800,2.428072
2009-03-02,4.07,4.25,3.23,4.16,229400,2.243197
2009-02-02,4.39,4.54,3.58,4.06,305800,2.161771
2009-01-02,3.87,5.15,3.87,4.40,295000,2.313882
2008-12-01,3.75,4.03,3.28,3.98,328400,2.068503
2008-11-03,4.16,4.74,2.91,3.76,301500,1.926006
2008-10-01,4.27,4.54,2.57,4.04,314100,2.041766
2008-09-02,5.40,5.48,4.13,4.34,284400,2.166436
2008-08-01,5.27,5.43,5.21,5.36,209600,2.647195
2008-07-01,5.57,5.62,5.13,5.25,235700,2.569962
2008-06-02,6.05,6.05,5.57,5.64,177600,2.736887
2008-05-01,6.02,6.16,5.91,6.02,235700,2.897898
2008-04-01,5.70,6.07,5.66,6.06,205500,2.894302
2008-03-03,5.89,5.91,5.28,5.66,201400,2.681761
2008-02-01,6.03,6.09,5.55,5.87,260600,2.757537
2008-01-02,6.04,6.17,5.22,5.99,202100,2.791067
2007-12-03,6.06,6.22,5.81,6.00,244100,2.774079
2007-11-01,6.20,6.25,5.82,6.18,176000,2.834769
2007-10-01,6.45,6.52,6.18,6.19,158500,2.817331
2007-09-04,6.44,6.59,6.15,6.47,152500,2.923572
2007-08-01,6.11,6.99,6.03,6.44,331200,2.889422
2007-07-02,6.73,6.74,6.03,6.14,252500,2.734897
2007-06-01,6.98,7.01,6.57,6.69,179300,2.958791
2007-05-01,6.93,7.01,6.91,6.98,193500,3.066105
2007-04-02,6.90,6.99,6.80,6.94,165700,3.028937
2007-03-01,6.89,6.96,5.86,6.87,212700,2.978802
2007-02-01,6.96,7.00,6.80,6.88,202600,2.963977
2007-01-03,6.72,6.99,6.65,6.95,274400,2.975178
2006-12-01,6.51,6.85,6.51,6.75,230300,2.870725
2006-11-01,6.46,6.56,6.36,6.53,200100,2.750672
2006-10-02,6.39,6.46,6.34,6.46,198100,2.702878
2006-09-01,6.29,6.39,6.27,6.37,209900,2.646984
2006-08-01,6.15,6.35,6.13,6.30,168200,2.600662
2006-07-03,6.04,6.19,6.03,6.16,126600,2.525809
2006-06-01,6.17,6.24,5.91,6.07,140300,2.471797
2006-05-01,6.22,6.26,6.08,6.18,151900,2.499149
2006-04-03,6.34,6.34,6.05,6.24,144400,2.506236
2006-03-01,6.32,6.34,6.04,6.20,192600,2.473247
2006-02-01,6.20,6.33,6.14,6.32,205100,2.504228
2006-01-03,6.06,6.30,6.04,6.20,178700,2.440064
2005-12-01,6.04,6.17,5.91,6.06,275800,2.36899
2005-11-01,6.06,6.10,5.94,6.06,206000,2.352706
2005-10-03,6.32,6.35,5.96,6.08,209400,2.343975
2005-09-01,6.55,6.62,6.28,6.29,166500,2.408155
2005-08-01,6.60,6.61,6.44,6.56,184300,2.511526
2005-07-01,6.41,6.64,6.41,6.61,127200,2.514491
2005-06-01,6.42,6.50,6.38,6.46,157400,2.441697
2005-05-02,6.18,6.44,6.18,6.43,268100,2.413506
2005-04-01,6.36,6.38,6.18,6.21,226700,2.314253
2005-03-01,6.62,6.69,6.11,6.31,238200,2.334642
2005-02-01,6.64,6.73,6.53,6.64,189900,2.439546
2005-01-03,6.73,6.74,6.53,6.63,255200,2.419536
2004-12-01,6.66,6.78,6.60,6.72,312400,2.435785
2004-11-01,6.95,7.00,6.60,6.63,186200,2.387023
2004-10-01,6.86,7.00,6.83,6.94,127600,2.480422
2004-09-01,7.00,7.03,6.80,6.83,154500,2.423595
2004-08-02,6.94,6.99,6.74,6.99,133100,2.462448
2004-07-01,6.55,6.88,6.53,6.86,121500,2.399038
2004-06-01,6.64,6.68,6.43,6.54,122800,2.270061
2004-05-03,6.60,6.69,6.00,6.62,203600,2.280369
2004-04-01,7.17,7.19,6.35,6.60,251600,2.255856
2004-03-01,7.20,7.27,7.02,7.16,160300,2.42832
2004-02-02,7.34,7.50,7.13,7.26,178000,2.445065
2004-01-02,7.18,7.53,7.16,7.34,179600,2.455372
2003-12-01,7.12,7.26,7.06,7.17,219200,2.382471
2003-11-03,7.19,7.26,7.01,7.10,160100,2.342667
2003-10-01,7.08,7.25,6.97,7.17,137100,2.34938
2003-09-02,7.03,7.16,6.97,7.09,128300,2.306944
2003-08-01,6.96,7.13,6.51,7.07,130600,2.282097
2003-07-01,7.40,7.46,6.89,6.96,165900,2.228426
2003-06-02,7.18,7.58,7.16,7.44,160000,2.362851
2003-05-01,7.04,7.20,7.01,7.20,152000,2.268897
2003-04-01,6.95,7.21,6.90,7.08,189000,2.213346
2003-03-03,6.93,7.16,6.82,6.95,148000,2.155138
2003-02-03,6.85,6.97,6.77,6.95,152600,2.137335
2003-01-02,6.27,6.95,6.27,6.80,153500,2.073931
2002-12-02,6.56,6.63,6.04,6.27,178300,1.896489
2002-11-01,6.03,6.65,5.94,6.55,126000,1.962759
2002-10-01,6.05,6.12,5.46,5.93,124600,1.760842
2002-09-03,6.25,6.37,5.81,6.00,110700,1.764474
2002-08-01,5.98,6.25,5.61,6.23,105400,1.815483
2002-07-01,6.18,6.37,5.26,5.97,158400,1.723722
2002-06-03,7.15,7.20,6.06,6.16,143800,1.762043
2002-05-01,7.23,7.27,7.02,7.11,101900,2.016484
2002-04-01,7.60,7.63,7.06,7.17,123900,2.017469
