Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,0.45,0.45,0.45,0.45,000,0.45
2013-03-01,0.45,0.45,0.45,0.45,000,0.45
2013-02-01,0.45,0.45,0.45,0.45,000,0.45
2013-01-01,0.45,0.45,0.45,0.45,000,0.45
2012-12-03,0.45,0.45,0.45,0.45,000,0.45
2012-11-01,0.45,0.45,0.45,0.45,000,0.45
2012-10-01,0.45,0.45,0.45,0.45,000,0.45
2012-09-03,0.45,0.45,0.45,0.45,000,0.45
2012-08-01,0.45,0.45,0.45,0.45,000,0.45
2012-07-02,0.53,0.53,0.45,0.45,3400,0.45
2012-06-01,0.50,0.53,0.45,0.53,2200,0.53
2012-05-01,0.325,0.55,0.325,0.50,700,0.50
2012-04-02,0.75,0.75,0.325,0.325,600,0.325
2012-03-01,0.56,0.75,0.56,0.75,400,0.75
2012-02-01,0.41,0.56,0.41,0.56,1800,0.56
2012-01-02,0.61,0.65,0.41,0.41,1500,0.41
2011-12-01,0.40,0.61,0.30,0.61,45200,0.61
2011-11-17,1.05,1.05,0.26,0.41,6600,0.41
2011-08-03,1.13,1.36,1.00,1.05,116500,0.855
2011-07-04,1.42,1.42,1.05,1.13,4500,0.921
2011-06-02,1.55,1.55,1.31,1.40,2500,1.141
2011-05-03,1.40,1.65,1.31,1.41,2700,1.149
2011-04-05,1.57,1.57,1.36,1.55,4600,1.263
2011-03-01,1.51,1.64,1.43,1.55,2100,1.263
2011-02-01,1.51,1.59,1.48,1.52,4000,1.238
2011-01-05,1.62,1.63,1.50,1.51,2800,1.23
2010-12-01,1.56,1.70,1.35,1.61,6800,1.312
2010-11-02,1.51,2.588,1.51,1.55,1500,1.263
2010-10-01,1.42,1.54,1.37,1.45,5500,1.181
2010-09-01,1.40,1.45,1.27,1.35,5400,1.10
2010-08-03,1.42,1.58,1.40,1.40,2400,1.141
2010-07-06,1.49,1.49,1.40,1.40,1900,1.141
2010-06-01,1.73,2.00,1.56,1.56,4600,1.271
2010-05-03,1.84,1.95,1.53,1.86,1900,1.515
2010-04-01,1.43,2.09,1.43,1.84,6200,1.499
2010-03-08,1.40,1.42,1.31,1.36,2400,1.108
2010-02-04,1.38,1.46,1.20,1.40,42700,1.141
2010-01-04,1.35,1.41,1.32,1.41,3900,1.149
2009-12-01,1.54,1.66,1.34,1.39,3700,1.132
2009-11-02,1.60,1.65,1.51,1.59,1700,1.295
2009-10-01,1.46,1.74,1.46,1.61,1700,1.312
2009-09-01,1.31,1.50,1.30,1.50,1800,1.222
2009-08-03,1.31,1.37,1.30,1.31,500,1.067
2009-07-01,1.31,1.44,1.30,1.31,10800,1.067
2009-06-01,1.43,1.48,1.28,1.31,1800,1.067
2009-05-01,1.24,1.50,1.16,1.43,4600,1.165
2009-04-01,1.20,1.42,1.15,1.30,3700,1.059
2009-03-02,1.30,1.35,1.15,1.20,1900,0.978
2009-02-02,1.23,1.54,1.16,1.30,1400,1.059
2009-01-01,1.15,1.73,1.15,1.23,3000,1.002
2008-12-01,1.35,1.35,0.60,1.15,22500,0.937
2008-11-03,1.55,1.64,0.97,1.35,5600,1.10
2008-10-01,1.84,1.98,1.31,1.55,18800,1.263
2008-09-01,2.19,2.44,1.75,1.89,25100,1.54
2008-08-01,2.05,2.21,1.90,2.19,4300,1.784
2008-07-01,2.45,2.45,1.95,2.09,5000,1.703
2008-06-02,2.30,2.72,2.21,2.45,3200,1.996
2008-05-01,2.76,2.76,2.25,2.39,24700,1.868
2008-04-01,3.25,3.67,2.24,2.80,8800,2.188
2008-03-03,3.33,3.40,3.05,3.40,1400,2.657
2008-02-01,3.05,3.70,2.86,3.49,2200,2.727
2008-01-01,3.46,3.88,2.80,3.19,3400,2.493
2007-12-03,3.95,3.95,3.31,3.46,8000,2.704
2007-11-01,3.95,4.15,3.80,4.00,2100,3.126
2007-10-01,4.09,4.20,3.69,4.00,11300,3.126
2007-09-03,3.82,4.41,3.82,4.14,1700,3.235
2007-08-01,3.95,4.30,3.56,3.82,2400,2.985
2007-07-02,4.40,4.45,3.80,3.95,3300,3.087
2007-06-01,4.80,4.95,4.05,4.40,10200,3.438
2007-05-01,4.75,5.01,4.60,4.80,7200,3.673
2007-04-02,5.01,5.28,4.20,4.80,9600,3.673
2007-03-01,5.05,5.40,4.81,5.20,3100,3.979
2007-02-01,5.16,5.60,4.83,5.08,10100,3.887
2007-01-01,5.59,5.69,5.01,5.18,8600,3.964
2006-12-01,6.54,6.54,5.25,5.59,7100,4.277
2006-11-01,5.34,6.59,5.07,6.55,5900,5.012
2006-10-02,5.29,5.47,5.12,5.34,4100,4.086
2006-09-01,4.85,5.39,4.71,5.20,5000,3.979
2006-08-01,4.70,5.05,4.65,4.85,5200,3.711
2006-07-03,5.00,5.00,4.50,4.90,4100,3.749
2006-06-01,5.15,5.88,4.95,5.00,7500,3.826
2006-05-01,4.90,5.25,4.61,5.20,5800,3.903
2006-04-03,4.33,5.10,4.05,4.95,11400,3.715
2006-03-01,4.40,4.47,3.85,4.25,3900,3.19
2006-02-01,4.15,4.49,4.11,4.48,3400,3.363
2006-01-02,4.45,4.45,4.11,4.11,8300,3.085
2005-12-01,3.64,4.50,3.46,4.45,7700,3.34
2005-11-01,3.65,3.82,3.45,3.60,7300,2.702
2005-10-03,3.80,4.00,3.50,3.70,5500,2.777
2005-09-01,3.95,4.20,3.50,3.83,8700,2.875
2005-08-01,3.73,4.15,3.70,4.00,6600,3.002
2005-07-01,3.49,3.78,3.45,3.73,4700,2.80
2005-06-01,3.52,3.74,3.45,3.49,5500,2.62
2005-05-02,2.95,3.85,2.75,3.60,13000,2.643
2005-04-01,3.28,3.33,2.51,2.75,7800,2.019
2005-03-01,2.90,3.34,2.90,3.25,5400,2.386
2005-02-01,3.02,3.08,2.90,2.90,3400,2.129
2005-01-03,2.80,3.05,2.70,3.05,12900,2.239
2004-12-01,3.00,3.10,2.78,2.80,6100,2.055
2004-11-01,2.80,3.10,2.75,3.05,3400,2.239
2004-10-01,3.00,3.10,2.60,2.78,3500,2.041
2004-09-01,3.20,3.20,2.82,3.01,8900,2.21
2004-08-02,3.15,3.20,2.75,3.20,2500,2.349
2004-07-01,3.20,3.25,2.93,3.15,1700,2.312
2004-06-01,3.32,3.32,3.10,3.20,1100,2.349
2004-05-03,3.22,3.50,2.78,3.40,2900,2.45
2004-04-01,3.20,3.65,3.20,3.30,4900,2.378
2004-03-01,3.25,3.34,3.10,3.25,2600,2.342
2004-02-02,3.10,3.34,2.90,3.25,3000,2.342
2004-01-01,3.00,3.65,2.82,3.25,6400,2.342
2003-12-01,2.90,3.15,2.51,3.00,3000,2.162
2003-11-03,2.95,3.00,2.45,3.00,4700,2.162
2003-10-01,2.80,3.15,2.80,3.00,5400,2.162
2003-09-01,2.70,2.75,2.50,2.75,4600,1.981
2003-08-01,2.75,2.85,2.31,2.70,4100,1.945
2003-07-01,2.15,2.75,2.01,2.70,7500,1.945
2003-06-02,1.81,2.34,1.81,2.15,9900,1.549
2003-05-01,1.85,1.95,1.65,1.80,2100,1.266
2003-04-01,1.95,1.95,1.65,1.80,4600,1.266
2003-03-03,1.90,1.95,1.55,1.95,2200,1.372
2003-02-03,1.65,1.91,1.60,1.91,4500,1.344
2003-01-01,1.65,1.85,1.46,1.65,2500,1.161
2002-12-02,1.45,1.70,1.30,1.65,10200,1.161
2002-11-01,1.60,1.69,1.45,1.50,6000,1.055
2002-10-01,1.45,1.70,1.30,1.59,3000,1.119
2002-09-02,1.55,1.90,1.21,1.60,7400,1.126
2002-08-01,1.65,1.65,1.35,1.55,3100,1.091
2002-07-01,1.85,1.85,1.40,1.65,4800,1.161
