Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,3.97,3.97,3.81,3.88,8599800,3.830302
2013-03-01,4.65,4.70,3.91,3.95,7412100,3.899405
2013-02-01,5.34,5.59,4.62,4.64,3386000,4.566422
2013-01-02,5.98,6.15,5.14,5.25,3725900,5.166749
2012-12-03,5.82,5.89,5.41,5.83,3853200,5.737552
2012-11-01,6.65,6.70,5.25,5.80,4486500,5.708028
2012-10-01,6.69,6.81,6.28,6.58,5369800,6.450797
2012-09-04,5.46,6.94,5.36,6.55,7307000,6.421386
2012-08-01,4.42,5.44,4.31,5.41,4608900,5.30377
2012-07-02,4.74,4.96,4.14,4.50,3756500,4.409184
2012-06-01,4.29,4.96,4.26,4.75,6020400,4.654138
2012-05-01,4.27,4.68,3.70,4.25,5590500,4.164229
2012-04-02,4.62,4.78,3.94,4.28,4868500,4.17219
2012-03-01,5.14,5.17,4.36,4.62,6542500,4.503625
2012-02-01,5.38,5.70,4.80,5.08,6655500,4.938541
2012-01-03,5.43,5.99,4.25,5.26,9247200,5.113529
2011-12-01,6.18,6.61,4.89,5.23,7808800,5.084364
2011-11-01,5.86,7.00,5.30,6.19,7524800,6.017632
2011-10-03,5.41,6.64,4.82,6.27,8346300,6.076849
2011-09-01,7.62,8.10,5.32,5.36,9995900,5.194882
2011-08-01,7.82,8.38,6.50,7.67,9909600,7.433722
2011-07-01,7.60,8.65,7.48,7.77,7656100,7.530641
2011-06-01,8.46,8.46,6.87,7.69,8037000,7.453105
2011-05-02,9.18,9.41,7.82,8.49,11397500,8.228461
2011-04-01,8.94,9.95,8.71,9.41,11071100,9.12012
2011-03-01,10.34,10.51,7.81,9.08,12613400,8.800285
2011-02-01,9.15,11.08,9.01,10.15,13587400,9.837323
2011-01-03,11.42,11.56,8.19,9.00,14278800,8.722751
2010-12-01,9.80,11.52,9.60,11.26,13751500,10.91313
2010-11-01,6.94,9.75,6.68,9.59,17795700,9.294575
2010-10-01,6.39,7.19,6.20,6.89,9308600,6.67775
2010-09-01,5.81,6.44,5.62,6.32,8295200,6.125309
2010-08-02,5.02,5.94,4.75,5.72,6965100,5.543792
2010-07-01,5.18,5.33,4.52,4.94,6284200,4.787821
2010-06-01,5.46,5.99,4.96,5.22,8529700,5.059195
2010-05-03,6.06,6.47,4.86,5.38,13955700,5.214266
2010-04-01,5.60,6.20,5.44,5.97,11231200,5.786091
2010-03-01,5.24,5.96,5.12,5.47,9836300,5.301494
2010-02-01,4.63,5.71,4.27,5.20,14864100,5.039811
2010-01-04,6.42,6.99,4.54,4.56,13648600,4.419527
2009-12-01,6.85,7.47,5.96,6.18,15195900,5.989622
2009-11-02,4.22,6.77,3.95,6.61,18031600,6.406375
2009-10-01,4.43,5.10,3.79,4.11,13915600,3.983389
2009-09-01,2.95,5.04,2.85,4.39,15357800,4.254764
2009-08-03,3.28,3.50,2.80,2.98,7904900,2.8882
2009-07-01,2.71,3.24,2.26,3.15,7311000,3.052963
2009-06-01,3.78,3.89,2.36,2.68,10020000,2.597441
2009-05-01,2.43,3.76,2.43,3.71,6957800,3.595711
2009-04-01,2.01,2.75,1.85,2.47,6311500,2.39391
2009-03-02,1.54,2.28,1.17,2.00,6833000,1.938389
2009-02-02,2.62,2.65,1.40,1.52,7461300,1.473176
2009-01-02,2.79,2.95,1.89,2.65,4574700,2.568365
2008-12-01,1.98,2.86,1.55,2.80,6206700,2.713744
2008-11-03,2.58,2.91,0.99,2.32,5585600,2.248531
2008-10-01,4.67,4.93,2.13,2.49,3913400,2.413294
2008-09-02,6.80,6.99,4.00,4.68,5601100,4.53583
2008-08-01,9.17,9.17,6.50,7.02,2793500,6.803745
2008-07-01,9.45,10.00,7.90,9.18,2966000,8.897205
2008-06-02,9.01,9.98,7.40,9.26,3594800,8.974741
2008-05-01,9.89,10.86,8.96,9.02,3231800,8.742135
2008-04-01,10.93,13.14,9.90,10.26,2853700,9.943935
2008-03-03,11.87,12.79,10.15,11.16,4585700,10.81621
2008-02-01,9.36,11.93,8.60,11.50,4267000,11.145737
2008-01-02,9.50,10.62,8.05,9.30,3909100,9.013509
2007-12-03,11.68,12.41,8.48,9.35,3801600,9.061969
2007-11-01,9.52,12.57,9.07,11.73,3709400,11.36865
2007-10-01,8.97,9.62,8.18,9.62,2054800,9.32365
2007-09-04,7.50,9.80,7.45,8.95,2463100,8.674291
2007-08-01,7.78,8.07,6.58,7.50,3056400,7.268959
2007-07-02,8.71,9.38,7.70,7.85,2051200,7.608177
2007-06-01,8.20,8.59,7.47,8.54,2187300,8.27692
2007-05-01,8.81,8.92,7.52,8.00,2490500,7.753556
2007-04-02,9.00,9.89,8.77,8.81,2382200,8.538604
2007-03-01,7.69,9.21,7.18,9.06,2411000,8.780902
2007-02-01,7.20,8.66,7.00,7.69,2445300,7.453105
2007-01-03,7.66,7.87,6.36,7.13,2205600,6.910357
2006-12-01,7.00,7.95,6.97,7.66,2214300,7.424029
2006-11-01,6.61,6.99,6.05,6.97,2323300,6.755285
2006-10-02,5.74,6.60,4.90,6.51,1876700,6.309456
2006-09-01,6.51,6.65,5.10,5.74,1741800,5.563176
2006-08-01,5.29,6.57,5.21,6.51,1626900,6.309456
2006-07-03,5.32,5.55,4.77,5.26,1454700,5.097963
2006-06-01,5.32,5.64,4.05,5.25,1988500,5.088271
2006-05-01,6.60,6.68,4.56,5.46,3265900,5.291802
2006-04-03,6.70,7.09,6.08,6.47,2721000,6.270688
2006-03-01,5.02,6.89,4.57,6.61,3607200,6.406375
