Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.870001,21.09,20.700001,20.99,285800,19.175507
2013-03-01,20.299999,21.129999,20.16,20.85,133200,19.047609
2013-02-01,21.889999,22.219999,19.950001,20.459999,186100,18.516512
2013-01-02,20.15,21.860001,20.00,21.74,150900,19.674927
2012-12-03,19.309999,19.99,19.07,19.959999,168800,18.064007
2012-11-01,19.299999,19.40,17.440001,19.120001,165200,17.162973
2012-10-01,18.24,19.879999,17.91,19.209999,147400,17.243761
2012-09-04,17.540001,18.73,16.90,18.110001,123400,16.256353
2012-08-01,17.52,18.25,17.07,17.57,94600,15.658096
2012-07-02,17.559999,18.879999,16.969999,17.440001,165900,15.542243
2012-06-01,16.83,17.959999,16.43,17.48,183700,15.577889
2012-05-01,17.59,18.139999,16.16,17.110001,204400,15.134098
2012-04-02,17.629999,18.360001,16.99,17.549999,252200,15.523284
2012-03-01,17.450001,18.23,17.09,17.620001,181700,15.585202
2012-02-01,15.79,17.50,15.65,17.33,311000,15.216044
2012-01-03,14.02,15.81,13.80,15.64,180000,13.732195
2011-12-01,12.22,14.19,12.10,13.71,228100,12.037621
2011-11-01,13.00,13.92,11.59,12.21,250800,10.614207
2011-10-03,11.31,14.31,10.51,13.45,255700,11.692144
2011-09-01,13.30,13.41,10.70,11.41,244600,9.918763
2011-08-01,14.69,14.85,12.10,13.32,304000,11.476001
2011-07-01,15.62,16.110001,14.38,14.56,204900,12.544338
2011-06-01,16.299999,16.299999,14.46,15.61,261100,13.448977
2011-05-02,17.940001,17.940001,15.87,16.32,181400,13.959396
2011-04-01,16.959999,18.219999,16.15,17.879999,192700,15.293751
2011-03-01,17.02,17.129999,15.95,16.799999,152900,14.369967
2011-02-01,17.40,18.00,16.450001,16.950001,175600,14.400431
2011-01-03,18.23,18.43,17.209999,17.280001,178800,14.680793
2010-12-01,16.68,18.209999,16.610001,18.040001,219300,15.326476
2010-11-01,18.76,18.83,16.07,16.33,252800,13.788905
2010-10-01,17.98,19.50,17.139999,18.690001,236800,15.781668
2010-09-01,16.719999,18.17,16.59,17.780001,245200,15.013272
2010-08-02,17.07,17.389999,15.37,16.40,218400,13.785173
2010-07-01,15.32,16.969999,14.62,16.82,271500,14.138208
2010-06-01,15.34,16.620001,14.40,15.30,539900,12.860559
2010-05-03,17.26,17.98,13.57,15.37,305800,12.848896
2010-04-01,15.17,17.379999,15.08,17.209999,271600,14.387085
2010-03-01,13.53,15.34,13.38,15.06,248800,12.589746
2010-02-01,12.07,14.00,11.16,13.44,198100,11.17154
2010-01-04,12.70,14.07,11.65,11.99,205000,9.966277
2009-12-01,12.12,13.05,11.51,12.50,185600,10.390198
2009-11-02,12.45,13.29,11.59,12.02,224700,9.929398
2009-10-01,13.96,14.81,12.24,12.43,244700,10.268087
2009-09-01,12.20,14.76,11.85,13.97,250100,11.54024
2009-08-03,11.37,12.80,10.93,12.25,189100,10.081967
2009-07-01,10.01,12.00,9.53,11.35,242200,9.341251
2009-06-01,9.09,10.70,8.89,9.97,273700,8.205487
2009-05-01,8.73,9.93,8.12,9.03,391500,7.391779
2009-04-01,8.16,9.86,7.76,8.78,346000,7.187135
2009-03-02,7.50,8.96,6.09,8.37,371500,6.851517
2009-02-02,9.20,11.33,7.69,7.69,373000,6.248737
2009-01-02,9.30,10.50,8.12,9.35,406400,7.59762
2008-12-01,8.39,9.79,6.68,9.19,409300,7.467607
2008-11-03,7.79,8.88,5.10,8.52,376800,6.882679
2008-10-01,12.70,14.00,4.00,7.96,561000,6.430296
2008-09-02,15.06,17.00,11.95,12.87,350400,10.396722
2008-08-01,13.78,15.59,13.78,14.90,339000,11.945092
2008-07-01,13.91,14.35,12.30,13.86,454700,11.111341
2008-06-02,16.33,17.00,14.01,14.02,426800,11.239612
2008-05-01,16.50,17.23,15.70,16.290001,387800,12.975771
2008-04-01,17.68,18.639999,16.639999,16.92,241000,13.477595
2008-03-03,17.34,17.93,16.08,17.48,349900,13.923662
2008-02-01,18.33,18.99,17.35,17.379999,292500,13.759641
2008-01-02,18.950001,19.120001,16.139999,18.34,431000,14.519668
2007-12-03,19.780001,20.190001,18.780001,18.940001,397200,14.994684
2007-11-01,19.02,20.26,16.08,19.559999,529900,15.401243
2007-10-01,19.870001,23.23,19.32,20.690001,256600,16.290989
2007-09-04,19.360001,20.67,18.49,19.709999,263000,15.51935
