Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.42,6.42,6.25,6.38,3210200,6.38
2013-03-01,6.21,6.73,5.82,6.41,2387900,6.41
2013-02-01,6.56,7.31,6.13,6.18,2618100,6.12203
2013-01-02,8.94,9.01,6.44,6.46,2639300,6.399404
2012-12-03,7.79,9.01,7.46,8.96,2640500,8.875954
2012-11-01,8.26,8.80,7.47,7.81,2315100,7.736741
2012-10-01,8.49,8.50,7.76,8.30,2508500,8.222144
2012-09-04,8.32,9.66,8.11,8.41,3526400,8.331112
2012-08-01,9.80,10.54,8.08,8.54,2172400,8.400372
2012-07-02,9.24,10.23,8.75,9.82,1338700,9.659443
2012-06-01,10.02,10.73,8.90,9.40,2692400,9.24631
2012-05-01,9.71,10.00,8.64,9.86,1907200,9.698789
2012-04-02,10.89,11.14,9.23,9.70,1819700,9.541405
2012-03-01,12.74,12.92,10.58,10.93,2400100,10.751295
2012-02-01,12.21,13.40,12.07,12.72,1947000,12.455446
2012-01-03,12.02,12.35,11.08,12.06,2253100,11.809174
2011-12-01,14.17,14.50,11.23,11.64,2121800,11.397908
2011-11-01,12.62,14.64,12.35,14.15,2226900,13.855704
2011-10-03,11.98,13.65,11.08,13.13,2436300,12.856919
2011-09-01,13.48,14.12,11.43,11.73,3372200,11.486036
2011-08-01,13.57,15.10,11.90,13.37,3661100,13.009551
2011-07-01,13.01,14.59,12.65,13.58,1901500,13.213889
2011-06-01,13.98,14.29,12.05,13.22,2641000,12.863595
2011-05-02,15.68,15.73,12.94,13.91,2711600,13.534992
2011-04-01,14.82,15.69,14.42,15.57,3376000,15.15024
2011-03-01,11.69,15.36,11.61,14.87,4800600,14.469111
2011-02-01,10.96,11.96,10.50,11.78,2097500,11.462417
2011-01-03,12.59,12.68,10.26,10.91,2320400,10.615871
2010-12-01,11.35,12.96,11.21,12.54,1497400,12.201927
2010-11-01,11.34,12.82,11.17,11.33,2326900,11.024549
2010-10-01,11.21,11.91,10.65,11.53,2303200,11.219156
2010-09-01,10.29,11.94,10.02,11.29,2725200,10.985627
2010-08-02,10.08,11.18,9.84,10.18,2601800,9.845807
2010-07-01,10.41,10.74,9.65,10.00,2414100,9.671716
2010-06-01,9.90,10.74,9.43,10.57,3078500,10.223003
2010-05-03,9.82,10.62,8.80,9.68,4668000,9.362222
2010-04-01,9.52,10.36,9.16,9.77,3047700,9.449267
2010-03-01,9.23,10.05,9.16,9.48,2415400,9.168786
2010-02-01,9.40,10.31,8.73,9.13,3532300,8.830276
2010-01-04,10.43,11.20,9.17,9.17,3159900,8.868964
2009-12-01,11.62,11.88,9.72,10.17,4113200,9.836135
2009-11-02,9.93,11.30,9.53,11.10,4063700,10.735605
2009-10-01,10.75,12.05,9.65,9.96,4551900,9.633029
2009-09-01,9.20,11.86,8.93,10.94,4875200,10.580857
2009-08-03,9.54,9.74,8.81,9.40,2282800,9.040283
2009-07-01,10.43,10.50,8.34,9.26,2604700,8.905642
2009-06-01,12.09,12.10,9.83,10.32,2859300,9.925077
2009-05-01,9.47,12.39,9.16,12.10,3409700,11.636962
2009-04-01,11.07,11.60,8.06,9.32,4040700,8.963345
2009-03-02,12.01,12.32,10.41,10.94,4115700,10.521351
2009-02-02,11.38,13.25,10.94,11.98,4856600,11.521553
2009-01-02,10.97,12.25,8.76,11.80,3347200,11.348442
2008-12-01,8.14,11.13,7.22,10.97,2802300,10.550204
2008-11-03,7.42,8.77,5.47,8.64,2713000,8.309367
2008-10-01,9.72,10.81,5.71,7.31,3604900,7.030263
2008-09-02,8.00,10.77,6.38,9.68,3382500,9.309569
2008-08-01,10.42,10.67,7.22,8.71,2535700,8.376689
2008-07-01,12.03,12.70,10.26,10.81,1828000,10.396327
2008-06-02,11.73,12.40,10.45,12.25,1711400,11.781221
2008-05-01,11.25,13.20,11.16,11.90,1702400,11.444614
2008-04-01,11.43,12.50,11.00,11.69,2506100,11.242651
2008-03-03,13.02,14.56,11.66,11.84,3815600,11.38691
