Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.60,29.809999,28.15,29.120001,1643600,29.120001
2013-03-01,25.59,29.57,25.129999,28.620001,727700,28.620001
2013-02-01,27.24,28.879999,25.15,25.74,849400,25.74
2013-01-02,24.809999,27.74,24.16,27.200001,917200,27.200001
2012-12-03,23.719999,25.92,23.370001,24.299999,726200,24.299999
2012-11-01,21.620001,26.58,21.51,23.549999,1154400,23.549999
2012-10-01,22.65,24.969999,21.09,21.52,820700,21.52
2012-09-04,23.280001,23.77,21.51,22.51,1115900,22.51
2012-08-01,22.15,23.790001,16.65,23.25,2421300,23.25
2012-07-02,24.209999,27.42,21.74,22.02,1885600,22.02
2012-06-01,25.09,26.620001,23.799999,24.27,1301500,24.27
2012-05-01,35.720001,36.900002,24.73,25.620001,1387000,25.620001
2012-04-02,39.549999,41.220001,34.93,35.610001,1016600,35.610001
2012-03-01,37.950001,40.00,37.200001,39.720001,822600,39.720001
2012-02-01,37.950001,40.220001,34.240002,37.740002,1512900,37.740002
2012-01-03,30.92,37.75,30.43,37.740002,1116500,37.740002
2011-12-01,30.92,31.26,28.25,30.42,614100,30.42
2011-11-01,26.77,31.17,25.90,31.139999,977300,31.139999
2011-10-03,23.50,28.98,21.459999,27.790001,855700,27.790001
2011-09-01,24.879999,26.940001,22.469999,23.709999,1112900,23.709999
2011-08-01,28.540001,28.610001,20.51,24.690001,1711100,24.690001
2011-07-01,32.09,32.619999,27.139999,28.120001,884100,28.120001
2011-06-01,32.060001,32.709999,29.360001,32.09,803900,32.09
2011-05-02,33.450001,33.889999,30.690001,32.09,787900,32.09
2011-04-01,32.889999,34.029999,30.690001,33.299999,712400,33.299999
2011-03-01,29.43,32.849998,28.780001,32.700001,798900,32.700001
2011-02-01,28.549999,31.67,28.00,29.42,849500,29.42
2011-01-03,27.50,29.690001,26.82,28.530001,1001500,28.530001
2010-12-01,27.40,27.83,25.629999,27.290001,810500,27.290001
2010-11-01,27.08,29.75,26.129999,27.00,1731000,27.00
2010-10-01,27.35,27.809999,24.940001,26.889999,764100,26.889999
2010-09-01,24.18,27.57,24.00,27.190001,756900,27.190001
2010-08-02,23.84,27.799999,23.25,23.879999,1046200,23.879999
2010-07-01,24.35,25.73,23.049999,23.549999,932400,23.549999
2010-06-01,24.49,28.18,24.200001,24.370001,1758100,24.370001
2010-05-03,22.09,24.76,20.879999,24.65,1593700,24.65
2010-04-01,24.99,25.41,21.780001,22.02,1580000,22.02
2010-03-01,23.290001,26.629999,23.15,24.870001,1050500,24.870001
2010-02-01,24.42,25.00,22.23,23.09,1639700,23.09
2010-01-04,23.549999,26.73,23.389999,24.26,1091900,24.26
2009-12-01,21.370001,24.690001,21.190001,23.290001,1404200,23.290001
2009-11-02,15.02,21.75,14.87,21.219999,2102700,21.219999
2009-10-01,15.33,16.93,14.51,14.91,1437700,14.91
2009-09-01,15.79,17.57,15.07,15.40,2008600,15.40
2009-08-03,13.73,15.90,12.88,15.32,2195800,15.32
2009-07-01,15.94,15.94,11.32,13.53,3841700,13.53
2009-06-01,15.26,16.059999,12.71,15.55,2118400,15.55
2009-05-01,14.33,17.690001,13.99,14.98,2384900,14.98
2009-04-01,14.20,15.62,12.93,14.44,1608400,14.44
2009-03-02,13.05,16.290001,10.52,14.48,2424100,14.48
2009-02-02,14.51,17.99,12.81,13.20,2772900,13.20
2009-01-02,10.94,16.01,10.82,14.63,2337200,14.63
2008-12-01,8.89,11.23,8.25,10.89,1653700,10.89
2008-11-03,12.80,13.46,7.38,9.01,2840100,9.01
2008-10-01,24.26,29.870001,10.92,12.88,1941100,12.88
2008-09-02,27.790001,28.50,20.75,23.60,1428000,23.60
2008-08-01,27.65,28.93,24.00,27.65,2370400,27.65
2008-07-01,24.00,28.59,21.709999,27.959999,2418900,27.959999
2008-06-02,30.940001,31.09,24.01,24.059999,2335900,24.059999
2008-05-01,29.09,32.389999,26.41,31.00,2974900,31.00
2008-04-01,30.799999,32.369999,26.66,29.290001,2800900,29.290001
2008-03-03,43.82,44.099998,27.83,30.799999,3376500,30.799999
2008-02-01,46.450001,48.779999,42.849998,43.939999,1629100,43.939999
2008-01-02,48.27,52.959999,44.619999,46.490002,1810600,46.490002
2007-12-03,48.799999,50.209999,47.34,48.299999,1014300,48.299999
2007-11-01,53.150002,53.34,45.849998,48.580002,1432800,48.580002
2007-10-01,54.23,54.66,49.75,53.610001,960900,53.610001
2007-09-04,54.84,56.00,53.580002,54.049999,826200,54.049999
2007-08-01,49.68,55.060001,46.740002,54.790001,1620000,54.790001
2007-07-02,52.939999,55.02,49.220001,49.540001,961800,49.540001
2007-06-01,57.150002,58.220001,52.080002,52.799999,1100400,52.799999
2007-05-01,54.200001,59.25,54.099998,57.080002,825400,57.080002
2007-04-02,53.959999,58.389999,53.779999,54.060001,1034900,54.060001
2007-03-01,52.75,56.43,52.619999,53.810001,1091400,53.810001
2007-02-01,49.029999,55.00,48.639999,53.450001,1200500,53.450001
2007-01-03,49.25,49.360001,45.759998,48.709999,919200,48.709999
2006-12-01,46.09,49.259998,44.639999,48.66,1122200,48.66
2006-11-01,42.50,46.43,40.700001,46.139999,1473600,46.139999
2006-10-02,44.25,46.900002,41.509998,41.509998,1446200,41.509998
2006-09-01,41.810001,44.939999,39.919998,43.52,1398000,43.52
2006-08-01,41.950001,47.00,41.060001,41.810001,1348000,41.810001
