Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,32.950001,33.07,32.400002,32.790001,1266000,32.106251
2013-03-01,30.870001,33.27,29.35,32.970001,735200,32.282497
2013-02-01,31.860001,33.700001,30.57,31.10,551100,30.451488
2013-01-02,30.00,32.16,29.299999,31.76,493700,31.027956
2012-12-03,29.75,29.93,28.030001,29.50,375600,28.820047
2012-11-01,27.66,30.00,26.030001,29.629999,759700,28.94705
2012-10-01,31.82,32.91,25.76,26.08,853900,25.426538
2012-09-04,30.389999,33.09,29.91,31.68,290900,30.886227
2012-08-01,31.59,31.639999,29.68,30.379999,270500,29.618797
2012-07-02,30.16,31.73,28.549999,31.700001,331300,30.846119
2012-06-01,28.52,30.60,26.969999,30.08,317900,29.269754
2012-05-01,30.790001,34.00,28.08,29.18,396100,28.393997
2012-04-02,28.879999,31.00,28.299999,30.469999,283400,29.588823
2012-03-01,28.42,30.43,27.549999,28.84,368300,28.005962
2012-02-01,24.10,29.09,24.030001,28.32,396600,27.501001
2012-01-03,25.01,25.01,23.35,24.00,208800,23.257681
2011-12-01,22.48,24.73,21.280001,24.360001,296800,23.606546
2011-11-01,20.889999,22.60,19.83,22.549999,355400,21.852528
2011-10-03,19.51,22.370001,18.49,21.76,321400,21.047064
2011-09-01,21.540001,22.799999,19.450001,19.719999,281300,19.0739
2011-08-01,21.33,23.00,18.450001,21.51,447100,20.805256
2011-07-01,20.60,22.17,18.84,21.040001,314000,20.307007
2011-06-01,18.959999,20.77,18.16,20.60,350100,19.882334
2011-05-02,20.049999,22.059999,18.110001,19.02,422100,18.35738
2011-04-01,17.629999,20.00,16.74,19.959999,226700,19.224306
2011-03-01,19.66,19.91,17.09,17.530001,185200,16.883875
2011-02-01,15.87,19.90,15.87,19.58,198500,18.819887
2011-01-03,15.61,16.90,15.39,15.80,181300,15.186629
2010-12-01,16.129999,16.82,15.27,15.42,189700,14.821382
2010-11-01,14.37,16.41,13.57,15.79,229600,15.177017
2010-10-01,15.40,15.40,14.17,14.28,152800,13.716642
