Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.00,20.129999,20.00,20.129999,177200,15.438852
2013-03-01,19.110001,20.01,19.02,19.98,125500,15.323809
2013-02-01,19.15,19.93,19.07,19.129999,115500,14.671894
2013-01-02,17.42,19.98,17.40,19.190001,143600,14.441485
2012-12-03,17.92,18.00,17.00,17.309999,90300,13.026686
2012-11-01,17.719999,18.41,15.65,17.950001,113500,13.50832
2012-10-01,18.43,18.530001,17.309999,17.83,92300,13.121396
2012-09-04,17.629999,18.440001,17.33,18.360001,92600,13.511433
2012-08-01,17.129999,17.709999,16.85,17.530001,103000,12.900622
2012-07-02,17.25,17.690001,16.799999,17.00,93800,12.255845
2012-06-01,16.08,17.32,15.39,17.27,91500,12.450497
2012-05-01,17.00,17.190001,15.76,16.209999,80000,11.686308
2012-04-02,16.49,17.02,15.87,17.02,80400,12.001409
2012-03-01,15.69,16.50,15.27,16.469999,68400,11.613584
2012-02-01,15.50,16.18,15.34,15.70,103800,11.070629
2012-01-03,14.27,15.59,13.57,15.44,89200,10.676485
2011-12-01,14.09,14.20,13.45,14.11,75300,9.756813
2011-11-01,13.79,14.17,13.06,14.08,76000,9.736069
2011-10-03,13.01,14.24,12.00,14.01,75900,9.484526
2011-09-01,13.37,14.00,12.76,13.15,81000,8.90232
2011-08-01,14.75,14.82,11.50,13.40,113100,9.071566
2011-07-01,15.63,15.94,14.31,14.51,68600,9.572843
2011-06-01,15.72,15.95,14.24,15.95,102400,10.522869
2011-05-02,15.81,16.07,15.37,15.79,88000,10.417311
2011-04-01,14.42,15.83,14.03,15.82,71300,10.227575
2011-03-01,14.04,14.40,13.85,14.32,63900,9.257831
2011-02-01,14.19,14.79,13.63,14.10,101900,9.115602
2011-01-03,13.40,14.50,13.28,14.19,117900,8.979796
2010-12-01,12.61,13.50,12.59,13.37,70900,8.46088
2010-11-01,12.43,13.80,12.37,12.52,107800,7.922978
2010-10-01,12.15,12.44,11.96,12.35,71000,7.639294
2010-09-01,11.15,12.27,11.15,12.08,79300,7.472281
2010-08-02,11.65,11.82,11.01,11.10,64300,6.866086
2010-07-01,10.92,11.65,10.59,11.53,88100,7.027817
2010-06-01,11.56,11.99,10.93,10.94,91600,6.668198
2010-05-03,12.98,13.06,11.11,11.74,126600,7.155818
2010-04-01,12.83,13.29,12.79,12.92,117200,7.745212
2010-03-01,12.20,13.07,12.01,12.81,92500,7.67927
2010-02-01,12.13,12.43,11.38,12.12,77900,7.265632
2010-01-04,11.88,12.96,11.88,12.09,114200,7.247648
2009-12-01,11.26,11.92,11.07,11.85,107800,7.103775
2009-11-02,10.84,11.37,10.70,11.19,101900,6.708121
2009-10-01,11.34,11.60,10.78,10.80,122300,6.474326
2009-09-01,10.61,11.43,10.42,11.32,155500,6.786052
2009-08-03,11.52,11.55,10.31,10.68,223500,6.402389
2009-07-01,11.00,11.56,10.25,11.44,66100,6.857989
2009-06-01,10.54,11.22,10.23,10.75,64500,6.444352
2009-05-01,10.33,10.55,10.08,10.51,62600,6.300478
2009-04-01,9.98,10.53,9.74,10.39,67500,6.079247
2009-03-02,9.77,10.38,8.31,10.07,116300,5.892013
2009-02-02,11.41,12.23,9.64,9.95,68600,5.821801
2009-01-02,11.14,11.90,10.98,11.51,60300,6.414587
2008-12-01,9.11,11.16,8.64,11.07,86800,6.169372
2008-11-03,12.25,12.97,8.16,9.31,74900,5.188515
2008-10-01,13.52,14.20,10.10,12.32,87200,6.415773
2008-09-02,15.66,15.85,13.15,13.70,58800,7.134423
2008-08-01,15.82,16.719999,15.48,15.58,72700,8.113454
2008-07-01,14.49,16.049999,14.31,15.85,55500,7.919671
2008-06-02,15.30,15.78,14.28,14.55,54000,7.270108
2008-05-01,15.36,15.90,15.00,15.40,49100,7.694822
2008-04-01,15.10,15.61,14.95,15.41,40700,7.361023
2008-03-03,15.94,16.18,13.90,15.01,48100,7.169952
2008-02-01,16.389999,16.75,15.80,15.94,50700,7.614192
2008-01-02,16.50,17.129999,15.35,16.42,65900,7.662181
2007-12-03,16.290001,16.889999,15.72,16.530001,61300,7.713511
2007-11-01,17.51,17.66,15.35,16.52,46400,7.708845
2007-10-01,17.370001,17.82,17.049999,17.629999,53000,8.043026
2007-09-04,17.08,17.66,16.799999,17.299999,38300,7.892476
2007-08-01,16.60,17.65,14.57,17.209999,71800,7.851417
2007-07-02,17.18,17.690001,16.49,16.68,53100,7.439088
2007-06-01,17.780001,18.00,17.01,17.190001,57000,7.666543
2007-05-01,17.75,17.98,17.299999,17.799999,58900,7.938595
2007-04-02,17.16,18.00,17.040001,17.74,53500,7.752091
2007-03-01,17.10,17.379999,16.15,17.110001,52900,7.476791
2007-02-01,17.60,18.34,17.02,17.299999,59600,7.559818
2007-01-03,16.469999,17.879999,16.35,17.700001,79200,7.586439
2006-12-01,16.370001,16.799999,16.24,16.469999,91400,7.059245
2006-11-01,16.889999,16.959999,15.87,16.48,71100,7.063531
2006-10-02,16.690001,17.389999,16.610001,16.92,53500,7.096626
2006-09-01,17.290001,17.370001,16.219999,16.74,52400,7.02113
2006-08-01,15.95,17.290001,15.81,17.280001,53500,7.105508
2006-07-03,16.90,17.629999,15.24,16.01,103400,6.583286
2006-06-01,17.73,17.99,16.049999,16.969999,43100,6.978036
2006-05-01,18.75,18.799999,16.60,17.700001,53700,7.116011
2006-04-03,18.790001,18.969999,18.25,18.700001,50600,7.518046
2006-03-01,18.68,18.969999,18.26,18.75,38300,7.538147
2006-02-01,18.870001,19.00,18.309999,18.60,43800,7.477842
2006-01-03,17.940001,18.99,17.709999,18.870001,44900,7.438579
2005-12-01,18.139999,18.139999,17.370001,17.93,45800,7.068029
2005-11-01,18.049999,18.450001,17.73,18.01,39900,7.099566
2005-10-03,18.629999,18.969999,17.440001,17.969999,37900,6.887985
2005-09-01,18.65,19.48,18.42,18.639999,34900,7.144799
2005-08-01,19.10,19.48,18.299999,18.65,37800,7.148632
2005-07-01,17.59,19.190001,17.51,18.93,48100,7.117822
2005-06-01,17.700001,17.92,17.219999,17.60,42600,6.617732
2005-05-02,16.90,18.15,16.85,17.67,47100,6.644053
2005-04-01,16.299999,17.25,16.01,17.030001,49100,6.279173
2005-03-01,17.49,17.83,16.09,16.26,59600,5.995265
2005-02-01,17.799999,18.42,17.25,17.42,57100,6.422971
2005-01-03,18.379999,18.90,17.75,17.84,54100,6.445199
2004-12-01,18.10,18.48,17.77,18.280001,55500,6.604161
2004-11-01,18.10,18.99,17.620001,18.08,53700,6.531905
