Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.459999,17.639999,17.459999,17.60,138400,13.215134
2013-03-01,15.65,17.450001,15.65,17.440001,61400,13.094996
2013-02-01,15.63,16.129999,15.59,15.69,66700,11.780991
2013-01-02,14.75,15.84,14.75,15.58,61600,11.479735
2012-12-03,14.63,15.30,14.35,14.50,48700,10.683964
2012-11-01,14.91,15.40,12.86,14.65,65700,10.794488
2012-10-01,15.40,15.54,14.58,14.91,42200,10.742277
2012-09-04,14.96,15.45,14.91,15.39,38600,11.088105
2012-08-01,15.11,15.58,14.75,14.97,44100,10.785506
2012-07-02,14.81,15.19,14.50,14.95,48700,10.557666
2012-06-01,14.11,14.88,13.23,14.85,52500,10.487046
2012-05-01,14.30,14.65,13.62,14.21,47000,10.035079
2012-04-02,13.83,14.34,13.21,14.30,50900,9.890787
2012-03-01,13.27,13.87,12.80,13.83,46100,9.565705
2012-02-01,13.16,13.60,12.69,13.22,91100,9.143791
2012-01-03,11.57,13.13,11.44,13.09,78300,8.879246
2011-12-01,11.43,11.92,11.25,11.47,55900,7.780363
2011-11-01,10.85,11.56,10.74,11.49,68200,7.793929
2011-10-03,10.50,11.29,9.75,11.06,74900,7.348598
2011-09-01,10.64,11.00,10.23,10.46,88500,6.949939
2011-08-01,12.00,12.06,9.85,10.60,103300,7.04296
2011-07-01,12.42,12.70,11.65,11.82,47600,7.65026
2011-06-01,12.85,12.85,11.69,12.46,90400,8.064487
2011-05-02,13.05,13.15,12.58,12.88,131700,8.336325
2011-04-01,12.10,13.10,11.99,13.01,94400,8.252829
2011-03-01,11.37,12.08,11.24,12.02,56400,7.624827
2011-02-01,11.56,11.79,11.11,11.40,69400,7.231533
2011-01-03,10.85,11.71,10.82,11.48,96200,7.126276
2010-12-01,10.13,10.94,10.03,10.77,80400,6.68554
2010-11-01,10.08,10.43,9.94,10.08,84200,6.257218
2010-10-01,9.69,10.00,9.51,9.98,71200,6.054898
2010-09-01,8.96,9.77,8.96,9.59,43000,5.818284
2010-08-02,9.31,9.60,8.77,8.89,46300,5.393592
2010-07-01,8.73,9.40,8.49,9.20,80700,5.50373
2010-06-01,9.16,9.66,8.78,8.78,59600,5.252473
2010-05-03,10.58,10.64,8.67,9.34,76800,5.587483
2010-04-01,10.33,10.78,10.07,10.50,59200,6.179501
2010-03-01,9.65,10.55,9.65,10.28,65700,6.050026
2010-02-01,9.54,9.80,9.20,9.63,54900,5.667485
2010-01-04,9.48,10.06,9.44,9.53,77200,5.608633
2009-12-01,8.90,9.47,8.82,9.44,74100,5.555665
2009-11-02,8.51,9.06,8.50,8.84,51000,5.202551
2009-10-01,9.24,9.37,8.52,8.53,115000,5.020109
2009-09-01,8.62,9.36,8.41,9.23,129400,5.432076
2009-08-03,9.17,9.19,8.33,8.65,143800,5.090732
2009-07-01,8.62,9.15,8.15,9.13,70700,5.373223
2009-06-01,8.30,8.77,8.15,8.68,53700,5.108388
2009-05-01,8.11,8.43,7.98,8.29,51900,4.878863
2009-04-01,7.76,8.32,7.56,8.13,76600,4.668847
2009-03-02,7.45,8.00,6.50,7.80,133300,4.479337
2009-02-02,8.86,9.47,7.59,7.62,68700,4.375968
2009-01-02,8.60,9.29,8.49,8.95,42000,5.011404
2008-12-01,7.22,8.75,6.77,8.64,95700,4.837825
2008-11-03,9.35,9.91,6.38,7.49,70500,4.193901
2008-10-01,10.46,10.62,7.01,9.36,77700,5.072955
2008-09-02,12.07,12.13,10.03,10.62,68700,5.755853
2008-08-01,12.32,12.88,11.86,11.90,52400,6.449591
2008-07-01,11.35,12.52,11.07,12.45,65400,6.608664
2008-06-02,12.01,12.32,11.35,11.43,53500,6.067231
2008-05-01,12.18,12.80,11.76,11.98,66000,6.35918
2008-04-01,11.84,12.33,11.72,12.18,46600,6.32214
2008-03-03,12.46,12.64,11.00,11.81,43600,6.130088
2008-02-01,13.00,13.35,12.20,12.55,57800,6.514192
2008-01-02,13.25,13.82,11.80,13.06,69600,6.616637
2007-12-03,13.00,13.30,12.69,13.25,95100,6.712897
2007-11-01,13.93,13.93,12.28,13.00,50200,6.586239
2007-10-01,13.53,14.22,13.49,13.98,60000,6.917405
2007-09-04,13.39,13.65,13.13,13.53,59900,6.694742
2007-08-01,12.97,13.72,12.68,13.50,74200,6.679898
2007-07-02,13.56,13.89,12.62,13.10,79000,6.341484
2007-06-01,13.98,14.11,13.30,13.57,54900,6.569003
2007-05-01,14.43,14.52,13.73,14.00,64900,6.777158
2007-04-02,13.88,14.57,13.82,14.47,64800,6.862026
2007-03-01,14.01,14.20,13.47,13.90,52100,6.591718
2007-02-01,14.59,15.00,13.87,14.25,103700,6.757696
2007-01-03,13.50,14.60,13.25,14.49,142100,6.741946
2006-12-01,13.51,13.72,13.25,13.45,89500,6.258052
2006-11-01,13.75,13.75,13.10,13.59,97200,6.323192
2006-10-02,13.23,13.82,12.95,13.65,147200,6.219674
2006-09-01,14.16,14.28,13.02,13.29,127500,6.055639
2006-08-01,14.30,15.18,13.80,14.16,72900,6.320753
2006-07-03,15.40,15.50,13.61,14.40,35200,6.427884
2006-06-01,15.45,15.95,14.56,15.41,24500,6.878728
2006-05-01,16.700001,16.950001,15.21,15.66,29300,6.834983
