Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,20.559999,20.66,20.10,20.469999,228800,18.815731
2013-03-01,18.219999,21.00,17.879999,20.559999,124600,18.898457
2013-02-01,18.040001,18.75,16.35,18.35,85500,16.867058
2013-01-02,16.620001,18.450001,16.16,18.00,118000,16.508839
2012-12-03,16.90,17.549999,15.07,16.309999,118400,14.958841
2012-11-01,15.00,17.620001,14.35,16.75,171600,15.362391
2012-10-01,14.01,15.65,13.52,15.01,47100,12.909733
2012-09-04,13.14,14.31,12.63,13.88,54600,11.937848
2012-08-01,11.39,13.14,10.77,13.08,44100,11.249787
2012-07-02,11.29,12.48,10.85,11.28,33100,9.670153
2012-06-01,11.88,12.19,10.39,11.17,53400,9.575851
2012-05-01,11.97,12.65,11.58,12.14,44000,10.407416
2012-04-02,11.12,12.97,11.12,12.00,44100,10.253162
2012-03-01,11.10,12.69,11.00,11.10,51400,9.484176
2012-02-01,12.52,13.00,11.00,11.00,45200,9.398732
2012-01-03,11.24,12.58,10.80,12.48,46200,10.663288
2011-12-01,12.07,12.38,10.89,10.98,74500,9.381643
2011-11-01,11.21,12.20,10.42,12.09,49300,10.330061
2011-10-03,9.89,12.18,9.48,11.62,56700,9.825504
2011-09-01,11.87,11.92,9.47,9.99,65900,8.447227
2011-08-01,11.23,12.24,9.58,11.85,71200,10.019985
2011-07-01,11.52,12.16,10.70,11.09,42000,9.377354
2011-06-01,11.11,11.66,10.39,11.51,58900,9.732492
2011-05-02,13.21,13.21,10.51,11.13,49300,9.411176
2011-04-01,13.34,13.76,11.82,13.10,41200,11.076946
2011-03-01,13.28,13.66,11.17,13.26,51300,11.212236
2011-02-01,12.20,13.59,11.92,13.30,46200,11.246059
2011-01-03,13.13,13.79,11.94,12.04,58400,10.180643
2010-12-01,12.28,14.06,11.88,12.98,61400,10.975477
2010-11-01,10.72,12.47,10.32,12.01,72700,10.155276
2010-10-01,11.05,12.11,10.44,10.69,49600,8.953365
2010-09-01,9.76,11.31,9.68,10.91,64000,9.137626
2010-08-02,12.36,12.56,9.56,9.61,61700,8.048816
2010-07-01,12.27,12.69,10.74,12.12,88600,10.151056
2010-06-01,16.120001,16.129999,12.23,12.29,97000,10.293439
2010-05-03,16.33,17.60,15.50,16.209999,123600,13.576618
2010-04-01,16.35,18.16,16.219999,16.299999,90700,13.651997
2010-03-01,13.30,16.99,13.18,16.32,134000,13.668748
2010-02-01,12.41,13.97,11.89,13.28,51900,11.122609
2010-01-04,13.70,13.92,11.81,12.33,61700,10.326941
2009-12-01,11.96,13.93,11.71,13.73,75200,11.499504
2009-11-02,12.20,12.65,11.36,11.95,51800,10.008673
2009-10-01,11.79,13.37,11.48,12.11,70400,10.124101
2009-09-01,11.58,12.11,10.87,11.81,68700,9.873298
2009-08-03,10.83,12.78,10.56,11.67,120000,9.756256
2009-07-01,9.22,11.18,8.96,10.74,81200,8.978765
2009-06-01,10.62,11.10,8.86,9.15,107800,7.649506
2009-05-01,10.80,11.34,9.08,10.52,165700,8.794843
2009-04-01,10.39,11.29,9.75,10.85,190900,9.070726
2009-03-02,8.74,11.00,7.61,10.53,150800,8.803203
2009-02-02,7.99,9.88,7.70,8.80,149500,7.356903
2009-01-02,9.34,9.62,7.94,8.02,88100,6.704814
2008-12-01,8.22,10.00,7.91,9.33,170200,7.799989
2008-11-03,9.85,10.16,7.65,8.49,199400,7.097739
2008-10-01,11.45,11.80,8.39,9.84,181600,8.226355
2008-09-02,11.36,13.73,10.78,11.44,224000,9.563972
2008-08-01,11.43,12.00,9.96,11.04,199200,9.229568
2008-07-01,9.91,12.39,9.73,11.42,313300,9.48834
2008-06-02,10.45,10.45,8.87,10.04,253600,8.341763
2008-05-01,9.55,10.69,8.74,10.52,158400,8.740573
2008-04-01,10.74,11.20,8.77,9.13,129100,7.534463
2008-03-03,9.80,11.16,8.91,10.64,197400,8.78058
2008-02-01,10.12,10.44,8.91,9.82,228600,8.10388
2008-01-02,8.91,10.53,7.21,10.23,303800,8.38488
