Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.65,15.69,15.38,15.63,63000,11.343557
2013-03-01,15.77,16.219999,15.56,15.90,37400,11.281868
2013-02-01,16.16,16.309999,15.50,15.89,42900,11.274773
2013-01-02,16.08,17.15,15.77,16.110001,47800,11.430875
2012-12-03,15.42,15.97,15.03,15.72,40400,11.154149
2012-11-01,15.49,15.81,13.90,15.49,40600,10.745247
2012-10-01,16.08,16.389999,14.96,15.46,42300,10.724437
2012-09-04,15.19,16.74,14.75,16.41,42600,11.137182
2012-08-01,15.16,16.07,14.95,15.38,34800,10.438139
2012-07-02,15.13,15.80,14.37,15.12,36700,10.261682
2012-06-01,14.67,15.82,14.50,15.53,38400,10.271183
2012-05-01,15.76,15.93,14.01,14.84,38800,9.814834
2012-04-02,15.82,15.99,15.00,15.72,37500,10.396845
2012-03-01,17.27,17.450001,15.82,16.129999,37400,10.406103
2012-02-01,16.50,17.459999,16.32,17.16,37400,11.070597
2012-01-03,14.37,16.889999,14.26,16.40,45000,10.580291
2011-12-01,14.59,15.12,13.77,14.19,62000,9.154532
2011-11-01,14.07,15.48,13.94,14.67,46100,9.214511
2011-10-03,13.03,15.10,11.69,14.60,64300,9.170543
2011-09-01,17.040001,17.139999,13.78,13.80,61800,8.400469
2011-08-01,17.709999,18.08,14.03,16.91,73700,10.293617
2011-07-01,18.889999,19.139999,17.60,17.719999,43500,10.786688
2011-06-01,18.889999,19.33,18.15,19.33,46400,11.507424
2011-05-02,19.60,19.719999,18.23,18.940001,38600,11.275252
2011-04-01,18.35,19.709999,18.309999,19.59,44300,11.662207
2011-03-01,18.92,19.120001,17.00,18.68,47000,10.866867
2011-02-01,18.459999,19.25,18.299999,18.82,45000,10.94831
2011-01-03,19.68,19.98,18.110001,18.450001,44500,10.733068
2010-12-01,18.82,20.07,18.75,19.65,35000,11.431152
2010-11-01,19.440001,20.82,18.209999,18.450001,80800,10.504567
2010-10-01,18.690001,19.32,17.889999,19.26,85600,10.965743
2010-09-01,16.98,19.00,16.98,18.92,51800,10.529617
2010-08-02,17.620001,18.27,16.58,16.709999,37600,9.299678
2010-07-01,16.200001,17.780001,15.59,17.43,55800,9.700382
2010-06-01,15.56,17.950001,15.22,16.84,70000,9.134945
2010-05-03,18.059999,18.23,14.31,15.81,78500,8.576216
2010-04-01,18.68,18.969999,18.030001,18.059999,39300,9.79674
2010-03-01,17.99,19.120001,17.950001,18.91,43400,10.014806
2010-02-01,16.280001,18.969999,15.74,18.049999,63400,9.559347
2010-01-04,19.370001,19.370001,16.280001,16.309999,62000,8.637836
2009-12-01,18.40,19.60,18.40,19.01,42800,10.067767
2009-11-02,16.030001,19.209999,16.02,18.27,73400,9.452188
2009-10-01,18.01,19.299999,16.60,16.85,81100,8.717535
2009-09-01,15.65,18.969999,15.34,18.700001,80500,9.417007
2009-08-03,15.71,15.96,15.05,15.52,72400,7.815612
2009-07-01,14.35,15.57,13.00,15.45,70600,7.780361
2009-06-01,14.93,15.05,13.40,14.35,52300,7.22642
2009-05-01,12.20,14.45,12.07,14.41,50800,7.012458
2009-04-01,11.21,12.49,11.01,12.20,32300,5.936987
2009-03-02,9.85,12.08,9.27,11.85,40100,5.524319
2009-02-02,10.64,11.47,9.99,10.18,39500,4.745786
2009-01-02,11.41,12.20,10.45,10.75,35300,5.011512
2008-12-01,9.33,12.08,8.88,11.35,48600,5.291225
2008-11-03,11.36,12.75,8.33,9.84,38100,4.379603
2008-10-01,13.40,14.05,9.49,11.04,61400,4.913702
2008-09-02,17.889999,17.889999,12.40,13.25,47700,5.675681
2008-08-01,18.24,18.83,17.08,17.780001,30000,7.616122
2008-07-01,18.42,19.68,16.809999,18.299999,53600,7.838865
2008-06-02,21.75,21.98,18.92,18.93,37000,7.895408
2008-05-01,21.73,22.26,21.00,21.799999,31200,9.092441
2008-04-01,19.90,22.35,19.49,21.629999,37400,9.021536
2008-03-03,20.549999,20.610001,17.92,19.75,35300,8.029709
2008-02-01,22.25,22.65,20.40,20.65,34200,8.395619
2008-01-02,21.870001,23.27,20.91,22.049999,60700,8.964814
2007-12-03,22.41,23.60,21.200001,21.610001,69700,8.785925
2007-11-01,24.60,24.60,20.549999,22.50,60900,8.846803
2007-10-01,23.50,25.00,22.799999,24.889999,67300,9.78653
2007-09-04,22.799999,23.950001,22.129999,23.82,50100,9.170006
2007-08-01,23.049999,23.35,18.65,22.68,51500,8.731139
2007-07-02,24.10,24.799999,22.65,23.049999,33800,8.873578
2007-06-01,24.25,25.00,23.10,24.059999,40700,9.262399
2007-05-01,25.01,25.25,23.09,24.23,33400,9.155162
2007-04-02,25.01,25.40,25.00,25.01,30300,9.449881
2007-03-28,25.00,25.200001,25.00,25.00,128100,9.446102
