Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.030001,17.120001,16.75,16.76,91000,12.30828
2013-03-01,17.59,17.91,17.26,17.370001,63300,12.45883
2013-02-01,17.90,17.93,17.27,17.719999,54800,12.70987
2013-01-02,16.68,17.959999,16.629999,17.75,73000,12.731388
2012-12-03,16.280001,16.83,15.84,16.389999,81300,11.755913
2012-11-01,16.66,17.02,14.70,16.209999,78100,11.3445
2012-10-01,17.09,17.32,16.370001,16.57,66100,11.596444
2012-09-04,17.799999,18.08,17.360001,17.459999,64000,11.935869
2012-08-01,17.50,18.209999,16.92,17.85,46300,12.202478
2012-07-02,16.040001,17.440001,15.97,17.42,66300,11.908525
2012-06-01,16.530001,17.120001,15.88,16.51,67700,10.978813
2012-05-01,18.99,18.99,16.24,16.74,57500,11.131758
2012-04-02,17.91,18.709999,17.51,18.690001,72100,12.428469
2012-03-01,18.860001,19.049999,18.030001,18.48,84600,11.989582
2012-02-01,17.50,18.90,17.50,18.77,81700,12.177731
2012-01-03,15.73,17.469999,15.54,17.440001,83900,11.314844
2011-12-01,16.60,17.120001,15.20,15.39,97600,9.984831
2011-11-01,16.74,17.85,15.39,16.719999,71900,10.545646
2011-10-03,15.33,18.26,13.78,17.58,63900,11.088065
2011-09-01,18.790001,18.84,15.87,15.98,60300,9.795088
2011-08-01,19.75,20.27,15.51,18.700001,99000,11.462337
2011-07-01,21.10,21.969999,18.959999,19.379999,86000,11.879148
2011-06-01,21.07,21.58,19.75,21.389999,74100,12.835365
2011-05-02,21.870001,21.90,20.65,21.030001,84700,12.619344
2011-04-01,21.950001,21.99,20.469999,21.67,122900,13.003384
2011-03-01,20.25,22.540001,19.42,21.91,188100,12.87737
2011-02-01,19.950001,20.50,19.41,20.18,129700,11.860581
2011-01-03,19.889999,20.07,19.209999,19.690001,108200,11.572589
2010-12-01,19.879999,20.27,19.360001,19.700001,127300,11.578466
2010-11-01,19.00,19.90,18.33,19.50,118000,11.201882
2010-10-01,18.639999,19.59,18.40,18.98,109600,10.903165
2010-09-01,16.469999,19.040001,16.450001,18.870001,100700,10.581471
2010-08-02,17.60,18.00,16.01,16.25,83000,9.112289
2010-07-01,16.65,17.549999,16.049999,17.49,74500,9.807627
2010-06-01,16.59,17.48,15.61,16.84,73100,9.190795
2010-05-03,19.450001,19.50,15.45,16.75,121500,9.141675
2010-04-01,19.68,20.27,18.25,19.370001,67800,10.571597
2010-03-01,20.01,20.389999,19.42,20.08,85800,10.713498
2010-02-02,20.01,20.10,20.00,20.00,53900,10.670815
