Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,53.389999,53.740002,52.189999,52.48,604600,49.832554
2013-03-01,50.740002,53.84,49.799999,53.419998,343300,50.725132
2013-02-01,50.27,51.459999,48.02,50.93,491100,48.360748
2013-01-02,47.509998,50.110001,47.43,49.889999,397600,47.373211
2012-12-03,45.220001,46.689999,44.41,46.529999,337700,43.998924
2012-11-01,42.630001,45.150002,41.330002,44.950001,385700,42.504871
2012-10-01,41.919998,42.810001,39.740002,42.529999,480800,40.216511
2012-09-04,39.790001,43.959999,39.18,41.77,468700,39.302219
2012-08-01,38.34,41.66,36.779999,39.860001,356900,37.505066
2012-07-02,39.07,40.00,34.060001,38.150002,533300,35.896091
2012-06-01,38.91,40.52,36.91,38.98,364000,36.476086
2012-05-01,43.509998,44.040001,38.669998,39.73,510000,37.17791
2012-04-02,42.080002,44.139999,39.68,43.310001,450800,40.527946
2012-03-01,42.040001,42.93,39.439999,42.130001,343900,39.237343
2012-02-01,40.82,43.150002,38.049999,41.799999,626300,38.929996
2012-01-03,38.029999,40.599998,36.73,40.52,332900,37.737885
2011-12-01,36.23,38.360001,34.990002,37.110001,420300,34.40992
2011-11-01,33.990002,36.720001,32.77,36.459999,434800,33.807213
2011-10-03,30.860001,38.279999,29.290001,35.450001,719100,32.870701
2011-09-01,37.380001,37.52,30.09,31.16,594200,28.74444
2011-08-01,41.880001,41.970001,32.580002,37.18,578700,34.297764
2011-07-01,45.799999,47.279999,40.59,41.48,404500,38.264423
2011-06-01,45.360001,46.16,41.900002,45.849998,336500,42.135731
2011-05-02,47.18,47.369999,43.25,45.34,277700,41.667046
2011-04-01,44.060001,47.50,42.509998,46.919998,444800,43.119049
2011-03-01,41.48,43.779999,40.009998,43.650002,348500,39.956608
2011-02-01,40.060001,42.330002,39.279999,41.240002,364900,37.750526
2011-01-03,39.560001,40.119999,38.02,39.66,291200,36.304214
2010-12-01,37.959999,40.290001,37.919998,39.119999,288100,35.671818
2010-11-01,36.029999,37.990002,35.790001,37.470001,285600,34.167259
2010-10-01,35.75,37.279999,35.080002,36.080002,409500,32.89978
2010-09-01,30.32,36.240002,30.10,35.509998,413900,32.246067
2010-08-02,32.639999,33.189999,29.49,29.790001,368900,27.05183
2010-07-01,28.50,32.919998,27.540001,32.169998,599700,29.213068
2010-06-01,30.42,32.57,28.49,28.57,443000,25.811687
2010-05-03,33.790001,34.48,28.75,30.540001,634200,27.591494
2010-04-01,33.330002,35.540001,32.91,33.599998,407400,30.356062
2010-03-01,31.16,33.66,31.00,33.099998,335000,29.772404
2010-02-01,28.370001,31.75,28.09,31.00,390800,27.883522
2010-01-04,31.33,32.400002,28.219999,28.219999,320400,25.382998
2009-12-01,29.719999,32.849998,29.690001,31.15,285800,27.912611
2009-11-02,28.469999,31.50,27.98,29.629999,348900,26.550583
2009-10-01,27.91,31.549999,26.08,28.43,525900,25.4753
2009-09-01,26.35,29.709999,25.809999,27.950001,501500,24.943274
2009-08-03,27.49,28.42,25.52,26.440001,391800,23.595711
2009-07-01,24.52,28.059999,22.16,27.280001,599500,24.345348
2009-06-01,23.77,25.790001,22.790001,24.57,595800,21.810862
2009-05-01,25.10,26.18,22.77,23.35,540400,20.727863
2009-04-01,21.51,26.120001,19.67,25.25,855000,22.414499
2009-03-02,18.92,23.530001,16.67,21.870001,708500,19.316669
2009-02-02,22.200001,24.200001,18.60,19.32,879800,17.064383
2009-01-02,24.25,26.24,21.190001,22.610001,633500,19.970274
2008-12-01,22.25,25.75,20.110001,24.15,591700,21.220997
2008-11-03,23.17,23.73,17.700001,23.00,734500,20.210474
2008-10-01,30.73,31.450001,18.719999,23.18,1031400,20.368643
2008-09-02,37.560001,38.07,30.00,31.02,1018600,27.117212
2008-08-01,37.950001,40.349998,36.48,37.07,489900,32.406029
2008-07-01,36.52,39.00,32.07,37.830002,672300,33.070412
2008-06-02,38.869999,40.75,35.43,36.84,541300,32.090801
2008-05-01,36.700001,38.880001,35.93,38.84,416500,33.83297
2008-04-01,31.00,37.200001,30.799999,36.689999,554000,31.960135
