Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.91,23.030001,22.790001,22.889999,48000,18.802872
2013-03-01,22.82,23.950001,22.50,22.90,44900,18.811087
2013-02-01,22.99,23.25,21.709999,22.870001,68000,18.704084
2013-01-02,23.25,24.23,22.67,22.83,33700,18.588089
2012-12-03,23.639999,24.040001,22.50,23.049999,38100,18.686975
2012-11-01,23.530001,24.00,20.77,23.690001,67400,19.205833
2012-10-01,24.00,24.33,23.42,23.690001,33000,19.118343
2012-09-04,22.93,24.889999,22.73,24.00,44400,19.282528
2012-08-01,23.25,24.35,22.59,22.82,33200,18.251598
2012-07-02,22.610001,23.629999,22.360001,23.200001,27300,18.470074
2012-06-01,22.879999,22.92,21.98,22.60,26700,17.910152
2012-05-01,22.370001,22.92,22.209999,22.870001,29300,18.038092
2012-04-02,21.459999,22.60,21.219999,22.50,36300,17.664032
2012-03-01,22.99,22.99,21.01,21.40,48500,16.720125
2012-02-01,22.33,23.24,21.559999,22.90,50800,17.803606
2012-01-03,21.950001,23.190001,21.48,22.540001,41400,17.439438
2011-12-01,21.57,22.879999,20.809999,21.93,34400,16.886124
2011-11-01,20.700001,21.98,20.50,21.549999,57200,16.399141
2011-10-03,21.549999,22.450001,19.68,20.60,68700,15.597978
2011-09-01,21.459999,22.50,21.25,21.450001,36800,16.157534
2011-08-01,21.030001,22.450001,19.940001,21.43,40400,16.063816
2011-07-01,20.90,21.360001,20.60,20.790001,31100,15.507254
2011-06-01,21.120001,21.459999,20.190001,20.889999,25200,15.502842
2011-05-02,20.700001,21.60,20.299999,21.120001,33700,15.593757
2011-04-01,19.780001,21.18,19.60,20.52,31900,15.074012
2011-03-01,19.65,20.09,19.440001,19.85,26200,14.505275
2011-02-01,20.09,20.15,19.360001,19.68,41100,14.303928
2011-01-03,20.030001,20.32,19.41,20.09,38300,14.524218
2010-12-01,20.790001,20.860001,19.16,20.040001,51600,14.411587
2010-11-01,21.639999,21.91,19.83,20.790001,61600,14.84415
2010-10-01,22.00,22.190001,21.02,21.50,165100,15.271847
2010-09-01,21.68,22.15,21.60,22.059999,82700,15.594939
2010-08-02,21.440001,22.309999,20.91,21.68,52000,15.253124
2010-07-01,20.91,22.01,20.91,21.40,53500,14.982971
2010-06-01,21.00,21.48,19.889999,20.90,50000,14.561639
2010-05-03,21.15,21.34,19.68,20.90,48200,14.489244
2010-04-01,20.27,21.08,20.00,21.00,62700,14.483892
2010-03-01,20.440001,20.83,20.040001,20.299999,65000,13.930315
2010-02-01,20.700001,20.860001,19.620001,20.209999,77300,13.796716
2010-01-04,19.809999,20.700001,19.52,20.379999,66900,13.841018
2009-12-01,19.559999,20.10,19.559999,19.809999,51800,13.382773
2009-11-02,19.299999,20.00,18.76,19.639999,60300,13.197248
2009-10-01,19.33,19.950001,18.57,19.040001,41200,12.725986
2009-09-01,19.709999,19.959999,19.07,19.34,50900,12.856895
2009-08-03,20.049999,20.870001,19.190001,19.76,30900,13.064564
2009-07-01,20.00,20.120001,19.950001,20.049999,36000,13.185285
