Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.23,10.42,10.00,10.06,26600,9.887607
2013-03-01,9.30,10.36,9.05,10.18,20000,10.00555
2013-02-01,9.92,10.00,9.38,9.49,7200,9.327374
2013-01-02,9.85,10.00,9.00,9.89,6400,9.72052
2012-12-03,8.56,9.97,8.40,9.52,10400,9.35686
2012-11-01,8.74,9.28,7.55,8.50,7500,8.35434
2012-10-01,10.17,10.31,8.64,8.74,5000,8.555865
2012-09-04,10.34,10.50,10.03,10.07,13800,9.857844
2012-08-01,9.56,10.46,9.20,10.19,5200,9.975316
2012-07-02,9.73,10.48,9.04,9.44,7900,9.241117
2012-06-01,8.84,10.18,8.71,9.85,13800,9.64248
2012-05-01,10.63,10.70,8.24,9.05,11400,8.825072
2012-04-02,10.00,10.79,9.55,10.63,15700,10.365803
2012-03-01,9.21,10.68,7.44,9.96,13000,9.712455
2012-02-01,9.60,10.62,9.12,9.16,8300,8.932338
2012-01-03,8.34,9.61,8.30,9.51,9300,8.430581
2011-12-01,8.41,8.82,7.58,8.13,10000,7.186576
2011-11-01,8.03,8.70,7.02,8.51,11400,7.52248
2011-10-03,7.15,9.10,6.81,8.29,15200,7.32801
2011-09-01,8.31,8.35,6.81,7.25,19900,6.408694
2011-08-01,8.97,9.62,7.38,8.28,18500,7.31917
2011-07-01,10.41,11.10,8.68,8.98,25800,7.93794
2011-06-01,10.39,10.89,9.58,10.44,59400,9.206419
2011-05-02,7.76,10.45,7.50,10.37,9600,9.144691
2011-04-01,8.06,8.25,7.57,7.76,2000,6.843086
2011-03-01,8.54,8.79,7.60,8.08,3200,7.125275
2011-02-01,7.80,8.57,7.75,8.47,2600,7.469193
2011-01-03,8.12,8.54,7.69,7.81,2200,6.887178
2010-12-01,7.75,8.12,7.51,8.12,2900,7.139313
2010-11-01,8.48,8.56,7.50,7.74,8400,6.805207
2010-10-01,7.04,8.75,7.04,8.48,5700,7.455834
