Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,104.739998,105.080002,102.870003,103.339996,380000,103.339996
2013-03-01,105.919998,115.639999,101.220001,104.720001,433700,104.720001
2013-02-01,103.870003,107.970001,101.129997,106.25,393400,106.25
2013-01-02,96.959999,109.690002,94.720001,102.900002,414700,102.900002
2012-12-03,92.459999,97.32,89.580002,96.00,421800,96.00
2012-11-01,84.57,94.25,83.300003,92.139999,531600,92.139999
2012-10-01,97.75,98.57,83.019997,84.389999,541700,84.389999
2012-09-04,113.379997,118.93,89.910004,97.349998,735400,97.349998
2012-08-01,110.75,115.330002,108.059998,114.040001,234400,114.040001
2012-07-02,108.379997,111.660004,101.830002,110.269997,329200,110.269997
2012-06-01,97.919998,107.790001,96.00,107.730003,675300,107.730003
2012-05-01,100.849998,103.25,93.830002,98.989998,381100,98.989998
2012-04-02,93.089996,102.099998,92.739998,101.07,322000,101.07
2012-03-01,94.870003,98.50,91.199997,93.650002,282800,93.650002
2012-02-01,90.00,94.739998,88.82,94.57,165400,94.57
2012-01-03,87.510002,94.690002,84.519997,89.480003,188900,89.480003
2011-12-01,87.970001,90.00,81.980003,86.160004,134600,86.160004
2011-11-01,82.00,89.639999,80.050003,88.379997,212000,88.379997
2011-10-03,73.830002,84.690002,69.699997,83.989998,207900,83.989998
2011-09-01,77.559998,81.75,71.559998,74.809998,223500,74.809998
2011-08-01,74.529999,78.720001,67.879997,77.589996,355500,77.589996
2011-07-01,82.959999,85.169998,73.599998,73.690002,277800,73.690002
2011-06-01,87.650002,89.589996,80.800003,83.419998,241900,83.419998
2011-05-02,88.699997,89.440002,84.419998,87.720001,137700,87.720001
2011-04-01,89.019997,89.730003,84.610001,88.239998,230700,88.239998
2011-03-01,84.160004,89.870003,81.949997,88.75,257800,88.75
2011-02-01,81.529999,84.989998,79.57,83.699997,237800,83.699997
2011-01-03,80.959999,85.489998,75.309998,81.959999,226800,81.959999
2010-12-01,73.07,81.260002,72.050003,80.389999,129500,80.389999
2010-11-01,72.260002,75.739998,71.169998,72.32,193600,72.32
2010-10-01,68.169998,72.599998,67.489998,72.239998,172500,72.239998
2010-09-01,62.290001,68.57,62.290001,68.00,207400,68.00
2010-08-02,63.720001,64.669998,60.75,61.790001,165600,61.790001
2010-07-01,58.18,63.59,57.700001,63.310001,249300,63.310001
2010-06-01,51.610001,60.00,50.810001,58.419998,402500,58.419998
2010-05-03,51.77,54.009998,48.220001,51.759998,355500,51.759998
2010-04-01,53.580002,54.310001,50.59,50.669998,232400,50.669998
2010-03-01,51.900002,56.73,51.599998,53.470001,265800,53.470001
2010-02-01,51.419998,53.099998,49.459999,51.799999,217100,51.799999
2010-01-04,55.00,55.700001,51.16,51.439999,184100,51.439999
2009-12-01,50.330002,55.610001,49.849998,54.810001,163000,54.810001
2009-11-02,52.110001,54.93,49.830002,50.279999,190100,50.279999
2009-10-01,52.150002,54.75,50.00,51.759998,201100,51.759998
2009-09-01,48.349998,54.48,47.25,51.130001,296700,51.130001
2009-08-03,50.00,50.25,46.029999,48.400002,227900,48.400002
2009-07-01,49.869999,50.43,44.650002,49.939999,191800,49.939999
2009-06-01,48.610001,51.450001,46.169998,49.869999,420400,49.869999
2009-05-01,41.32,49.939999,39.880001,48.00,555600,48.00
2009-04-01,41.119999,43.66,39.759998,41.360001,265000,41.360001
2009-03-02,40.099998,43.459999,36.150002,41.18,381400,41.18
2009-02-02,42.900002,47.099998,38.470001,40.73,317100,40.73
2009-01-02,37.419998,48.990002,36.32,43.799999,437700,43.799999
2008-12-01,36.50,39.349998,33.150002,37.419998,362000,37.419998
2008-11-03,34.919998,39.25,29.120001,36.290001,316400,36.290001
2008-10-01,48.00,48.189999,31.82,35.389999,450200,35.389999
2008-09-02,64.559998,64.639999,44.080002,47.639999,599200,47.639999
2008-08-01,62.50,67.150002,58.240002,64.160004,290600,64.160004
2008-07-01,69.400002,70.00,61.169998,62.23,345400,62.23
2008-06-02,59.529999,70.940002,56.080002,69.599998,708800,69.599998
2008-05-01,66.160004,70.50,58.720001,59.560001,468400,59.560001
2008-04-01,65.209999,68.709999,60.34,66.050003,426100,66.050003
2008-03-03,61.57,71.589996,59.799999,64.309998,432000,64.309998
2008-02-01,61.799999,66.239998,59.959999,61.650002,276300,61.650002
2008-01-02,60.580002,65.650002,54.73,61.349998,499100,61.349998
2007-12-03,70.00,72.190002,60.080002,60.560001,314200,60.560001
2007-11-01,62.25,70.489998,60.950001,70.139999,398000,70.139999
2007-10-01,57.900002,64.50,57.799999,63.049999,326900,63.049999
2007-09-04,50.349998,57.639999,49.939999,56.490002,317600,56.490002
2007-08-01,47.139999,51.77,44.080002,50.470001,330500,50.470001
2007-07-02,46.310001,51.18,45.810001,47.419998,416600,47.419998
2007-06-01,40.419998,48.029999,39.740002,46.00,379800,46.00
2007-05-01,41.400002,42.27,36.68,40.189999,176600,40.189999
2007-04-02,41.200001,42.139999,39.75,41.34,164200,41.34
2007-03-01,37.400002,45.02,35.91,41.110001,238200,41.110001
2007-02-01,38.09,40.310001,36.200001,37.470001,222800,37.470001
2007-01-03,39.889999,41.419998,36.349998,38.060001,247000,38.060001
2006-12-01,37.049999,40.25,34.959999,39.48,127300,39.48
2006-11-01,34.619999,37.490002,34.049999,37.049999,231200,37.049999
2006-10-02,32.080002,35.880001,31.10,34.57,315900,34.57
2006-09-01,30.209999,34.16,28.25,32.080002,105000,32.080002
2006-08-01,31.65,32.400002,27.35,30.01,42100,30.01
2006-07-03,29.00,33.439999,26.67,31.709999,127600,31.709999
2006-06-01,26.549999,30.700001,25.00,29.629999,152700,29.629999
2006-05-01,28.41,29.280001,24.93,26.950001,132700,26.950001
2006-04-03,27.25,29.629999,26.00,28.32,65900,28.32
2006-03-01,25.10,29.190001,22.75,27.35,91200,27.35
2006-02-01,24.360001,27.450001,23.00,25.139999,123100,25.139999
2006-01-03,20.50,25.700001,19.84,24.26,290700,24.26
2005-12-01,19.280001,21.32,17.10,20.52,214100,20.52
2005-11-14,17.15,19.50,16.790001,19.26,310400,19.26
