Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.76,17.790001,17.610001,17.67,48400,17.640162
2013-03-01,17.73,18.620001,17.43,17.75,37900,17.720026
2013-02-01,18.75,18.940001,17.73,17.90,66200,17.869772
2013-01-02,18.77,19.08,17.67,18.790001,45100,18.75827
2012-12-03,17.799999,18.549999,17.68,18.530001,78300,18.498711
2012-11-01,17.200001,17.870001,16.530001,17.860001,60500,17.829842
2012-10-01,17.709999,18.23,17.01,17.139999,64100,17.111055
2012-09-04,15.28,17.50,15.11,17.469999,108800,17.440498
2012-08-01,15.27,15.90,14.88,15.37,64300,15.344046
2012-07-02,15.46,15.79,14.64,15.22,93000,15.194299
2012-06-01,14.13,15.53,14.03,15.51,113100,15.483809
2012-05-01,16.040001,16.16,13.96,14.33,99500,14.305801
2012-04-02,16.51,16.90,15.77,16.110001,71400,16.082796
2012-03-01,17.24,17.50,16.07,16.559999,78000,16.532036
2012-02-01,16.620001,17.969999,16.25,17.200001,104100,17.170956
2012-01-03,14.38,16.469999,14.32,16.370001,124500,16.342358
2011-12-01,15.29,16.290001,13.59,14.01,152300,13.986342
2011-11-01,17.309999,17.77,14.72,15.68,85100,15.653522
2011-10-03,16.66,18.450001,15.85,17.690001,105400,17.660128
2011-09-01,18.85,19.200001,16.48,16.790001,77700,16.761648
2011-08-01,21.60,21.60,17.60,18.93,98500,18.898033
2011-07-01,21.85,22.60,21.290001,21.49,68900,21.453711
2011-06-01,22.690001,22.75,21.02,21.940001,56000,21.902952
2011-05-02,23.41,23.48,21.549999,22.66,65000,21.418104
2011-04-01,24.290001,24.49,23.209999,23.690001,69100,22.391655
2011-03-01,22.59,24.25,21.940001,24.08,81400,22.760281
2011-02-01,22.42,23.02,21.02,22.059999,138800,20.850986
2011-01-03,25.77,26.42,22.040001,22.610001,155000,21.370846
2010-12-01,27.040001,28.49,25.209999,25.65,87800,24.244236
2010-11-01,28.85,30.450001,25.370001,26.469999,109400,22.774275
2010-10-01,27.75,29.67,27.73,28.379999,106400,24.417603
2010-09-01,24.50,27.92,24.50,27.26,67900,23.453978
2010-08-02,23.68,25.59,23.48,24.139999,62100,20.769588
2010-07-01,22.059999,23.969999,21.719999,23.440001,77500,20.167322
2010-06-01,21.10,22.85,20.65,22.16,88100,19.066034
2010-05-03,23.75,23.92,19.940001,21.43,155700,18.437958
2010-04-01,23.60,24.290001,22.90,23.77,88300,20.451248
2010-03-01,21.82,23.67,21.82,23.34,74400,20.081284
2010-02-01,21.48,22.17,20.01,21.67,85200,18.644449
2010-01-04,23.00,24.120001,20.74,21.440001,120800,18.446562
2009-12-01,22.85,23.40,21.33,22.610001,81200,19.453207
2009-11-02,20.40,23.440001,19.860001,22.780001,125200,19.599472
2009-10-01,21.52,23.08,20.15,20.559999,182800,17.689426
2009-09-01,18.83,21.610001,18.719999,21.219999,130500,18.257277
