Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.12,11.24,11.11,11.21,391000,8.341691
2013-03-01,10.75,11.16,10.62,11.13,162200,8.282161
2013-02-01,10.83,10.98,10.60,10.78,88700,7.819366
2013-01-02,10.41,10.95,10.39,10.79,100300,7.82662
2012-12-03,10.49,10.52,10.04,10.32,104000,7.485701
2012-11-01,10.81,11.02,9.47,10.48,86100,7.399237
2012-10-01,10.88,11.10,10.51,10.76,77900,7.596927
2012-09-04,10.81,11.34,10.66,10.87,91100,7.674591
2012-08-01,10.69,11.15,10.62,10.80,97500,7.436227
2012-07-02,10.09,10.73,10.00,10.60,69100,7.298519
2012-06-01,9.59,10.16,9.42,10.04,89400,6.912937
2012-05-01,10.55,10.63,9.48,9.69,78100,6.485506
2012-04-02,10.64,10.84,10.29,10.58,72300,7.081182
2012-03-01,10.68,11.08,10.53,10.70,95800,7.161498
2012-02-01,10.13,10.78,10.07,10.69,96000,6.972682
2012-01-03,9.49,10.06,9.28,10.04,72600,6.548712
2011-12-01,9.23,9.72,9.02,9.30,97600,6.066038
2011-11-01,8.91,9.53,8.66,9.28,101200,5.873074
2011-10-03,8.60,9.73,7.96,9.31,81400,5.892061
2011-09-01,10.16,10.20,8.45,8.68,89900,5.49335
2011-08-01,10.91,10.91,8.71,10.11,117300,6.211155
2011-07-01,11.17,11.35,10.69,10.75,79400,6.604345
2011-06-01,11.49,11.54,10.53,11.15,72100,6.850088
2011-05-02,11.54,11.59,11.12,11.52,57100,6.896094
2011-04-01,11.28,11.54,11.05,11.54,59900,6.908066
2011-03-01,11.41,11.60,10.34,11.23,70800,6.722494
2011-02-01,11.34,11.67,11.15,11.42,51900,6.665327
2011-01-03,11.32,11.52,11.05,11.29,68100,6.589451
2010-12-01,11.47,11.72,10.85,11.21,73500,6.542759
2010-11-01,11.74,11.82,11.13,11.34,69500,6.456213
2010-10-01,11.47,11.83,11.34,11.73,99000,6.678252
2010-09-01,10.70,11.90,10.68,11.37,89500,6.473293
2010-08-02,10.64,11.05,10.32,10.61,48900,5.896533
2010-07-01,9.40,10.87,9.05,10.58,74400,5.87986
2010-06-01,9.50,10.18,9.05,9.41,72700,5.22963
2010-05-03,11.08,11.21,7.72,9.66,96200,5.220177
2010-04-01,11.05,11.57,11.05,11.16,80800,6.030764
2010-03-01,10.89,11.54,10.85,11.01,60200,5.949705
2010-02-01,10.72,11.07,9.62,10.81,58100,5.697897
2010-01-04,11.33,11.90,10.22,10.68,83700,5.629375
2009-12-01,10.77,11.55,10.77,11.29,71100,5.950902
2009-11-02,10.33,10.96,10.05,10.73,59200,5.517785
2009-10-01,10.57,11.00,9.45,10.32,76300,5.306946
2009-09-01,10.29,11.29,9.87,10.57,101300,5.435506
2009-08-03,9.90,10.56,9.75,10.33,80900,5.177969
2009-07-01,8.85,9.89,8.22,9.70,85500,4.862178
2009-06-01,8.31,9.15,8.16,8.79,124500,4.406036
2009-05-01,7.09,8.25,6.93,8.25,132000,3.978499
2009-04-01,6.09,7.14,5.96,7.02,105200,3.385341
2009-03-02,5.77,6.47,4.74,6.14,97700,2.960968
2009-02-02,7.26,8.03,5.58,6.01,71100,2.724696
2009-01-02,7.86,9.35,7.29,7.51,68700,3.404736
2008-12-01,6.51,8.07,6.19,7.86,98000,3.563412
2008-11-03,9.02,10.05,5.39,7.28,101500,3.2221
2008-10-01,11.09,11.69,6.31,9.16,132300,3.97404
2008-09-02,14.53,14.98,9.26,10.92,94300,4.637934
2008-08-01,14.87,15.47,13.96,14.57,57400,6.114023
2008-07-01,15.86,16.559999,13.11,14.95,70000,6.201325
2008-06-02,17.860001,18.440001,15.86,16.030001,55200,6.576198
2008-05-01,17.469999,18.18,17.27,17.92,65700,7.281148
2008-04-01,16.309999,18.09,16.08,17.33,61100,6.975506
2008-03-03,16.200001,17.26,14.71,16.23,65900,6.466442
2008-02-01,18.00,18.379999,16.059999,16.32,81800,6.433126
2008-01-02,17.450001,18.200001,14.85,17.860001,82000,6.972785
2007-12-03,18.00,18.75,16.24,17.389999,163500,6.724339
2007-11-01,19.040001,19.790001,16.34,17.93,84000,6.868422
2007-10-01,19.10,21.639999,18.530001,19.26,59900,7.31345
2007-09-04,19.98,20.08,18.110001,19.33,50000,7.277516
2007-08-01,20.00,20.09,19.60,20.00,118900,7.465015
2007-07-27,20.00,20.01,20.00,20.00,233800,7.465015
