Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.90,16.299999,15.78,15.96,37200,11.619292
2013-03-01,17.459999,18.07,15.31,16.00,21900,11.648414
2013-02-01,19.60,20.83,17.60,17.91,10300,13.038943
2013-01-02,18.469999,20.139999,17.50,19.65,19900,13.701873
2012-12-03,19.110001,19.690001,17.99,18.49,10300,12.893009
2012-11-01,23.43,23.75,16.610001,18.91,17500,13.185873
2012-10-01,22.780001,23.50,22.629999,23.25,2800,16.212139
2012-09-04,23.17,23.41,22.549999,23.10,4300,16.107546
2012-08-01,23.389999,24.49,22.76,23.00,6000,16.037815
2012-07-02,23.08,23.99,22.91,23.450001,8300,15.748919
2012-06-01,22.860001,24.049999,22.26,23.10,6800,15.51386
2012-05-01,24.879999,24.969999,22.280001,22.90,7000,15.379539
2012-04-02,24.799999,24.99,24.620001,24.959999,2100,16.763027
2012-03-01,24.690001,24.950001,24.219999,24.93,2800,16.74288
2012-02-01,24.84,25.00,24.10,24.60,4000,16.521254
2012-01-03,24.82,24.90,24.360001,24.90,3700,16.137436
2011-12-01,24.200001,24.940001,24.00,24.74,3200,16.033743
2011-11-01,23.77,24.40,23.51,24.25,2500,15.716178
2011-10-03,23.40,24.15,23.02,23.790001,1800,15.418057
2011-09-01,23.84,24.34,23.309999,23.40,2800,15.165301
2011-08-01,24.209999,24.370001,22.120001,23.799999,4000,15.424538
2011-07-01,24.25,24.58,24.02,24.219999,5900,15.130358
2011-06-01,23.969999,24.58,23.799999,24.360001,2900,15.217817
2011-05-02,23.450001,24.17,23.450001,24.00,3400,14.992924
2011-04-01,23.77,24.01,23.25,23.719999,2100,14.818006
2011-03-01,23.860001,24.02,23.110001,23.540001,2200,14.70556
2011-02-01,23.74,24.66,23.299999,23.799999,3400,14.867982
2011-01-03,23.040001,23.92,23.040001,23.450001,3100,14.129329
2010-12-01,23.60,23.940001,22.16,23.50,3900,14.159455
2010-11-01,23.90,24.15,23.01,23.76,3800,14.316113
2010-10-01,23.799999,24.74,23.43,23.76,4500,14.316113
2010-09-01,23.76,24.450001,23.32,23.549999,5000,14.189581
2010-08-02,23.219999,24.84,23.120001,23.43,4700,14.117278
2010-07-01,21.40,23.60,21.360001,23.370001,3000,13.573044
2010-06-01,21.110001,23.24,21.08,21.299999,3600,12.37081
2010-05-03,21.75,21.809999,20.49,21.469999,2400,12.469543
2010-04-01,22.00,23.75,21.50,21.75,2600,12.632165
2010-03-01,21.33,22.440001,20.889999,21.860001,3900,12.696053
2010-02-01,21.41,22.59,20.889999,21.42,3100,12.440505
2010-01-04,19.25,22.93,19.25,21.799999,5400,12.152313
2009-12-01,19.540001,20.299999,19.00,19.25,3100,10.730827
2009-11-02,21.02,21.139999,18.450001,19.60,2400,10.925934
2009-10-01,20.59,21.00,19.200001,19.76,2100,11.015125
2009-09-01,20.950001,21.00,19.91,20.200001,2000,11.260402
2009-08-03,22.299999,22.950001,19.00,20.950001,11200,11.678486
2009-07-01,18.25,22.50,16.299999,22.27,6800,11.912116
2009-06-01,15.10,17.200001,14.61,17.15,3000,9.173452
2009-05-01,13.49,16.530001,13.30,15.09,3200,8.071568
2009-04-01,12.10,13.90,12.07,13.45,3100,7.19434
2009-03-02,10.90,12.50,8.05,12.01,3700,6.424091
2009-02-02,13.09,14.48,11.00,11.00,5000,5.883847
2009-01-02,11.37,14.53,11.37,13.45,2400,6.680459
2008-12-01,9.43,12.77,8.06,11.12,5500,5.523175
2008-11-03,12.79,13.00,8.50,9.56,5200,4.748341
2008-10-01,12.73,15.19,8.60,12.84,6500,6.377479
2008-09-02,17.549999,18.00,12.66,13.15,4700,6.531452
2008-08-01,17.25,19.700001,16.82,17.549999,5200,8.716881
2008-07-01,18.00,18.280001,14.71,17.25,5300,8.175573
2008-06-02,19.959999,20.389999,16.639999,17.790001,4900,8.431504
2008-05-01,20.10,20.540001,19.629999,20.09,2400,9.521581
2008-04-01,19.610001,21.00,19.299999,20.049999,4600,9.502623
2008-03-03,21.40,22.40,19.209999,19.66,3800,9.317783
2008-02-01,22.48,23.620001,20.75,21.700001,3900,10.284635
2008-01-02,19.50,22.75,19.209999,22.23,6100,10.128812
2007-12-03,20.190001,20.91,17.709999,19.639999,10100,8.948711
2007-11-01,21.719999,22.48,19.00,19.99,3500,9.108185
2007-10-01,22.73,23.75,21.530001,21.58,1700,9.832648
2007-09-04,22.51,22.950001,22.120001,22.530001,1600,10.265504
2007-08-01,24.75,24.75,19.299999,22.65,3800,10.320179
2007-07-02,24.67,25.25,24.15,24.75,1900,10.865876
2007-06-01,24.75,26.50,24.40,24.469999,3700,10.742949
2007-05-01,24.969999,25.860001,22.99,25.00,3200,10.975633
2007-04-02,25.049999,25.40,24.950001,25.00,1400,10.975633
2007-03-01,25.030001,25.75,24.35,24.799999,4100,10.887828
2007-02-16,25.00,25.40,24.549999,25.00,5100,10.975633
