Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.66,6.74,6.40,6.42,2733000,4.936421
2013-03-01,7.50,7.83,5.77,6.58,985800,5.059447
2013-02-01,9.92,9.99,7.21,7.52,894200,5.705538
2013-01-02,9.82,10.45,9.81,9.95,382900,7.456631
2012-12-03,8.83,10.10,8.75,9.59,362600,7.112398
2012-11-01,10.33,10.57,7.85,8.85,344200,6.494278
2012-10-01,10.96,11.36,10.01,10.30,106200,7.481233
2012-09-04,11.02,11.50,10.50,10.90,106400,7.841224
2012-08-01,11.19,11.69,10.75,11.08,46700,7.89705
2012-07-02,11.08,11.78,9.81,11.09,79900,7.831816
2012-06-01,10.41,11.63,10.14,10.99,68200,7.693126
2012-05-01,13.17,13.42,10.40,10.64,83500,7.380044
2012-04-02,13.91,14.15,12.34,13.13,109200,9.034481
2012-03-01,12.95,13.94,12.62,13.84,74400,9.452755
2012-02-01,12.35,12.99,12.10,12.90,164600,8.743307
2012-01-03,11.53,12.33,11.22,11.99,67400,8.060518
2011-12-01,10.08,11.30,9.50,11.25,55100,7.563039
2011-11-01,10.50,10.86,9.55,9.94,27200,6.682365
2011-10-03,9.52,11.52,8.82,10.83,21200,7.280685
2011-09-01,13.11,13.30,9.60,9.62,20800,6.467238
2011-08-01,14.31,14.46,12.49,13.11,24500,8.813461
2011-07-01,14.80,15.50,14.19,14.31,12600,9.620186
2011-06-01,15.35,15.38,13.99,14.80,18300,9.949598
2011-05-02,15.89,16.17,14.94,15.44,16200,10.37985
2011-04-01,16.120001,16.48,15.55,15.86,13100,10.662204
2011-03-01,15.76,16.049999,14.87,15.98,16100,10.742876
2011-02-01,15.35,15.98,14.34,15.40,24800,10.35296
2011-01-03,15.61,15.92,14.92,15.34,19000,10.312624
2010-12-01,14.09,15.27,13.92,15.01,29300,10.090775
2010-11-01,15.11,15.48,13.90,13.95,18600,9.378168
2010-10-01,14.26,15.19,14.18,15.04,9000,10.110943
2010-09-01,13.18,14.17,12.25,14.09,8200,9.472286
2010-08-02,13.06,13.20,12.44,12.99,7600,8.732789
2010-07-01,11.93,13.05,11.87,13.02,20800,8.752957
2010-06-01,12.49,12.97,11.77,11.94,16500,8.026905
2010-05-03,13.26,13.26,10.61,12.30,14600,8.268923
2010-04-01,14.20,14.24,12.82,13.17,6000,8.853798
2010-03-01,13.37,14.16,13.37,14.09,6000,9.472286
2010-02-01,12.84,13.70,12.84,13.19,7200,8.867243
2010-01-04,13.80,13.83,12.80,12.80,5000,8.605058
2009-12-01,12.40,14.10,12.36,13.76,5800,9.250437
2009-11-02,12.29,12.99,11.77,12.24,7300,8.228586
2009-10-01,12.69,13.40,11.26,12.14,5800,8.16136
2009-09-01,11.72,13.42,11.45,12.98,3600,8.726066
2009-08-03,12.40,12.40,11.17,11.70,12400,7.86556
2009-07-01,9.91,11.55,9.33,11.55,6800,7.76472
2009-06-01,10.31,10.56,8.86,9.73,2800,6.541188
2009-05-01,10.22,10.48,9.60,10.16,1000,6.830264
2009-04-01,8.34,10.44,8.34,10.21,2400,6.863878
2009-03-02,8.11,8.83,7.67,8.50,1700,5.714296
2009-02-02,8.00,8.68,7.71,8.53,1600,5.734464
2009-01-05,7.68,8.33,6.44,8.11,5500,5.45211
