Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.91,7.03,6.35,6.39,48000,5.523785
2013-03-01,5.82,7.32,5.59,6.91,33900,5.973295
2013-02-01,6.33,6.78,5.76,5.95,25500,5.11582
2013-01-02,6.27,6.60,6.10,6.60,20300,5.674691
2012-12-03,5.31,6.59,5.19,6.07,31700,5.218997
2012-11-01,5.52,5.75,4.85,5.25,33300,4.513959
2012-10-01,5.54,5.61,5.10,5.54,25000,4.730612
2012-09-04,5.35,5.92,5.00,5.49,49800,4.687917
2012-08-01,6.27,6.27,5.32,5.39,30700,4.602527
2012-07-02,6.21,6.90,5.85,6.23,27100,5.286614
2012-06-01,5.72,6.42,5.55,6.18,46800,5.244185
2012-05-01,7.40,7.50,5.76,5.81,34300,4.930213
2012-04-02,7.35,7.71,6.81,7.41,33400,6.252662
2012-03-01,7.20,7.75,6.80,7.38,39800,6.227348
2012-02-01,7.44,7.88,7.12,7.12,27000,5.983061
2012-01-03,7.27,7.84,7.07,7.38,35700,6.201544
2011-12-01,7.07,7.55,6.84,7.15,34700,6.008271
2011-11-01,7.26,7.41,6.18,7.09,59500,5.957852
2011-10-03,5.79,7.90,5.13,7.42,57500,6.20728
2011-09-01,6.77,6.89,5.79,5.81,66300,4.860417
2011-08-01,7.39,7.53,6.35,6.79,59800,5.680246
2011-07-01,7.01,7.34,6.64,7.34,60200,6.11282
2011-06-01,7.10,7.13,5.79,7.03,67000,5.854649
2011-05-02,8.62,8.62,7.00,7.10,62800,5.912945
2011-04-01,8.64,8.72,7.80,8.60,42800,7.138254
2011-03-01,8.56,8.77,7.62,8.61,34500,7.146554
2011-02-01,7.52,9.26,7.47,8.54,44200,7.070438
2011-01-03,7.73,9.00,7.32,7.49,60600,6.201122
2010-12-01,7.05,8.03,6.67,7.63,38100,6.317031
2010-11-01,6.67,7.30,6.48,6.99,40400,5.787161
2010-10-01,6.18,6.77,6.00,6.65,41700,5.493398
2010-09-01,5.79,6.51,5.74,6.10,61600,5.039056
2010-08-02,7.14,7.25,5.64,5.73,49300,4.733409
2010-07-01,6.18,7.59,6.06,7.05,74900,5.810347
2010-06-01,6.98,7.63,6.13,6.19,135700,5.101567
2010-05-03,7.77,7.78,6.45,7.02,115300,5.785622
2010-04-01,8.52,8.95,7.72,7.74,81000,6.365191
2010-03-01,7.75,9.08,7.68,8.50,50900,6.990197
2010-02-01,7.80,8.36,7.51,7.72,39200,6.341455
2010-01-04,9.81,10.09,7.55,7.77,62400,6.382526
2009-12-01,9.05,10.14,8.66,9.72,49500,7.984319
2009-11-02,8.41,10.49,7.78,9.00,58700,7.392888
2009-10-01,9.67,10.70,8.26,8.42,52200,6.909363
2009-09-01,10.19,11.16,9.19,9.66,66900,7.926894
2009-08-03,8.94,10.95,8.64,10.25,83200,8.411042
2009-07-01,7.78,9.45,7.02,8.87,62400,7.271576
2009-06-01,7.00,8.00,6.34,7.69,153800,6.304219
2009-05-01,5.37,7.50,5.26,7.00,76000,5.738561
2009-04-01,4.71,5.43,4.25,5.39,42500,4.412361
2009-03-02,5.13,5.19,3.87,4.81,55700,3.937562
2009-02-02,4.98,5.45,3.90,5.45,39000,4.45038
2009-01-02,5.51,5.56,4.62,5.06,28400,4.131913
2008-12-01,3.61,5.87,3.59,5.55,20200,4.532039
2008-11-03,5.01,5.19,3.40,3.67,34400,2.996861
2008-10-01,5.07,5.80,3.51,5.10,41400,4.1089
2008-09-02,5.90,6.90,4.51,5.24,33600,4.221693
2008-08-01,6.99,7.40,5.80,6.00,38500,4.834
2008-07-01,6.38,7.04,5.77,6.97,44900,5.567987
2008-06-02,6.67,7.80,6.20,6.60,40400,5.272413
2008-05-01,7.00,7.26,6.18,7.25,62800,5.791666
2008-04-01,7.00,7.40,6.64,7.00,39300,5.551017
2008-03-03,6.98,8.12,5.62,7.00,96700,5.551017
2008-02-01,7.96,8.12,6.64,7.01,47500,5.519799
2008-01-02,8.45,8.56,6.16,7.96,91500,6.267846
2007-12-03,8.03,9.58,7.58,8.48,130200,6.677303
2007-11-01,6.93,9.25,6.12,7.98,120000,6.283594
2007-10-01,9.25,9.35,6.90,6.99,54800,5.466911
2007-09-04,9.05,9.76,8.40,9.38,46700,7.336141
2007-08-01,8.65,9.38,6.61,9.06,151600,7.085868
2007-07-02,10.55,10.55,8.05,8.74,106900,6.814678
2007-06-01,11.46,11.50,9.72,10.45,117100,8.147985
2007-05-11,11.50,13.20,10.81,11.45,655700,8.927695
