Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,29.98,29.99,29.82,29.84,9400,22.131378
2013-03-01,28.90,30.08,28.799999,29.860001,16600,22.146212
2013-02-01,29.889999,29.889999,28.52,29.02,16500,21.397804
2013-01-02,27.35,30.049999,27.209999,29.629999,18400,21.718094
2012-12-03,27.58,27.790001,26.790001,27.18,16600,19.801178
2012-11-01,27.74,28.73,25.60,27.370001,37700,19.814386
2012-10-01,28.16,29.110001,26.76,27.60,32800,19.859392
2012-09-04,26.780001,28.15,26.58,28.08,44300,20.07967
2012-08-01,25.049999,26.780001,24.799999,26.74,27900,18.998386
2012-07-02,24.290001,25.08,24.120001,24.98,20900,17.628134
2012-06-01,23.370001,24.459999,23.139999,24.290001,21400,17.021151
2012-05-01,23.969999,24.02,22.90,23.42,21200,16.290424
2012-04-02,23.379999,24.110001,23.25,23.83,11700,16.454872
2012-03-01,23.389999,23.639999,22.84,23.459999,10700,16.081631
2012-02-01,22.52,23.549999,22.450001,23.219999,16900,15.798981
2012-01-03,20.370001,22.58,20.299999,22.26,15300,15.032999
2011-12-01,20.620001,21.00,19.90,20.40,23700,13.663915
2011-11-01,20.280001,20.76,19.809999,20.51,21600,13.622836
2011-10-03,20.450001,20.74,19.809999,20.35,20400,13.403272
2011-09-01,21.82,21.82,20.25,20.35,13000,13.289607
2011-08-01,22.91,23.34,21.00,21.639999,16200,14.016883
2011-07-01,24.15,24.290001,22.51,22.780001,12100,14.643998
2011-06-01,24.40,24.549999,23.299999,24.129999,11600,15.403585
2011-05-02,24.65,24.82,24.08,24.559999,10500,15.56793
2011-04-01,24.60,25.00,24.43,24.75,14200,15.582081
2011-03-01,24.74,24.98,24.120001,24.40,18400,15.257654
2011-02-01,24.48,24.76,24.25,24.73,17300,15.359156
2011-01-03,24.50,24.620001,24.09,24.41,13500,15.056948
2010-12-01,24.74,24.780001,23.540001,24.379999,21700,14.936435
2010-11-01,24.58,24.959999,23.799999,24.76,21200,15.065036
2010-10-01,24.209999,24.73,24.17,24.59,28500,14.861176
2010-09-01,23.969999,24.35,23.85,24.26,35100,14.561553
2010-08-02,23.58,24.17,23.469999,24.15,16500,14.395288
2010-07-01,23.280001,23.790001,23.110001,23.68,14800,14.016255
2010-06-01,23.60,23.60,22.35,23.25,40100,13.664065
2010-05-03,24.700001,24.93,22.32,23.549999,13200,13.73962
2010-04-01,25.00,25.129999,24.51,24.639999,21100,14.277403
2010-03-01,25.01,25.08,24.950001,25.00,11000,14.486001
2010-02-24,25.00,25.01,25.00,25.00,105100,14.486001
