Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,18.59,18.73,18.450001,18.540001,9445400,18.032227
2013-03-01,20.59,21.27,18.469999,18.540001,7746200,18.032227
2013-02-01,22.32,22.98,20.120001,20.68,5720500,20.113615
2013-01-02,20.129999,22.85,19.549999,22.379999,7742700,21.767056
2012-12-03,18.10,20.67,17.83,19.67,7474100,19.131277
2012-11-01,16.559999,18.530001,16.030001,17.98,8003300,17.487562
2012-10-01,17.209999,19.219999,15.77,16.57,9086900,16.11618
2012-09-04,17.370001,20.00,17.10,17.110001,6977900,16.641392
2012-08-01,17.52,19.58,16.18,17.440001,10028500,16.962353
2012-07-02,16.24,17.99,14.01,17.530001,9246300,17.049889
2012-06-01,16.75,17.52,15.31,16.309999,9187000,15.8633
2012-05-01,21.35,21.889999,16.860001,17.200001,9663600,16.728926
2012-04-02,22.76,22.889999,19.530001,21.43,11536300,20.843075
2012-03-01,22.450001,23.059999,20.389999,22.879999,9164500,22.253361
2012-02-01,20.99,25.040001,20.99,22.76,10730400,22.136648
2012-01-03,20.90,24.209999,19.67,20.93,13124900,20.35677
2011-12-01,22.57,23.709999,18.049999,20.41,9082400,19.851009
2011-11-01,23.459999,25.35,20.129999,22.709999,8905100,22.088017
2011-10-03,17.110001,25.610001,16.67,24.469999,13288200,23.799814
2011-09-01,20.98,22.200001,17.209999,17.26,11912100,16.787283
2011-08-01,23.43,23.65,19.629999,20.93,12497500,20.35677
2011-07-01,31.540001,33.110001,23.139999,23.389999,13491000,22.749393
2011-06-01,36.50,36.869999,29.030001,31.50,11850800,30.637278
2011-05-02,38.27,40.369999,36.049999,36.610001,7229100,35.607323
2011-04-01,42.27,42.27,36.48,38.330002,7543500,37.28022
2011-03-01,44.27,45.009998,38.849998,42.080002,7404900,40.927513
2011-02-01,37.32,44.619999,37.040001,44.00,8119200,42.794926
2011-01-03,37.240002,38.73,34.200001,37.119999,6521500,36.103355
2010-12-01,34.529999,37.950001,33.950001,36.919998,4204600,35.908833
2010-11-01,32.580002,36.00,31.74,34.02,7187500,33.088261
2010-10-01,30.60,32.84,30.059999,32.389999,8494900,31.502901
2010-09-01,27.52,31.48,27.52,30.35,6121100,29.518774
2010-08-02,27.98,29.00,25.00,27.200001,5952100,26.455046
2010-07-01,22.85,29.00,22.25,27.780001,9525500,27.019161
2010-06-01,26.00,26.27,22.74,22.82,8999400,22.195005
2010-05-03,28.549999,29.07,25.049999,26.620001,8233000,25.890932
2010-04-01,30.809999,32.16,28.370001,28.41,7835500,27.631907
2010-03-01,27.98,31.32,27.91,30.68,5706200,29.839735
2010-02-01,24.379999,28.049999,24.059999,27.98,7679700,27.213682
2010-01-04,26.92,27.32,24.35,24.83,8114800,24.149956
2009-12-01,26.309999,27.90,25.34,26.67,5285300,25.939562
2009-11-02,26.030001,26.52,24.040001,26.129999,8755100,25.414351
2009-10-01,27.049999,28.74,25.049999,25.51,9948500,24.811331
2009-09-01,23.059999,28.049999,22.450001,27.02,8608000,26.279976
2009-08-03,26.01,26.40,22.67,23.07,7942200,22.438158
2009-07-01,23.85,26.969999,22.459999,26.129999,12166000,25.414351
2009-06-01,24.66,25.440001,21.23,23.60,12949400,22.953642
2009-05-01,21.799999,25.24,20.950001,24.73,12064400,24.052694
2009-04-01,15.02,22.43,14.75,21.65,17444800,21.057049
2009-03-02,14.19,16.639999,12.43,15.05,17206100,14.637811
2009-02-02,13.90,16.83,13.83,14.21,14027200,13.820816
