Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.50,10.52,10.43,10.47,980400,8.389312
2013-03-01,10.33,10.50,10.15,10.45,590500,8.373285
2013-02-01,10.18,10.35,10.04,10.35,565500,8.238296
2013-01-02,9.74,10.16,9.64,10.14,604100,8.016489
2012-12-03,9.72,9.98,9.59,9.65,506300,7.576516
2012-11-01,9.84,9.94,8.92,9.69,510900,7.554735
2012-10-01,9.78,9.89,9.64,9.80,522900,7.58826
2012-09-04,9.56,9.77,9.44,9.72,522300,7.475069
2012-08-01,9.45,9.55,9.27,9.55,367800,7.292426
2012-07-02,9.17,9.51,9.11,9.32,350400,7.066071
2012-06-01,8.99,9.29,8.87,9.07,331200,6.827148
2012-05-01,9.21,9.39,8.85,9.00,363900,6.723801
2012-04-02,9.03,9.20,8.88,9.19,473100,6.816072
2012-03-01,9.13,9.29,8.92,8.98,430500,6.610403
2012-02-01,8.78,9.22,8.78,9.13,380200,6.572623
2012-01-03,8.13,8.84,7.97,8.77,444500,6.313462
2011-12-01,8.23,8.26,7.76,8.05,553200,5.795139
2011-11-01,8.33,8.49,8.00,8.26,280900,5.799493
2011-10-03,7.90,8.55,7.33,8.45,281900,5.932895
2011-09-01,8.69,8.81,7.84,7.86,261200,5.518646
2011-08-01,8.98,9.02,7.57,8.69,377500,5.958847
2011-07-01,9.20,9.26,8.70,8.85,296900,6.068562
2011-06-01,9.43,9.44,8.87,9.14,313700,6.267419
2011-05-02,9.18,9.43,9.04,9.41,316100,6.312592
2011-04-01,9.07,9.24,8.83,9.20,329900,6.171716
2011-03-01,8.97,9.11,8.50,8.95,325100,6.004006
2011-02-01,8.80,9.05,8.80,8.97,320900,5.890811
2011-01-03,8.78,8.91,8.68,8.78,288300,5.766033
2010-12-01,8.95,9.09,8.51,8.80,328400,5.779168
2010-11-01,8.97,9.20,8.23,8.90,314500,5.728739
2010-10-01,8.97,9.02,8.80,8.96,320400,5.76736
2010-09-01,8.62,8.85,8.49,8.83,352300,5.683682
2010-08-02,8.34,8.63,8.30,8.50,297500,5.361592
2010-07-01,8.00,8.31,7.63,8.28,253300,5.222821
2010-06-01,7.81,8.17,7.60,7.78,296000,4.907434
2010-05-03,8.49,8.49,6.60,7.85,531400,4.841623
2010-04-01,8.32,8.52,8.29,8.45,344100,5.211683
2010-03-01,7.93,8.31,7.92,8.26,305300,5.094497
2010-02-01,7.63,7.94,7.07,7.91,289100,4.775268
2010-01-04,7.69,7.99,7.59,7.59,304700,4.582084
2009-12-01,7.30,7.83,7.28,7.69,308000,4.642454
2009-11-02,7.03,7.38,6.92,7.28,261800,4.293337
2009-10-01,7.33,7.46,6.93,7.01,307800,4.134106
2009-09-01,6.71,7.30,6.60,7.21,312200,4.252055
2009-08-03,6.35,6.87,6.35,6.72,304100,3.872624
2009-07-01,5.77,6.35,5.26,6.30,296200,3.630585
2009-06-01,5.49,5.89,5.30,5.74,302000,3.307867
2009-05-01,4.44,5.46,4.43,5.46,423400,3.06569
2009-04-01,3.99,4.55,3.67,4.44,359600,2.492978
2009-03-02,3.50,4.00,2.85,3.82,446400,2.14486
2009-02-02,4.67,4.89,3.38,3.89,461900,2.073573
2009-01-02,4.75,5.42,4.50,4.71,405900,2.510676
2008-12-01,3.71,4.99,3.15,4.87,569500,2.595964
2008-11-03,5.01,5.36,2.87,4.03,499100,2.046757
2008-10-01,6.16,6.80,2.75,5.00,633200,2.539401
2008-09-02,9.07,9.19,5.01,5.96,722200,3.026966
