Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.66,12.06,11.66,11.82,159200,9.311896
2013-03-01,11.27,12.00,11.16,11.67,55200,9.193726
2013-02-01,11.53,11.88,11.06,11.26,65900,8.699273
2013-01-02,10.73,11.86,10.73,11.53,69300,8.907869
2012-12-03,10.54,10.72,10.26,10.51,57600,8.119836
2012-11-01,10.65,10.87,9.67,10.54,53200,7.973848
2012-10-01,11.31,11.31,10.61,10.68,50900,8.079762
2012-09-04,10.80,11.36,10.77,11.03,39100,8.344548
2012-08-01,10.22,11.01,10.05,10.85,41800,8.046994
2012-07-02,10.32,10.44,9.86,10.14,51800,7.520416
2012-06-01,9.64,10.11,9.55,10.08,45100,7.475916
2012-05-01,10.83,10.90,9.62,9.76,47700,7.078215
2012-04-02,11.16,11.75,10.53,10.79,40600,7.825198
2012-03-01,11.39,11.41,10.98,11.11,41600,8.05727
2012-02-01,10.93,11.44,10.90,11.35,47100,8.069204
2012-01-03,9.74,10.98,9.68,10.81,41400,7.685295
2011-12-01,9.67,10.17,9.18,9.56,61200,6.796617
2011-11-01,10.03,10.03,9.17,9.65,54600,6.707213
2011-10-03,10.55,10.55,8.81,10.23,46600,7.110341
2011-09-01,10.09,10.15,9.09,9.78,48100,6.79757
2011-08-01,10.56,10.62,8.57,10.05,70700,6.825653
2011-07-01,11.30,11.52,10.23,10.44,37000,7.090528
2011-06-01,11.94,12.00,10.77,11.27,30400,7.65424
2011-05-02,12.03,12.09,11.53,11.96,42500,7.956947
2011-04-01,11.54,12.00,11.34,12.00,45700,7.983559
2011-03-01,11.86,11.95,10.52,11.48,50800,7.637604
2011-02-01,11.45,12.07,11.45,11.83,38700,7.714136
2011-01-03,11.33,12.17,11.19,11.40,42300,7.43374
2010-12-01,11.18,11.43,10.93,11.24,49000,7.329407
2010-11-01,11.06,11.41,10.83,11.06,55700,7.065628
2010-10-01,10.80,11.20,10.74,11.00,58900,7.027297
2010-09-01,10.50,11.35,10.50,10.74,61600,6.861197
2010-08-02,10.73,11.04,10.40,10.47,41800,6.551106
2010-07-01,10.23,10.74,9.94,10.72,46000,6.707531
2010-06-01,10.03,10.54,9.78,10.16,52300,6.357138
2010-05-03,11.60,11.63,9.26,10.24,61300,6.257756
2010-04-01,11.92,12.35,11.46,11.51,65900,7.033864
2010-03-01,10.74,11.83,10.73,11.74,62100,7.174419
2010-02-01,10.25,11.00,9.78,10.75,53800,6.428648
2010-01-04,10.75,11.18,10.20,10.28,70900,6.147581
2009-12-01,10.03,10.90,10.03,10.66,58700,6.374826
2009-11-02,9.80,10.38,9.52,10.05,50700,5.869453
2009-10-01,10.32,10.70,9.57,9.71,51000,5.670884
2009-09-01,9.60,10.53,9.35,10.24,49200,5.980417
2009-08-03,9.15,10.19,8.97,9.70,59200,5.538297
2009-07-01,8.30,9.39,7.72,9.16,54200,5.229979
2009-06-01,8.23,8.58,7.85,8.19,47300,4.676149
2009-05-01,7.30,8.07,7.25,8.07,58000,4.482071
2009-04-01,6.25,7.53,6.21,7.35,43700,4.082183
2009-03-02,5.90,6.67,4.83,6.38,56600,3.543447
2009-02-02,7.44,7.94,5.70,6.10,49000,3.239227
2009-01-02,7.50,8.72,7.06,7.47,48300,3.966726
2008-12-01,6.80,7.61,6.00,7.58,112000,4.025138
2008-11-03,8.95,9.45,5.31,6.94,65100,3.541393
2008-10-01,11.87,12.07,5.42,8.86,79300,4.521145
2008-09-02,16.75,17.15,10.12,11.86,64500,6.052006
2008-08-01,15.90,18.35,15.68,16.639999,54400,8.275373
2008-07-01,16.16,16.530001,13.63,15.80,58700,7.857626
2008-06-02,19.280001,19.469999,16.23,16.25,56600,8.081419
2008-05-01,18.77,19.690001,18.77,19.190001,41800,9.283582
2008-04-01,18.200001,19.25,17.700001,18.780001,39800,9.085236
